A_re,0.262089994809,0.309958092747,0.351231259387,0.387985551410,0.421373735094,0.452113170527,0.480685232579,0.507430792685,0.532601168328,0.556387560790,0.578939135855,0.600374681567,0.620790428092,0.640265468607,0.658865623117,0.676646258824,0.693654391771,0.709930281468,0.725508660247,0.740419694579,0.754689746371,0.768341982804,0.781396869934,0.793872575973,0.805785303635,0.817149566188,0.827978418416,0.838283651156,0.848075956169,0.857365066681,0.866159877819,0.874468550345,0.882298600409,0.889656977549,0.896550132753,0.902984078080,0.908964439064,0.914496500941,0.919585249546,0.924235407606,0.928451467037,0.932237717757,0.935598273452,0.938537094677,0.941058009597,0.943164732662,0.944860881441,0.946149991823,0.947035531767,0.947520913754,0.947609506085,0.947304643126,0.946609634623,0.945527774174,0.944062346932,0.942216636623,0.939993931928,0.937397532303,0.934430753271,0.931096931246,0.927399427913,0.923341634218,0.918926973984,0.914158907194,0.909040932964,0.903576592220,0.897769470120,0.891623198223,0.885141456428,0.878327974706,0.871186534624,0.863720970694,0.855935171544,0.847833080923,0.839418698561,0.830696080887,0.821669341602,0.812342652141,0.802720242006,0.792806398988,0.782605469288,0.772121857534,0.761360026701,0.750324497947,0.739019850362,0.727450720629,0.715621802622,0.703537846914,0.691203660230,0.678624104826,0.665804097803,0.652748610369,0.639462667035,0.625951344759,0.612219772038,0.598273127950,0.584116641145,0.569755588795,0.555195295494,0.540441132122,0.525498514663,0.510372902989,0.495069799607,0.479594748363,0.463953333128,0.448151176431,0.432193938083,0.416087313754,0.399837033531,0.383448860448,0.366928588988,0.350282043563,0.333515076969,0.316633568822,0.299643423970,0.282550570886,0.265360960043,0.248080562270,0.230715367096,0.213271381070,0.195754626072,0.178171137613,0.160526963113,0.142828160177,0.125080794853,0.107290939886,0.089464672954,0.071608074909,0.053727227995,0.035828214073,0.017917112833
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.262089994809,-0.309958092747,-0.351231259387,-0.387985551410,-0.421373735094,-0.452113170527,-0.480685232579,-0.507430792685,-0.532601168328,-0.556387560790,-0.578939135855,-0.600374681567,-0.620790428092,-0.640265468607,-0.658865623117,-0.676646258824,-0.693654391771,-0.709930281468,-0.725508660247,-0.740419694579,-0.754689746371,-0.768341982804,-0.781396869934,-0.793872575973,-0.805785303635,-0.817149566188,-0.827978418416,-0.838283651156,-0.848075956169,-0.857365066681,-0.866159877819,-0.874468550345,-0.882298600409,-0.889656977549,-0.896550132753,-0.902984078080,-0.908964439064,-0.914496500941,-0.919585249546,-0.924235407606,-0.928451467037,-0.932237717757,-0.935598273452,-0.938537094677,-0.941058009597,-0.943164732662,-0.944860881441,-0.946149991823,-0.947035531767,-0.947520913754,-0.947609506085,-0.947304643126,-0.946609634623,-0.945527774174,-0.944062346932,-0.942216636623,-0.939993931928,-0.937397532303,-0.934430753271,-0.931096931246,-0.927399427913,-0.923341634218,-0.918926973984,-0.914158907194,-0.909040932964,-0.903576592220,-0.897769470120,-0.891623198223,-0.885141456428,-0.878327974706,-0.871186534624,-0.863720970694,-0.855935171544,-0.847833080923,-0.839418698561,-0.830696080887,-0.821669341602,-0.812342652141,-0.802720242006,-0.792806398988,-0.782605469288,-0.772121857534,-0.761360026700,-0.750324497947,-0.739019850362,-0.727450720629,-0.715621802622,-0.703537846914,-0.691203660230,-0.678624104826,-0.665804097803,-0.652748610369,-0.639462667035,-0.625951344759,-0.612219772038,-0.598273127950,-0.584116641145,-0.569755588795,-0.555195295494,-0.540441132122,-0.525498514663,-0.510372902989,-0.495069799607,-0.479594748363,-0.463953333128,-0.448151176431,-0.432193938083,-0.416087313754,-0.399837033531,-0.383448860448,-0.366928588988,-0.350282043563,-0.333515076969,-0.316633568822,-0.299643423970,-0.282550570886,-0.265360960043,-0.248080562270,-0.230715367096,-0.213271381070,-0.195754626072,-0.178171137613,-0.160526963113,-0.142828160177,-0.125080794853,-0.107290939886,-0.089464672954,-0.071608074909,-0.053727227995,-0.035828214073,-0.017917112833
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132
# constraint,norm
# norm_sq,132.000000000000
# dEdt,21.437196416459
# lambda_max,21.433717641581
