A_re,0.554311505143,0.648835807147,0.725142159774,0.787187594369,0.837050484428,0.875959944733,0.904714262973,0.923879954864,0.933897103900,0.935139501096,0.927950899060,0.912667692745,0.889633406890,0.859207973630,0.821773541526,0.777737878141,0.727536040147,0.671630754708,0.610511814814,0.544694702481,0.474718596540,0.401143884086,0.324549269525,0.245528557966,0.164687177878,0.082638499559
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.554311505143,-0.648835807147,-0.725142159774,-0.787187594369,-0.837050484428,-0.875959944733,-0.904714262973,-0.923879954864,-0.933897103900,-0.935139501096,-0.927950899060,-0.912667692745,-0.889633406890,-0.859207973630,-0.821773541526,-0.777737878141,-0.727536040147,-0.671630754708,-0.610511814814,-0.544694702481,-0.474718596540,-0.401143884086,-0.324549269525,-0.245528557966,-0.164687177878,-0.082638499559
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
# constraint,norm
# norm_sq,27.000000000000
# dEdt,4.384881085185
# lambda_max,4.369204683827
