A_re,0.256456069866,0.303307624671,0.343714034455,0.379707673507,0.412417393693,0.442545930220,0.470565045623,0.496808967081,0.521524246992,0.544898572857,0.567078463196,0.588180677814,0.608299872069,0.627513903275,0.645887613145,0.663475588935,0.680324221088,0.696473264575,0.711957042675,0.726805388352,0.741044389814,0.754696987791,0.767783458998,0.780321811168,0.792328108625,0.803816742727,0.814800658166,0.825291543580,0.835299993128,0.844835644229,0.853907295612,0.862523009008,0.870690197152,0.878415700267,0.885705852832,0.892566542059,0.899003259328,0.905021145557,0.910625031358,0.915819472690,0.920608782597,0.924997059533,0.928988212718,0.932585984869,0.935793972642,0.938615645038,0.941054360023,0.943113379541,0.944795883121,0.946104980212,0.947043721384,0.947615108521,0.947822104094,0.947667639613,0.947154623342,0.946285947330,0.945064493847,0.943493141254,0.941574769374,0.939312264401,0.936708523390,0.933766458360,0.930489000040,0.926879101297,0.922939740258,0.918673923161,0.914084686942,0.909175101597,0.903948272316,0.898407341417,0.892555490091,0.886395939967,0.879931954521,0.873166840317,0.866103948120,0.858746673864,0.851098459493,0.843162793693,0.834943212499,0.826443299808,0.817666687784,0.808617057176,0.799298137544,0.789713707398,0.779867594267,0.769763674681,0.759405874089,0.748798166709,0.737944575305,0.726849170918,0.715516072519,0.703949446624,0.692153506842,0.680132513380,0.667890772499,0.655432635916,0.642762500173,0.629884805951,0.616804037355,0.603524721154,0.590051425978,0.576388761493,0.562541377530,0.548513963184,0.534311245885,0.519937990435,0.505398998018,0.490699105178,0.475843182780,0.460836134933,0.445682897898,0.430388438969,0.414957755332,0.399395872900,0.383707845136,0.367898751844,0.351973697952,0.335937812271,0.319796246242,0.303554172659,0.287216784386,0.270789293054,0.254276927744,0.237684933660,0.221018570789,0.204283112543,0.187483844404,0.170626062545,0.153715072448,0.136756187514,0.119754727661,0.102716017920,0.085645387018,0.068548165960,0.051429686602,0.034295280222,0.017150276084
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.256456069866,-0.303307624671,-0.343714034455,-0.379707673507,-0.412417393693,-0.442545930220,-0.470565045623,-0.496808967081,-0.521524246992,-0.544898572857,-0.567078463196,-0.588180677814,-0.608299872069,-0.627513903275,-0.645887613145,-0.663475588935,-0.680324221088,-0.696473264575,-0.711957042675,-0.726805388352,-0.741044389814,-0.754696987791,-0.767783458998,-0.780321811168,-0.792328108625,-0.803816742727,-0.814800658166,-0.825291543580,-0.835299993128,-0.844835644229,-0.853907295612,-0.862523009008,-0.870690197152,-0.878415700267,-0.885705852832,-0.892566542059,-0.899003259328,-0.905021145557,-0.910625031358,-0.915819472690,-0.920608782597,-0.924997059533,-0.928988212718,-0.932585984869,-0.935793972642,-0.938615645038,-0.941054360023,-0.943113379541,-0.944795883121,-0.946104980212,-0.947043721384,-0.947615108521,-0.947822104094,-0.947667639613,-0.947154623342,-0.946285947330,-0.945064493847,-0.943493141254,-0.941574769374,-0.939312264401,-0.936708523390,-0.933766458360,-0.930489000040,-0.926879101297,-0.922939740258,-0.918673923161,-0.914084686942,-0.909175101597,-0.903948272316,-0.898407341417,-0.892555490091,-0.886395939967,-0.879931954521,-0.873166840317,-0.866103948120,-0.858746673864,-0.851098459493,-0.843162793693,-0.834943212499,-0.826443299808,-0.817666687784,-0.808617057176,-0.799298137544,-0.789713707398,-0.779867594267,-0.769763674681,-0.759405874089,-0.748798166709,-0.737944575305,-0.726849170918,-0.715516072519,-0.703949446624,-0.692153506842,-0.680132513380,-0.667890772499,-0.655432635916,-0.642762500172,-0.629884805951,-0.616804037355,-0.603524721154,-0.590051425978,-0.576388761493,-0.562541377530,-0.548513963184,-0.534311245885,-0.519937990435,-0.505398998018,-0.490699105178,-0.475843182780,-0.460836134933,-0.445682897898,-0.430388438969,-0.414957755332,-0.399395872900,-0.383707845136,-0.367898751844,-0.351973697952,-0.335937812271,-0.319796246242,-0.303554172659,-0.287216784386,-0.270789293054,-0.254276927744,-0.237684933660,-0.221018570789,-0.204283112543,-0.187483844404,-0.170626062545,-0.153715072448,-0.136756187514,-0.119754727661,-0.102716017920,-0.085645387018,-0.068548165960,-0.051429686602,-0.034295280222,-0.017150276084
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
# constraint,norm
# norm_sq,138.000000000000
# dEdt,22.411614435389
# lambda_max,22.408283712128
