A_re,0.287726491452,0.340200640152,0.385385646285,0.425554870936,0.461968567278,0.495409432148,0.526401474373,0.555314787697,0.582421446018,0.607927791055,0.631994258409,0.654748157188,0.676292239937,0.696710641734,0.716073112046,0.734438102777,0.751855068627,0.768366211911,0.784007827261,0.798811352760,0.812804202074,0.826010430794,0.838451275546,0.850145594275,0.861110228929,0.871360306548,0.880909491050,0.889770195158,0.897953759902,0.905470607495,0.912330372223,0.918542013051,0.924113910936,0.929053953273,0.933369607444,0.937067985120,0.940155898648,0.942639910647,0.944526377750,0.945821489277,0.946531301500,0.946661768061,0.946218767022,0.945208124951,0.943635638394,0.941507093035,0.938828280802,0.935605015139,0.931843144646,0.927548565252,0.922727231069,0.917385164058,0.911528462621,0.905163309223,0.898295977124,0.890932836310,0.883080358682,0.874745122578,0.865933816672,0.856653243305,0.846910321290,0.836712088236,0.826065702423,0.814978444253,0.803457717326,0.791511049147,0.779146091502,0.766370620516,0.753192536418,0.739619863035,0.725660747020,0.711323456842,0.696616381545,0.681548029295,0.666127025716,0.650362112041,0.634262143078,0.617836085007,0.601093013011,0.584042108753,0.566692657714,0.549054046383,0.531135759325,0.512947376116,0.494498568170,0.475799095444,0.456858803049,0.437687617750,0.418295544375,0.398692662140,0.378889120879,0.358895137205,0.338720990584,0.318377019346,0.297873616630,0.277221226261,0.256430338568,0.235511486157,0.214475239623,0.193332203215,0.172093010469,0.150768319785,0.129368809981,0.107905175807,0.086388123430,0.064828365896,0.043236618564,0.021623594525
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.287726491452,-0.340200640152,-0.385385646285,-0.425554870936,-0.461968567278,-0.495409432148,-0.526401474373,-0.555314787697,-0.582421446018,-0.607927791055,-0.631994258409,-0.654748157188,-0.676292239937,-0.696710641734,-0.716073112046,-0.734438102777,-0.751855068627,-0.768366211911,-0.784007827261,-0.798811352760,-0.812804202074,-0.826010430794,-0.838451275546,-0.850145594275,-0.861110228929,-0.871360306548,-0.880909491050,-0.889770195158,-0.897953759902,-0.905470607495,-0.912330372223,-0.918542013051,-0.924113910936,-0.929053953273,-0.933369607444,-0.937067985120,-0.940155898648,-0.942639910647,-0.944526377750,-0.945821489277,-0.946531301500,-0.946661768061,-0.946218767022,-0.945208124951,-0.943635638394,-0.941507093035,-0.938828280802,-0.935605015139,-0.931843144646,-0.927548565252,-0.922727231069,-0.917385164058,-0.911528462621,-0.905163309223,-0.898295977124,-0.890932836310,-0.883080358682,-0.874745122578,-0.865933816672,-0.856653243305,-0.846910321290,-0.836712088236,-0.826065702423,-0.814978444253,-0.803457717326,-0.791511049147,-0.779146091502,-0.766370620516,-0.753192536418,-0.739619863035,-0.725660747020,-0.711323456842,-0.696616381545,-0.681548029295,-0.666127025716,-0.650362112041,-0.634262143078,-0.617836085007,-0.601093013010,-0.584042108753,-0.566692657714,-0.549054046383,-0.531135759325,-0.512947376116,-0.494498568170,-0.475799095444,-0.456858803049,-0.437687617750,-0.418295544375,-0.398692662140,-0.378889120879,-0.358895137205,-0.338720990584,-0.318377019346,-0.297873616630,-0.277221226261,-0.256430338568,-0.235511486157,-0.214475239623,-0.193332203215,-0.172093010469,-0.150768319785,-0.129368809981,-0.107905175807,-0.086388123430,-0.064828365896,-0.043236618564,-0.021623594525
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
# constraint,norm
# norm_sq,109.000000000000
# dEdt,17.701927343894
# lambda_max,17.697734049564
