A_re,0.147497970227,0.174288204438,0.197271131124,0.217603949799,0.235925263845,0.252629546289,0.267979257465,0.282158488669,0.295301564361,0.307509554116,0.318860405176,0.329415469391,0.339223877112,0.348325566185,0.356753438661,0.364534933363,0.371693196391,0.378247968183,0.384216266513,0.389612919813,0.394450988878,0.398742104051,0.402496737581,0.405724425581,0.408433950416,0.410633491641,0.412330751753,0.413533061544,0.414247468830,0.414480813500,0.414239791234,0.413531007774,0.412361025246,0.410736401780,0.408663725410,0.406149643101,0.403200885567,0.399824288454,0.396026810359,0.391815548088,0.387197749488,0.382180824129,0.376772352087,0.370980091042,0.364811981856,0.358276152789,0.351380922501,0.344134801932,0.336546495189,0.328624899503,0.320379104361,0.311818389865,0.302952224382,0.293790261556,0.284342336712,0.274618462709,0.264628825283,0.254383777916,0.243893836256,0.233169672140,0.222222107227,0.211062106278,0.199700770119,0.188149328282,0.176419131374,0.164521643184,0.152468432542,0.140271164957,0.127941594051,0.115491552797,0.102932944594,0.090277734178,0.077537938391,0.064725616828,0.051852862370,0.038931791609,0.025974535205,0.012993228153
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.147497970227,-0.174288204438,-0.197271131124,-0.217603949799,-0.235925263845,-0.252629546289,-0.267979257465,-0.282158488669,-0.295301564361,-0.307509554116,-0.318860405176,-0.329415469391,-0.339223877112,-0.348325566185,-0.356753438661,-0.364534933363,-0.371693196391,-0.378247968183,-0.384216266513,-0.389612919813,-0.394450988878,-0.398742104051,-0.402496737581,-0.405724425581,-0.408433950416,-0.410633491641,-0.412330751753,-0.413533061544,-0.414247468830,-0.414480813500,-0.414239791234,-0.413531007774,-0.412361025246,-0.410736401780,-0.408663725410,-0.406149643101,-0.403200885568,-0.399824288454,-0.396026810359,-0.391815548088,-0.387197749488,-0.382180824129,-0.376772352087,-0.370980091042,-0.364811981856,-0.358276152789,-0.351380922501,-0.344134801932,-0.336546495189,-0.328624899503,-0.320379104361,-0.311818389865,-0.302952224382,-0.293790261556,-0.284342336712,-0.274618462709,-0.264628825283,-0.254383777916,-0.243893836256,-0.233169672140,-0.222222107227,-0.211062106278,-0.199700770119,-0.188149328282,-0.176419131374,-0.164521643184,-0.152468432542,-0.140271164957,-0.127941594051,-0.115491552797,-0.102932944594,-0.090277734178,-0.077537938391,-0.064725616828,-0.051852862370,-0.038931791609,-0.025974535205,-0.012993228153
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999553547085
