A_re,0.153204923489,0.181012546962,0.204853218583,0.225927494945,0.244897409751,0.262171546607,0.278021481046,0.292637488647,0.306158245340,0.318687971664,0.330306952308,0.341078311631,0.351052553659,0.360270705774,0.368766556817,0.376568288809,0.383699691311,0.390181081574,0.396030012873,0.401261827493,0.405890093829,0.409926955786,0.413383414833,0.416269559751,0.418594755264,0.420367798009,0.421597046305,0.422290528731,0.422456035391,0.422101194937,0.421233539780,0.419860561449,0.417989757642,0.415628672269,0.412784929510,0.409466262747,0.405680539083,0.401435780032,0.396740178866,0.391602115049,0.386030166085,0.380033117102,0.373619968400,0.366799941198,0.359582481760,0.351977264059,0.343994191130,0.335643395216,0.326935236841,0.317880302877,0.308489403708,0.298773569563,0.288744046078,0.278412289149,0.267789959142,0.256888914491,0.245721204738,0.234299063064,0.222634898334,0.210741286701,0.198630962796,0.186316810542,0.173811853612,0.161129245565,0.148282259681,0.135284278519,0.122148783227,0.108889342619,0.095519602046,0.082053272074,0.068504116999,0.054885943212,0.041212587427,0.027497904806,0.013755756980
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.153204923489,-0.181012546962,-0.204853218583,-0.225927494945,-0.244897409751,-0.262171546607,-0.278021481046,-0.292637488647,-0.306158245340,-0.318687971664,-0.330306952308,-0.341078311631,-0.351052553659,-0.360270705774,-0.368766556817,-0.376568288809,-0.383699691311,-0.390181081574,-0.396030012873,-0.401261827493,-0.405890093829,-0.409926955786,-0.413383414833,-0.416269559751,-0.418594755264,-0.420367798009,-0.421597046305,-0.422290528731,-0.422456035391,-0.422101194937,-0.421233539780,-0.419860561449,-0.417989757642,-0.415628672269,-0.412784929510,-0.409466262747,-0.405680539083,-0.401435780032,-0.396740178866,-0.391602115049,-0.386030166085,-0.380033117102,-0.373619968400,-0.366799941198,-0.359582481760,-0.351977264059,-0.343994191130,-0.335643395216,-0.326935236841,-0.317880302877,-0.308489403708,-0.298773569563,-0.288744046078,-0.278412289149,-0.267789959142,-0.256888914491,-0.245721204738,-0.234299063064,-0.222634898334,-0.210741286701,-0.198630962796,-0.186316810542,-0.173811853612,-0.161129245565,-0.148282259681,-0.135284278519,-0.122148783227,-0.108889342619,-0.095519602046,-0.082053272074,-0.068504116999,-0.054885943212,-0.041212587427,-0.027497904806,-0.013755756980
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999518293843
