A_re,-1.229306427338,-1.309173093050,-1.277507877238,-1.148093753938,-0.936135700972,-0.659810620534,-0.340117614933
A_im,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000
B_im,1.229306427338,1.309173093050,1.277507877238,1.148093753938,0.936135700972,0.659810620534,0.340117614933
M,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.966687660934
