A_re,0.202927581297,0.239497912916,0.270645387385,0.297941167485,0.322245157110,0.344083436236,0.363802318850,0.381641999162,0.397775782480,0.412332710985,0.425411433966,0.437089132882,0.447427495477,0.456476847712,0.464279091418,0.470869842443,0.476280018493,0.480537038913,0.483665744859,0.485689114119,0.486628822473,0.486505688549,0.485340028940,0.483151943253,0.479961543778,0.475789140843,0.470655392329,0.464581423892,0.457588924984,0.449700224711,0.440938350723,0.431327073705,0.420890939543,0.409655290883,0.397646279449,0.384890870302,0.371416839007,0.357252762513,0.342428004455,0.326972695468,0.310917709033,0.294294633295,0.277135739269,0.259473945764,0.241342781351,0.222776343663,0.203809256277,0.184476623419,0.164813982714,0.144857256185,0.124642699691,0.104206850989,0.083586476582,0.062818517535,0.041940034394,0.020988151383
A_im,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.202927581297,-0.239497912916,-0.270645387385,-0.297941167485,-0.322245157110,-0.344083436236,-0.363802318850,-0.381641999162,-0.397775782480,-0.412332710985,-0.425411433966,-0.437089132882,-0.447427495477,-0.456476847712,-0.464279091418,-0.470869842443,-0.476280018493,-0.480537038913,-0.483665744859,-0.485689114119,-0.486628822473,-0.486505688549,-0.485340028940,-0.483151943253,-0.479961543778,-0.475789140843,-0.470655392329,-0.464581423892,-0.457588924984,-0.449700224711,-0.440938350723,-0.431327073705,-0.420890939543,-0.409655290883,-0.397646279449,-0.384890870302,-0.371416839007,-0.357252762513,-0.342428004455,-0.326972695468,-0.310917709033,-0.294294633295,-0.277135739269,-0.259473945764,-0.241342781351,-0.222776343663,-0.203809256277,-0.184476623419,-0.164813982714,-0.144857256185,-0.124642699691,-0.104206850989,-0.083586476582,-0.062818517535,-0.041940034394,-0.020988151383
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999154211904
