A_re,0.285937182176,0.336617923508,0.379114931271,0.415583834549,0.447186063351,0.474620283942,0.498339004974,0.518651967216,0.535781129604,0.549892324612,0.561114622012,0.569552753577,0.575295396587,0.578420869654,0.579001147452,0.577104745917,0.572798825703,0.566150739995,0.557229177761,0.546105005791,0.532851881841,0.517546690427,0.500269838746,0.481105440441,0.460141408025,0.437469469901,0.413185124361,0.387387540316,0.360179412634,0.331666778489,0.301958800058,0.271167518073,0.239407580111,0.206795947017,0.173451580475,0.139495114442,0.105048512945,0.070234716524,0.035177279489
A_im,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.285937182176,-0.336617923508,-0.379114931271,-0.415583834549,-0.447186063351,-0.474620283942,-0.498339004974,-0.518651967216,-0.535781129604,-0.549892324612,-0.561114622012,-0.569552753577,-0.575295396587,-0.578420869654,-0.579001147452,-0.577104745917,-0.572798825703,-0.566150739995,-0.557229177761,-0.546105005791,-0.532851881841,-0.517546690427,-0.500269838746,-0.481105440441,-0.460141408025,-0.437469469901,-0.413185124361,-0.387387540316,-0.360179412634,-0.331666778489,-0.301958800058,-0.271167518073,-0.239407580111,-0.206795947017,-0.173451580475,-0.139495114442,-0.105048512945,-0.070234716524,-0.035177279489
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.998317681884
