A_re,0.059527619022,0.070418675709,0.079824064394,0.088216756306,0.095859900249,0.102917648280,0.109500464623,0.115686824525,0.121534795989,0.127088733520,0.132383390792,0.137446573271,0.142300918247,0.146965129282,0.151454856444,0.155783339126,0.159961885256,0.164000235082,0.167906841755,0.171689090846,0.175353474279,0.178905729727,0.182350953502,0.185693692835,0.188938021966,0.192087605383,0.195145750758,0.198115453566,0.200999434916,0.203800173831,0.206519934916,0.209160792217,0.211724649876,0.214213260096,0.216628238833,0.218971079556,0.221243165354,0.223445779631,0.225580115578,0.227647284595,0.229648323799,0.231584202733,0.233455829379,0.235264055567,0.237009681840,0.238693461851,0.240316106341,0.241878286744,0.243380638468,0.244823763872,0.246208234992,0.247534596025,0.248803365602,0.250015038877,0.251170089438,0.252268971068,0.253312119368,0.254299953248,0.255232876308,0.256111278114,0.256935535376,0.257706013042,0.258423065314,0.259087036587,0.259698262326,0.260257069879,0.260763779236,0.261218703733,0.261622150717,0.261974422153,0.262275815205,0.262526622770,0.262727133982,0.262877634681,0.262978407852,0.263029734040,0.263031891737,0.262985157743,0.262889807503,0.262746115433,0.262554355216,0.262314800081,0.262027723072,0.261693397292,0.261312096139,0.260884093521,0.260409664067,0.259889083315,0.259322627896,0.258710575704,0.258053206053,0.257350799832,0.256603639641,0.255812009924,0.254976197092,0.254096489641,0.253173178255,0.252206555912,0.251196917974,0.250144562276,0.249049789209,0.247912901794,0.246734205750,0.245514009565,0.244252624550,0.242950364897,0.241607547729,0.240224493144,0.238801524262,0.237338967256,0.235837151393,0.234296409060,0.232717075791,0.231099490291,0.229443994461,0.227750933404,0.226020655453,0.224253512170,0.222449858361,0.220610052083,0.218734454641,0.216823430596,0.214877347756,0.212896577178,0.210881493161,0.208832473235,0.206749898150,0.204634151871,0.202485621552,0.200304697532,0.198091773308,0.195847245518,0.193571513922,0.191264981377,0.188928053810,0.186561140196,0.184164652529,0.181739005790,0.179284617920,0.176801909788,0.174291305154,0.171753230638,0.169188115686,0.166596392526,0.163978496138,0.161334864207,0.158665937091,0.155972157773,0.153253971820,0.150511827341,0.147746174942,0.144957467681,0.142146161019,0.139312712776,0.136457583083,0.133581234329,0.130684131115,0.127766740205,0.124829530468,0.121872972832,0.118897540229,0.115903707542,0.112891951551,0.109862750875,0.106816585923,0.103753938830,0.100675293408,0.097581135083,0.094471950839,0.091348229161,0.088210459974,0.085059134585,0.081894745622,0.078717786976,0.075528753735,0.072328142129,0.069116449464,0.065894174063,0.062661815200,0.059419873041,0.056168848577,0.052909243564,0.049641560457,0.046366302345,0.043083972892,0.039795076264,0.036500117072,0.033199600300,0.029894031246,0.026583915450,0.023269758634,0.019952066632,0.016631345325,0.013308100576,0.009982838161,0.006656063704,0.003328282611
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.059527619022,-0.070418675709,-0.079824064394,-0.088216756306,-0.095859900249,-0.102917648280,-0.109500464623,-0.115686824525,-0.121534795989,-0.127088733520,-0.132383390792,-0.137446573271,-0.142300918247,-0.146965129282,-0.151454856444,-0.155783339126,-0.159961885256,-0.164000235082,-0.167906841755,-0.171689090846,-0.175353474279,-0.178905729727,-0.182350953502,-0.185693692835,-0.188938021966,-0.192087605383,-0.195145750758,-0.198115453566,-0.200999434916,-0.203800173831,-0.206519934916,-0.209160792217,-0.211724649876,-0.214213260096,-0.216628238833,-0.218971079556,-0.221243165354,-0.223445779631,-0.225580115578,-0.227647284595,-0.229648323799,-0.231584202733,-0.233455829379,-0.235264055567,-0.237009681840,-0.238693461851,-0.240316106341,-0.241878286744,-0.243380638468,-0.244823763872,-0.246208234992,-0.247534596025,-0.248803365602,-0.250015038877,-0.251170089438,-0.252268971068,-0.253312119368,-0.254299953248,-0.255232876308,-0.256111278114,-0.256935535376,-0.257706013042,-0.258423065314,-0.259087036587,-0.259698262326,-0.260257069879,-0.260763779236,-0.261218703733,-0.261622150717,-0.261974422153,-0.262275815205,-0.262526622770,-0.262727133982,-0.262877634681,-0.262978407852,-0.263029734040,-0.263031891737,-0.262985157743,-0.262889807503,-0.262746115433,-0.262554355216,-0.262314800081,-0.262027723072,-0.261693397292,-0.261312096139,-0.260884093521,-0.260409664067,-0.259889083315,-0.259322627896,-0.258710575704,-0.258053206053,-0.257350799832,-0.256603639641,-0.255812009924,-0.254976197092,-0.254096489641,-0.253173178255,-0.252206555912,-0.251196917974,-0.250144562276,-0.249049789209,-0.247912901794,-0.246734205750,-0.245514009565,-0.244252624550,-0.242950364897,-0.241607547729,-0.240224493144,-0.238801524262,-0.237338967256,-0.235837151393,-0.234296409060,-0.232717075791,-0.231099490291,-0.229443994461,-0.227750933404,-0.226020655453,-0.224253512170,-0.222449858361,-0.220610052083,-0.218734454641,-0.216823430596,-0.214877347756,-0.212896577178,-0.210881493161,-0.208832473235,-0.206749898150,-0.204634151871,-0.202485621552,-0.200304697532,-0.198091773308,-0.195847245518,-0.193571513922,-0.191264981377,-0.188928053810,-0.186561140196,-0.184164652529,-0.181739005790,-0.179284617920,-0.176801909788,-0.174291305154,-0.171753230638,-0.169188115686,-0.166596392526,-0.163978496138,-0.161334864207,-0.158665937091,-0.155972157773,-0.153253971820,-0.150511827341,-0.147746174942,-0.144957467681,-0.142146161019,-0.139312712776,-0.136457583083,-0.133581234329,-0.130684131115,-0.127766740205,-0.124829530468,-0.121872972832,-0.118897540229,-0.115903707542,-0.112891951551,-0.109862750875,-0.106816585923,-0.103753938830,-0.100675293408,-0.097581135083,-0.094471950839,-0.091348229161,-0.088210459974,-0.085059134585,-0.081894745623,-0.078717786976,-0.075528753735,-0.072328142129,-0.069116449464,-0.065894174063,-0.062661815200,-0.059419873041,-0.056168848577,-0.052909243564,-0.049641560457,-0.046366302345,-0.043083972892,-0.039795076264,-0.036500117072,-0.033199600300,-0.029894031246,-0.026583915450,-0.023269758634,-0.019952066632,-0.016631345325,-0.013308100576,-0.009982838161,-0.006656063704,-0.003328282611
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999927341096
