A_re,0.131205844294,0.155080350567,0.175596045044,0.193785535520,0.210219809747,0.225252413816,0.239119217286,0.251986157274,0.263974701262,0.275176550503,0.285662665230,0.295489079939,0.304700801515,0.313334509572,0.321420479744,0.328983986523,0.336046347795,0.342625716750,0.348737691884,0.354395793577,0.359611841157,0.364396254628,0.368758298615,0.372706281403,0.376247718723,0.379389469561,0.382137849537,0.384498726185,0.386477599452,0.388079670091,0.389309898022,0.390173052343,0.390673754361,0.390816514709,0.390605765479,0.390045888084,0.389141237475,0.387896163200,0.386315027753,0.384402222545,0.382162181809,0.379599394693,0.376718415745,0.373523873992,0.370020480758,0.366213036357,0.362106435792,0.357705673544,0.353015847552,0.348042162460,0.342789932194,0.337264581936,0.331471649537,0.325416786433,0.319105758084,0.312544443994,0.305738837327,0.298695044168,0.291419282431,0.283917880466,0.276197275367,0.268264011004,0.260124735807,0.251786200313,0.243255254483,0.234538844821,0.225644011292,0.216577884059,0.207347680051,0.197960699373,0.188424321559,0.178746001692,0.168933266391,0.158993709672,0.148934988700,0.138764819430,0.128490972151,0.118121266941,0.107663569028,0.097125784083,0.086515853438,0.075841749234,0.065111469514,0.054333033264,0.043514475402,0.032663841728,0.021789183835,0.010898553992
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.131205844294,-0.155080350567,-0.175596045044,-0.193785535520,-0.210219809747,-0.225252413816,-0.239119217286,-0.251986157274,-0.263974701262,-0.275176550503,-0.285662665230,-0.295489079939,-0.304700801515,-0.313334509572,-0.321420479744,-0.328983986523,-0.336046347795,-0.342625716750,-0.348737691884,-0.354395793577,-0.359611841157,-0.364396254628,-0.368758298615,-0.372706281403,-0.376247718723,-0.379389469561,-0.382137849537,-0.384498726185,-0.386477599452,-0.388079670091,-0.389309898022,-0.390173052343,-0.390673754361,-0.390816514709,-0.390605765479,-0.390045888084,-0.389141237475,-0.387896163200,-0.386315027753,-0.384402222545,-0.382162181809,-0.379599394693,-0.376718415745,-0.373523873992,-0.370020480758,-0.366213036357,-0.362106435792,-0.357705673544,-0.353015847552,-0.348042162460,-0.342789932194,-0.337264581936,-0.331471649537,-0.325416786433,-0.319105758084,-0.312544443994,-0.305738837327,-0.298695044168,-0.291419282431,-0.283917880466,-0.276197275367,-0.268264011004,-0.260124735807,-0.251786200313,-0.243255254483,-0.234538844821,-0.225644011292,-0.216577884059,-0.207347680051,-0.197960699373,-0.188424321559,-0.178746001692,-0.168933266391,-0.158993709672,-0.148934988700,-0.138764819430,-0.128490972151,-0.118121266941,-0.107663569028,-0.097125784083,-0.086515853438,-0.075841749234,-0.065111469514,-0.054333033264,-0.043514475402,-0.032663841728,-0.021789183835,-0.010898553992
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999646798794
