A_re,0.111499528870,0.131827089967,0.149325343405,0.164874719252,0.178963096378,0.191893333833,0.203868081025,0.215030374757,0.225485296187,0.235312480211,0.244573796298,0.253318299164,0.261585548431,0.269407909046,0.276812190317,0.283820841854,0.290452844381,0.296724385376,0.302649379728,0.308239876690,0.313506382030,0.318458115958,0.323103221794,0.327448936363,0.331501730338,0.335267424733,0.338751288304,0.341958119514,0.344892315942,0.347557933376,0.349958736396,0.352098241870,0.353979756531,0.355606409553,0.356981180926,0.358106926223,0.358986398316,0.359622266443,0.360017133012,0.360173548433,0.360094024238,0.359781044701,0.359237077158,0.358464581161,0.357466016621,0.356243851046,0.354800565978,0.353138662713,0.351260667382,0.349169135459,0.346866655744,0.344355853895,0.341639395519,0.338719988890,0.335600387320,0.332283391203,0.328771849773,0.325068662592,0.321176780795,0.317099208108,0.312839001650,0.308399272554,0.303783186396,0.298993963465,0.294034878873,0.288909262523,0.283620498944,0.278172026989,0.272567339425,0.266809982409,0.260903554855,0.254851707706,0.248658143113,0.242326613527,0.235860920704,0.229264914638,0.222542492416,0.215697597008,0.208734215984,0.201656380173,0.194468162268,0.187173675361,0.179777071444,0.172282539840,0.164694305607,0.157016627879,0.149253798179,0.141410138684,0.133490000455,0.125497761633,0.117437825604,0.109314619125,0.101132590430,0.092896207304,0.084609955136,0.076278334944,0.067905861381,0.059497060724,0.051056468839,0.042588629139,0.034098090514,0.025589405265,0.017067127013,0.008535808602
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.111499528870,-0.131827089967,-0.149325343405,-0.164874719252,-0.178963096378,-0.191893333833,-0.203868081025,-0.215030374757,-0.225485296187,-0.235312480210,-0.244573796298,-0.253318299164,-0.261585548431,-0.269407909046,-0.276812190317,-0.283820841854,-0.290452844381,-0.296724385376,-0.302649379728,-0.308239876690,-0.313506382030,-0.318458115958,-0.323103221794,-0.327448936363,-0.331501730338,-0.335267424733,-0.338751288304,-0.341958119514,-0.344892315942,-0.347557933376,-0.349958736396,-0.352098241870,-0.353979756531,-0.355606409553,-0.356981180926,-0.358106926223,-0.358986398316,-0.359622266443,-0.360017133012,-0.360173548433,-0.360094024238,-0.359781044701,-0.359237077158,-0.358464581161,-0.357466016621,-0.356243851046,-0.354800565978,-0.353138662713,-0.351260667382,-0.349169135459,-0.346866655744,-0.344355853895,-0.341639395519,-0.338719988890,-0.335600387320,-0.332283391203,-0.328771849773,-0.325068662592,-0.321176780795,-0.317099208108,-0.312839001650,-0.308399272554,-0.303783186396,-0.298993963465,-0.294034878872,-0.288909262523,-0.283620498944,-0.278172026989,-0.272567339425,-0.266809982409,-0.260903554855,-0.254851707706,-0.248658143113,-0.242326613527,-0.235860920704,-0.229264914638,-0.222542492416,-0.215697597008,-0.208734215984,-0.201656380173,-0.194468162268,-0.187173675361,-0.179777071444,-0.172282539840,-0.164694305607,-0.157016627879,-0.149253798179,-0.141410138684,-0.133490000455,-0.125497761633,-0.117437825604,-0.109314619125,-0.101132590430,-0.092896207304,-0.084609955136,-0.076278334944,-0.067905861381,-0.059497060724,-0.051056468839,-0.042588629139,-0.034098090514,-0.025589405265,-0.017067127013,-0.008535808602
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999744982792
