A_re,0.354063708148,0.415685606070,0.466454532724,0.508968473048,0.544607684028,0.574192414526,0.598250627987,0.617145602281,0.631143665213,0.640453083773,0.645247749003,0.645682263526,0.641901881249,0.634049212575,0.622268810682,0.606710317394,0.587530596636,0.564895134338,0.538978891776,0.509966741275,0.478053575420,0.443444155901,0.406352751199,0.367002600685,0.325625234580,0.282459673481,0.237751527049,0.191752008482,0.144716879202,0.096905336578,0.048578856293
A_im,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.354063708148,-0.415685606070,-0.466454532724,-0.508968473048,-0.544607684028,-0.574192414526,-0.598250627987,-0.617145602281,-0.631143665213,-0.640453083773,-0.645247749003,-0.645682263526,-0.641901881249,-0.634049212575,-0.622268810682,-0.606710317394,-0.587530596636,-0.564895134338,-0.538978891776,-0.509966741275,-0.478053575420,-0.443444155901,-0.406352751199,-0.367002600685,-0.325625234580,-0.282459673481,-0.237751527049,-0.191752008482,-0.144716879202,-0.096905336578,-0.048578856293
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.997415484383
