A_re,0.086998388539,0.102889946997,0.116593783283,0.128799191013,0.139888972057,0.150101386873,0.159596352197,0.168487136756,0.176857274589,0.184770337506,0.192275937484,0.199413596906,0.206215344723,0.212707516226,0.218912035905,0.224847353884,0.230529143747,0.235970832039,0.241184006482,0.246178735205,0.250963819555,0.255546996630,0.259935103200,0.264134209651,0.268149730366,0.271986515417,0.275648927282,0.279140905464,0.282466021265,0.285627524471,0.288628383372,0.291471319219,0.294158836057,0.296693246641,0.299076695058,0.301311176542,0.303398554899,0.305340577873,0.307138890750,0.308795048427,0.310310526158,0.311686729140,0.312925001096,0.314026631963,0.314992864802,0.315824902025,0.316523911006,0.317091029154,0.317527368505,0.317834019881,0.318012056669,0.318062538251,0.317986513124,0.317785021746,0.317459099118,0.317009777152,0.316438086818,0.315745060110,0.314931731837,0.313999141262,0.312948333589,0.311780361325,0.310496285519,0.309097176893,0.307584116863,0.305958198471,0.304220527235,0.302372221904,0.300414415148,0.298348254180,0.296174901303,0.293895534406,0.291511347399,0.289023550592,0.286433371037,0.283742052804,0.280950857232,0.278061063127,0.275073966927,0.271990882828,0.268813142879,0.265542097036,0.262179113200,0.258725577210,0.255182892818,0.251552481636,0.247835783057,0.244034254154,0.240149369553,0.236182621287,0.232135518633,0.228009587922,0.223806372334,0.219527431682,0.215174342163,0.210748696109,0.206252101715,0.201686182750,0.197052578261,0.192352942256,0.187588943376,0.182762264562,0.177874602695,0.172927668241,0.167923184872,0.162862889085,0.157748529805,0.152581867984,0.147364676186,0.142098738167,0.136785848443,0.131427811851,0.126026443106,0.120583566344,0.115101014667,0.109580629670,0.104024260972,0.098433765734,0.092811008179,0.087157859095,0.081476195345,0.075767899364,0.070034858656,0.064278965285,0.058502115359,0.052706208521,0.046893147420,0.041064837195,0.035223184945,0.029370099203,0.023507489405,0.017637265353,0.011761336685,0.005881612336
A_im,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.086998388539,-0.102889946997,-0.116593783283,-0.128799191013,-0.139888972057,-0.150101386873,-0.159596352197,-0.168487136756,-0.176857274589,-0.184770337506,-0.192275937484,-0.199413596906,-0.206215344723,-0.212707516226,-0.218912035905,-0.224847353884,-0.230529143747,-0.235970832039,-0.241184006482,-0.246178735205,-0.250963819555,-0.255546996630,-0.259935103200,-0.264134209651,-0.268149730366,-0.271986515417,-0.275648927282,-0.279140905464,-0.282466021265,-0.285627524471,-0.288628383372,-0.291471319219,-0.294158836057,-0.296693246642,-0.299076695058,-0.301311176542,-0.303398554899,-0.305340577873,-0.307138890750,-0.308795048427,-0.310310526158,-0.311686729140,-0.312925001096,-0.314026631963,-0.314992864802,-0.315824902025,-0.316523911006,-0.317091029154,-0.317527368505,-0.317834019881,-0.318012056669,-0.318062538251,-0.317986513124,-0.317785021746,-0.317459099118,-0.317009777152,-0.316438086818,-0.315745060110,-0.314931731837,-0.313999141262,-0.312948333589,-0.311780361325,-0.310496285519,-0.309097176893,-0.307584116863,-0.305958198472,-0.304220527235,-0.302372221904,-0.300414415148,-0.298348254180,-0.296174901303,-0.293895534406,-0.291511347399,-0.289023550592,-0.286433371037,-0.283742052804,-0.280950857232,-0.278061063127,-0.275073966927,-0.271990882828,-0.268813142879,-0.265542097036,-0.262179113200,-0.258725577210,-0.255182892818,-0.251552481636,-0.247835783057,-0.244034254154,-0.240149369553,-0.236182621287,-0.232135518633,-0.228009587922,-0.223806372334,-0.219527431682,-0.215174342163,-0.210748696109,-0.206252101715,-0.201686182750,-0.197052578261,-0.192352942256,-0.187588943376,-0.182762264562,-0.177874602695,-0.172927668241,-0.167923184872,-0.162862889085,-0.157748529805,-0.152581867984,-0.147364676186,-0.142098738167,-0.136785848443,-0.131427811851,-0.126026443106,-0.120583566344,-0.115101014667,-0.109580629670,-0.104024260972,-0.098433765734,-0.092811008179,-0.087157859095,-0.081476195345,-0.075767899364,-0.070034858656,-0.064278965285,-0.058502115359,-0.052706208521,-0.046893147420,-0.041064837195,-0.035223184945,-0.029370099203,-0.023507489405,-0.017637265353,-0.011761336685,-0.005881612336
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.999844778482
