A_re,0.401923720521,0.470803291497,0.526687421993,0.572463771954,0.609652616548,0.639153288583,0.661547696752,0.677244787267,0.686557061836,0.689744337452,0.687040209879,0.678668703251,0.664855009804,0.645832484535,0.621847157564,0.593160533605,0.560051165721,0.522815322942,0.481766968525,0.437237200812,0.389573266811,0.339137231022,0.286304363557,0.231461298919,0.175004008124,0.117335620646,0.058864128304
A_im,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.401923720521,-0.470803291497,-0.526687421993,-0.572463771954,-0.609652616548,-0.639153288583,-0.661547696752,-0.677244787267,-0.686557061836,-0.689744337452,-0.687040209879,-0.678668703251,-0.664855009804,-0.645832484535,-0.621847157564,-0.593160533605,-0.560051165721,-0.522815322942,-0.481766968525,-0.437237200812,-0.389573266811,-0.339137231022,-0.286304363557,-0.231461298919,-0.175004008124,-0.117335620646,-0.058864128304
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
# constraint,power
# norm_sq,15.205308443375
# dEdt,1.000000000000
# lambda_max,0.996664113639
