A_re,0.076295166673,0.090234540220,0.102257224812,0.112967933633,0.122702576594,0.131670288419,0.140011484489,0.147825658985,0.155186218885,0.162149055295,0.168757808308,0.175047261811,0.181045620851,0.186776090461,0.192258001087,0.197507630150,0.202538814298,0.207363413994,0.211991671717,0.216432492087,0.220693663723,0.224782036984,0.228703667841,0.232463935440,0.236067638989,0.239519078247,0.242822120876,0.245980259169,0.248996658143,0.251874196536,0.254615501943,0.257222981088,0.259698846019,0.262045136880,0.264263741782,0.266356414220,0.268324788384,0.270170392668,0.271894661631,0.273498946615,0.274984525196,0.276352609625,0.277604354382,0.278740862948,0.279763193902,0.280672366404,0.281469365153,0.282155144866,0.282730634337,0.283196740119,0.283554349871,0.283804335399,0.283947555432,0.283984858147,0.283917083481,0.283745065232,0.283469632996,0.283091613918,0.282611834314,0.282031121142,0.281350303357,0.280570213144,0.279691687054,0.278715567036,0.277642701387,0.276473945617,0.275210163237,0.273852226481,0.272401016960,0.270857426254,0.269222356458,0.267496720661,0.265681443388,0.263777460994,0.261785722012,0.259707187466,0.257542831143,0.255293639831,0.252960613528,0.250544765612,0.248047122992,0.245468726219,0.242810629586,0.240073901189,0.237259622974,0.234368890758,0.231402814231,0.228362516936,0.225249136230,0.222063823232,0.218807742746,0.215482073172,0.212088006404,0.208626747705,0.205099515579,0.201507541617,0.197852070342,0.194134359029,0.190355677528,0.186517308061,0.182620545016,0.178666694732,0.174657075267,0.170593016162,0.166475858196,0.162306953126,0.158087663428,0.153819362019,0.149503431983,0.145141266277,0.140734267441,0.136283847294,0.131791426626,0.127258434884,0.122686309849,0.118076497313,0.113430450743,0.108749630948,0.104035505733,0.099289549552,0.094513243160,0.089708073251,0.084875532103,0.080017117209,0.075134330915,0.070228680040,0.065301675510,0.060354831973,0.055389667424,0.050407702815,0.045410461675,0.040399469716,0.035376254446,0.030342344773,0.025299270613,0.020248562494,0.015191751155,0.010130367147,0.005065940436
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.076295166673,-0.090234540220,-0.102257224812,-0.112967933633,-0.122702576594,-0.131670288419,-0.140011484489,-0.147825658985,-0.155186218885,-0.162149055295,-0.168757808308,-0.175047261811,-0.181045620851,-0.186776090461,-0.192258001087,-0.197507630150,-0.202538814298,-0.207363413994,-0.211991671717,-0.216432492087,-0.220693663723,-0.224782036984,-0.228703667841,-0.232463935440,-0.236067638989,-0.239519078247,-0.242822120876,-0.245980259169,-0.248996658143,-0.251874196536,-0.254615501943,-0.257222981088,-0.259698846019,-0.262045136880,-0.264263741782,-0.266356414220,-0.268324788384,-0.270170392668,-0.271894661631,-0.273498946615,-0.274984525196,-0.276352609625,-0.277604354382,-0.278740862948,-0.279763193902,-0.280672366404,-0.281469365153,-0.282155144866,-0.282730634337,-0.283196740119,-0.283554349871,-0.283804335399,-0.283947555432,-0.283984858147,-0.283917083481,-0.283745065232,-0.283469632996,-0.283091613918,-0.282611834314,-0.282031121142,-0.281350303357,-0.280570213144,-0.279691687054,-0.278715567036,-0.277642701387,-0.276473945617,-0.275210163237,-0.273852226481,-0.272401016960,-0.270857426254,-0.269222356458,-0.267496720661,-0.265681443388,-0.263777460994,-0.261785722012,-0.259707187466,-0.257542831143,-0.255293639831,-0.252960613528,-0.250544765612,-0.248047122992,-0.245468726219,-0.242810629586,-0.240073901189,-0.237259622974,-0.234368890758,-0.231402814231,-0.228362516936,-0.225249136230,-0.222063823232,-0.218807742746,-0.215482073172,-0.212088006404,-0.208626747705,-0.205099515579,-0.201507541617,-0.197852070342,-0.194134359029,-0.190355677528,-0.186517308061,-0.182620545016,-0.178666694732,-0.174657075267,-0.170593016162,-0.166475858196,-0.162306953126,-0.158087663428,-0.153819362019,-0.149503431983,-0.145141266277,-0.140734267441,-0.136283847294,-0.131791426626,-0.127258434884,-0.122686309849,-0.118076497313,-0.113430450743,-0.108749630948,-0.104035505733,-0.099289549552,-0.094513243160,-0.089708073251,-0.084875532103,-0.080017117209,-0.075134330915,-0.070228680040,-0.065301675510,-0.060354831973,-0.055389667424,-0.050407702815,-0.045410461675,-0.040399469716,-0.035376254446,-0.030342344773,-0.025299270613,-0.020248562494,-0.015191751155,-0.010130367147,-0.005065940436
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999855556238
