A_re,0.054663988018,0.064664917281,0.073301377996,0.081007675895,0.088025439331,0.094505389862,0.100548949023,0.106228164110,0.111596343495,0.116694203350,0.121553644192,0.126200186710,0.130654606296,0.134934066582,0.139052927717,0.143023336623,0.146855667032,0.150558853513,0.154140649111,0.157607826914,0.160966339751,0.164221448190,0.167377824189,0.170439635824,0.173410617156,0.176294126289,0.179093193978,0.181810564588,0.184448730840,0.187009963432,0.189496336454,0.191909749287,0.194251945566,0.196524529675,0.198728981151,0.200866667319,0.202938854405,0.204946717355,0.206891348530,0.208773765437,0.210594917622,0.212355692828,0.214056922517,0.215699386830,0.217283819060,0.218810909681,0.220281310002,0.221695635480,0.223054468722,0.224358362228,0.225607840885,0.226803404248,0.227945528632,0.229034669021,0.230071260824,0.231055721497,0.231988452021,0.232869838278,0.233700252318,0.234480053525,0.235209589699,0.235889198065,0.236519206193,0.237099932873,0.237631688906,0.238114777861,0.238549496760,0.238936136735,0.239274983623,0.239566318535,0.239810418382,0.240007556365,0.240158002436,0.240262023726,0.240319884953,0.240331848795,0.240298176244,0.240219126940,0.240094959477,0.239925931701,0.239712300979,0.239454324456,0.239152259298,0.238806362916,0.238416893179,0.237984108615,0.237508268594,0.236989633508,0.236428464934,0.235825025785,0.235179580461,0.234492394981,0.233763737108,0.232993876473,0.232183084684,0.231331635427,0.230439804570,0.229507870245,0.228536112938,0.227524815566,0.226474263549,0.225384744878,0.224256550177,0.223089972759,0.221885308681,0.220642856789,0.219362918767,0.218045799173,0.216691805474,0.215301248083,0.213874440384,0.212411698758,0.210913342608,0.209379694373,0.207811079548,0.206207826697,0.204570267461,0.202898736566,0.201193571830,0.199455114166,0.197683707578,0.195879699163,0.194043439106,0.192175280673,0.190275580200,0.188344697088,0.186382993787,0.184390835782,0.182368591576,0.180316632675,0.178235333568,0.176125071703,0.173986227465,0.171819184157,0.169624327966,0.167402047944,0.165152735972,0.162876786736,0.160574597693,0.158246569040,0.155893103677,0.153514607178,0.151111487748,0.148684156193,0.146233025876,0.143758512681,0.141261034970,0.138741013547,0.136198871609,0.133635034707,0.131049930700,0.128443989713,0.125817644088,0.123171328337,0.120505479098,0.117820535083,0.115116937033,0.112395127662,0.109655551615,0.106898655408,0.104124887384,0.101334697655,0.098528538051,0.095706862066,0.092870124805,0.090018782927,0.087153294591,0.084274119399,0.081381718342,0.078476553738,0.075559089181,0.072629789478,0.069689120594,0.066737549590,0.063775544566,0.060803574603,0.057822109699,0.054831620711,0.051832579297,0.048825457848,0.045810729434,0.042788867739,0.039760346998,0.036725641938,0.033685227713,0.030639579844,0.027589174153,0.024534486702,0.021475993730,0.018414171587,0.015349496675,0.012282445380,0.009213494008,0.006143118727,0.003071795495
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.054663988018,-0.064664917281,-0.073301377996,-0.081007675895,-0.088025439331,-0.094505389862,-0.100548949023,-0.106228164110,-0.111596343495,-0.116694203350,-0.121553644192,-0.126200186710,-0.130654606296,-0.134934066582,-0.139052927717,-0.143023336623,-0.146855667032,-0.150558853513,-0.154140649111,-0.157607826914,-0.160966339751,-0.164221448190,-0.167377824189,-0.170439635824,-0.173410617156,-0.176294126289,-0.179093193978,-0.181810564588,-0.184448730840,-0.187009963432,-0.189496336454,-0.191909749287,-0.194251945566,-0.196524529675,-0.198728981151,-0.200866667319,-0.202938854405,-0.204946717355,-0.206891348530,-0.208773765437,-0.210594917622,-0.212355692828,-0.214056922517,-0.215699386830,-0.217283819060,-0.218810909681,-0.220281310002,-0.221695635480,-0.223054468722,-0.224358362228,-0.225607840885,-0.226803404248,-0.227945528632,-0.229034669021,-0.230071260824,-0.231055721497,-0.231988452021,-0.232869838278,-0.233700252318,-0.234480053525,-0.235209589699,-0.235889198065,-0.236519206193,-0.237099932873,-0.237631688906,-0.238114777861,-0.238549496760,-0.238936136735,-0.239274983623,-0.239566318535,-0.239810418382,-0.240007556365,-0.240158002436,-0.240262023726,-0.240319884953,-0.240331848795,-0.240298176244,-0.240219126940,-0.240094959477,-0.239925931701,-0.239712300979,-0.239454324456,-0.239152259298,-0.238806362916,-0.238416893179,-0.237984108615,-0.237508268594,-0.236989633508,-0.236428464934,-0.235825025785,-0.235179580461,-0.234492394981,-0.233763737108,-0.232993876473,-0.232183084684,-0.231331635427,-0.230439804570,-0.229507870245,-0.228536112938,-0.227524815566,-0.226474263549,-0.225384744878,-0.224256550177,-0.223089972759,-0.221885308681,-0.220642856789,-0.219362918767,-0.218045799173,-0.216691805474,-0.215301248083,-0.213874440384,-0.212411698758,-0.210913342608,-0.209379694373,-0.207811079548,-0.206207826697,-0.204570267461,-0.202898736566,-0.201193571830,-0.199455114166,-0.197683707578,-0.195879699163,-0.194043439106,-0.192175280673,-0.190275580200,-0.188344697088,-0.186382993787,-0.184390835782,-0.182368591576,-0.180316632675,-0.178235333568,-0.176125071703,-0.173986227465,-0.171819184157,-0.169624327966,-0.167402047944,-0.165152735972,-0.162876786736,-0.160574597693,-0.158246569040,-0.155893103677,-0.153514607178,-0.151111487748,-0.148684156193,-0.146233025876,-0.143758512681,-0.141261034970,-0.138741013547,-0.136198871609,-0.133635034707,-0.131049930700,-0.128443989713,-0.125817644088,-0.123171328337,-0.120505479098,-0.117820535083,-0.115116937033,-0.112395127662,-0.109655551615,-0.106898655408,-0.104124887384,-0.101334697655,-0.098528538051,-0.095706862066,-0.092870124805,-0.090018782927,-0.087153294591,-0.084274119399,-0.081381718342,-0.078476553738,-0.075559089181,-0.072629789478,-0.069689120594,-0.066737549590,-0.063775544566,-0.060803574603,-0.057822109699,-0.054831620711,-0.051832579297,-0.048825457848,-0.045810729434,-0.042788867739,-0.039760346998,-0.036725641938,-0.033685227713,-0.030639579844,-0.027589174153,-0.024534486702,-0.021475993730,-0.018414171587,-0.015349496675,-0.012282445380,-0.009213494008,-0.006143118727,-0.003071795495
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999925861942
