A_re,0.068983421245,0.081593371345,0.092474482862,0.102174007834,0.110996115098,0.119130311934,0.126703941249,0.133807319893,0.140507154349,0.146854293214,0.152888489547,0.158641471980,0.164139005143,0.169402318278,0.174449123698,0.179294360368,0.183950748110,0.188429208196,0.192739187684,0.196888913080,0.200885591283,0.204735570578,0.208444470983,0.212017290770,0.215458494264,0.218772084805,0.221961665791,0.225030492125,0.227981513815,0.230817413169,0.233540636663,0.236153422413,0.238657823949,0.241055730884,0.243348886968,0.245538905901,0.247627285252,0.249615418736,0.251504607096,0.253296067763,0.254990943464,0.256590309912,0.258095182693,0.259506523448,0.260825245443,0.262052218584,0.263188273954,0.264234207925,0.265190785884,0.266058745620,0.266838800413,0.267531641841,0.268137942354,0.268658357621,0.269093528680,0.269444083914,0.269710640853,0.269893807845,0.269994185579,0.270012368492,0.269948946069,0.269804504034,0.269579625448,0.269274891731,0.268890883596,0.268428181914,0.267887368513,0.267269026917,0.266573743026,0.265802105742,0.264954707552,0.264032145062,0.263035019487,0.261963937108,0.260819509684,0.259602354843,0.258313096425,0.256952364808,0.255520797200,0.254019037907,0.252447738577,0.250807558418,0.249099164395,0.247323231412,0.245480442466,0.243571488787,0.241597069965,0.239557894049,0.237454677647,0.235288145992,0.233059033012,0.230768081375,0.228416042527,0.226003676713,0.223531752995,0.221001049246,0.218412352152,0.215766457182,0.213064168568,0.210306299266,0.207493670906,0.204627113743,0.201707466592,0.198735576759,0.195712299962,0.192638500247,0.189515049901,0.186342829347,0.183122727046,0.179855639383,0.176542470556,0.173184132448,0.169781544505,0.166335633604,0.162847333915,0.159317586756,0.155747340453,0.152137550186,0.148489177833,0.144803191811,0.141080566916,0.137322284152,0.133529330564,0.129702699060,0.125843388236,0.121952402195,0.118030750363,0.114079447301,0.110099512514,0.106091970264,0.102057849366,0.097998182997,0.093914008492,0.089806367145,0.085676303997,0.081524867636,0.077353109985,0.073162086091,0.068952853909,0.064726474094,0.060484009777,0.056226526354,0.051955091260,0.047670773754,0.043374644693,0.039067776309,0.034751241986,0.030426116033,0.026093473458,0.021754389741,0.017409940605,0.013061201787,0.008709248809,0.004355156747
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.068983421245,-0.081593371345,-0.092474482862,-0.102174007834,-0.110996115098,-0.119130311934,-0.126703941249,-0.133807319893,-0.140507154349,-0.146854293214,-0.152888489547,-0.158641471980,-0.164139005143,-0.169402318278,-0.174449123698,-0.179294360368,-0.183950748110,-0.188429208196,-0.192739187684,-0.196888913080,-0.200885591283,-0.204735570578,-0.208444470983,-0.212017290770,-0.215458494264,-0.218772084805,-0.221961665791,-0.225030492125,-0.227981513815,-0.230817413169,-0.233540636663,-0.236153422413,-0.238657823949,-0.241055730884,-0.243348886968,-0.245538905901,-0.247627285252,-0.249615418736,-0.251504607096,-0.253296067763,-0.254990943464,-0.256590309912,-0.258095182693,-0.259506523448,-0.260825245443,-0.262052218584,-0.263188273954,-0.264234207925,-0.265190785884,-0.266058745620,-0.266838800413,-0.267531641841,-0.268137942354,-0.268658357621,-0.269093528680,-0.269444083914,-0.269710640853,-0.269893807845,-0.269994185579,-0.270012368492,-0.269948946069,-0.269804504034,-0.269579625448,-0.269274891731,-0.268890883596,-0.268428181914,-0.267887368513,-0.267269026917,-0.266573743026,-0.265802105742,-0.264954707552,-0.264032145062,-0.263035019487,-0.261963937108,-0.260819509684,-0.259602354843,-0.258313096425,-0.256952364808,-0.255520797200,-0.254019037907,-0.252447738577,-0.250807558418,-0.249099164395,-0.247323231412,-0.245480442466,-0.243571488787,-0.241597069965,-0.239557894049,-0.237454677647,-0.235288145992,-0.233059033012,-0.230768081375,-0.228416042527,-0.226003676713,-0.223531752995,-0.221001049246,-0.218412352152,-0.215766457182,-0.213064168568,-0.210306299266,-0.207493670906,-0.204627113743,-0.201707466592,-0.198735576759,-0.195712299962,-0.192638500247,-0.189515049901,-0.186342829347,-0.183122727046,-0.179855639383,-0.176542470556,-0.173184132448,-0.169781544505,-0.166335633604,-0.162847333915,-0.159317586756,-0.155747340453,-0.152137550186,-0.148489177833,-0.144803191811,-0.141080566916,-0.137322284152,-0.133529330564,-0.129702699060,-0.125843388236,-0.121952402195,-0.118030750363,-0.114079447301,-0.110099512514,-0.106091970264,-0.102057849366,-0.097998182997,-0.093914008492,-0.089806367145,-0.085676303997,-0.081524867636,-0.077353109985,-0.073162086091,-0.068952853909,-0.064726474094,-0.060484009777,-0.056226526354,-0.051955091260,-0.047670773754,-0.043374644693,-0.039067776309,-0.034751241986,-0.030426116033,-0.026093473458,-0.021754389741,-0.017409940605,-0.013061201787,-0.008709248809,-0.004355156747
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999881921891
