A_re,0.077947528152,0.092187043055,0.104467229366,0.115405763762,0.125345709152,0.134500617440,0.143013841330,0.150986933375,0.158494800348,0.165594459514,0.172330416956,0.178738135476,0.184846360922,0.190678734919,0.196254944432,0.201591560921,0.206702665686,0.211600324379,0.216294952835,0.220795603164,0.225110190327,0.229245673644,0.233208203717,0.237003242477,0.240635662119,0.244109827289,0.247429663845,0.250598716786,0.253620199346,0.256497034847,0.259231892572,0.261827218664,0.264285262862,0.266608101746,0.268797659015,0.270855723260,0.272783963588,0.274583943405,0.276257132614,0.277804918448,0.279228615105,0.280529472358,0.281708683248,0.282767390991,0.283706695187,0.284527657402,0.285231306218,0.285818641788,0.286290639964,0.286648256041,0.286892428154,0.287024080369,0.287044125494,0.286953467641,0.286753004563,0.286443629783,0.286026234542,0.285501709577,0.284870946742,0.284134840494,0.283294289247,0.282350196612,0.281303472525,0.280155034279,0.278905807464,0.277556726825,0.276108737035,0.274562793405,0.272919862521,0.271180922824,0.269346965122,0.267418993063,0.265398023546,0.263285087090,0.261081228157,0.258787505438,0.256404992094,0.253934775963,0.251377959740,0.248735661112,0.246009012871,0.243199162999,0.240307274721,0.237334526532,0.234282112209,0.231151240788,0.227943136523,0.224659038833,0.221300202211,0.217867896135,0.214363404941,0.210788027698,0.207143078048,0.203429884047,0.199649787979,0.195804146164,0.191894328742,0.187921719460,0.183887715430,0.179793726882,0.175641176912,0.171431501206,0.167166147763,0.162846576606,0.158474259478,0.154050679539,0.149577331044,0.145055719019,0.140487358925,0.135873776317,0.131216506492,0.126517094136,0.121777092958,0.116998065317,0.112181581854,0.107329221098,0.102442569089,0.097523218977,0.092572770626,0.087592830212,0.082585009812,0.077550926993,0.072492204397,0.067410469316,0.062307353272,0.057184491587,0.052043522955,0.046886089003,0.041713833859,0.036528403711,0.031331446366,0.026124610803,0.020909546734,0.015687904150,0.010461332874,0.005231482112
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.077947528152,-0.092187043055,-0.104467229366,-0.115405763762,-0.125345709152,-0.134500617440,-0.143013841330,-0.150986933375,-0.158494800348,-0.165594459514,-0.172330416956,-0.178738135476,-0.184846360922,-0.190678734919,-0.196254944432,-0.201591560921,-0.206702665686,-0.211600324379,-0.216294952835,-0.220795603164,-0.225110190327,-0.229245673644,-0.233208203717,-0.237003242477,-0.240635662119,-0.244109827289,-0.247429663845,-0.250598716786,-0.253620199346,-0.256497034847,-0.259231892572,-0.261827218664,-0.264285262862,-0.266608101746,-0.268797659015,-0.270855723260,-0.272783963588,-0.274583943405,-0.276257132614,-0.277804918448,-0.279228615105,-0.280529472358,-0.281708683248,-0.282767390991,-0.283706695187,-0.284527657402,-0.285231306218,-0.285818641788,-0.286290639964,-0.286648256041,-0.286892428154,-0.287024080369,-0.287044125494,-0.286953467641,-0.286753004563,-0.286443629783,-0.286026234542,-0.285501709577,-0.284870946742,-0.284134840494,-0.283294289247,-0.282350196612,-0.281303472525,-0.280155034279,-0.278905807464,-0.277556726825,-0.276108737035,-0.274562793405,-0.272919862521,-0.271180922824,-0.269346965122,-0.267418993063,-0.265398023546,-0.263285087090,-0.261081228157,-0.258787505438,-0.256404992094,-0.253934775963,-0.251377959740,-0.248735661112,-0.246009012871,-0.243199163000,-0.240307274721,-0.237334526532,-0.234282112209,-0.231151240788,-0.227943136523,-0.224659038833,-0.221300202211,-0.217867896135,-0.214363404941,-0.210788027698,-0.207143078048,-0.203429884047,-0.199649787980,-0.195804146164,-0.191894328742,-0.187921719460,-0.183887715430,-0.179793726882,-0.175641176912,-0.171431501206,-0.167166147763,-0.162846576606,-0.158474259478,-0.154050679539,-0.149577331044,-0.145055719019,-0.140487358925,-0.135873776317,-0.131216506492,-0.126517094136,-0.121777092958,-0.116998065317,-0.112181581854,-0.107329221098,-0.102442569089,-0.097523218977,-0.092572770626,-0.087592830212,-0.082585009812,-0.077550926993,-0.072492204397,-0.067410469316,-0.062307353272,-0.057184491587,-0.052043522955,-0.046886089003,-0.041713833859,-0.036528403711,-0.031331446366,-0.026124610803,-0.020909546734,-0.015687904150,-0.010461332874,-0.005231482112
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999849229843
