A_re,0.500608769212,0.581129127522,0.642193699942,0.687160770073,0.717783663999,0.735140211592,0.740008603858,0.733044322931,0.714871694005,0.686133800872,0.647519955190,0.599780011457,0.543730401502,0.480254628467,0.410299863319,0.334870693930,0.255020742795,0.171842674798,0.086456999492
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.500608769212,-0.581129127522,-0.642193699942,-0.687160770073,-0.717783663999,-0.735140211592,-0.740008603858,-0.733044322931,-0.714871694005,-0.686133800872,-0.647519955190,-0.599780011457,-0.543730401502,-0.480254628467,-0.410299863319,-0.334870693930,-0.255020742795,-0.171842674798,-0.086456999492
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.993697663643
