A_re,0.581144770570,0.670014281447,0.733505329150,0.775385567882,0.797673638833,0.801717488194,0.788626927688,0.759473227095,0.715387705615,0.657610142557,0.587509363292,0.506586924888,0.416469752410,0.318895146845,0.215690350338,0.108748195594
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.581144770570,-0.670014281447,-0.733505329150,-0.775385567882,-0.797673638833,-0.801717488194,-0.788626927688,-0.759473227095,-0.715387705615,-0.657610142557,-0.587509363292,-0.506586924888,-0.416469752410,-0.318895146845,-0.215690350338,-0.108748195594
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.991465494411
