A_re,-1.9943602159661361e-01,-1.3859742055745110e+00,4.8851648883087495e-01,1.3859742068259047e+00,-1.9943602126061363e-01
A_im,5.0257838022423684e-01,2.2633853049565564e-01,-1.2310605893774296e+00,-2.2633853004764332e-01,5.0257838191730597e-01
B_re,4.6618136157403034e-01,3.2484790836689370e-01,-1.1419064650207396e+00,-3.2484790961799986e-01,4.6618136285466966e-01
B_im,-5.2508413132711196e-01,1.0314615154471980e+00,1.2861881942198730e+00,-1.0314615166363572e+00,-5.2508413168302048e-01
M,-2,-1,0,1,2
L,2,2,2,2,2
# constraint,power
# norm_sq,1.2566370614359172e+01
# dEdt,1.0000000000000000e+00
# lambda_max,1.8856180831641276e+00
# Fx,1.1898704980480330e+00
# Fy,1.4627931341890021e+00
# Fz,-3.2643944960775115e-10
# seeds_used,509
# best_fp_iters,43
# best_cg_iters,0
# spectral_bound_easy,3.3333333333333330e+00
# spectral_bound_tight,2.6884185643137264e+00
# spectral_bound_tight_est,2.6883280905706743e+00
# spectral_bound_tight_is_upper,0
# opt_gap_easy,1.4477152501692054e+00
# opt_gap_tight,8.0280048114959879e-01
# coeff_save_threshold,1.0000000000000000e-13
