A_re,-2.5928563720064174e-01,-5.4707922394508723e-01,7.4804714108551873e-01,6.5678883890672690e-01,-3.7372147726278571e-01,-1.2300937003810002e-01,2.9312477762982214e-01,4.4863634368633043e-01,-5.5371563038745975e-01,-5.1817655580918409e-01,3.9317398782338880e-01,1.9329439990950192e-01,4.7509548900853300e-02,1.1394889949262259e-01,-1.9991530025154350e-01,-2.6812146117695201e-01,3.1647066102242088e-01,3.0309096772163518e-01,-2.5618184433746050e-01,-1.6661786289106378e-01,8.0123397347662884e-02,1.5502934563775741e-02,-4.0639468768669321e-02,-7.2307467802281228e-02,1.1016987741436861e-01,1.3759123621481928e-01,-1.5814123624648449e-01,-1.5327921551470969e-01,1.3696312172529532e-01,1.0069552927925202e-01,-6.3826629089496947e-02,-2.7766608349029963e-02,-4.9308994498404477e-03,-1.2763603071891670e-02,2.4929707047158998e-02,3.8374680874898384e-02,-5.3864429479604285e-02,-6.4312892637776148e-02,7.2626335717262930e-02,7.0877277228435148e-02,-6.5495936662378046e-02,-5.1608558585127758e-02,3.7234731861995302e-02,2.1314194261301281e-02,-9.3080114744279636e-03,-1.4254260988114538e-03,3.9829810521557268e-03,7.7025768475368203e-03,-1.2990066330953719e-02,-1.8320591737023478e-02,2.4365512558675282e-02,2.8205239375136297e-02,-3.1451249712667856e-02,-3.0824315543474173e-02,2.9123757320165661e-02,2.3990835858400009e-02,-1.8687348828536152e-02,-1.2224668684407742e-02,7.0195594822270706e-03,2.8195131474070762e-03,4.1724069640231405e-04,1.1413009939778955e-03,-2.3865955672510183e-03,-3.9802422028564965e-03,6.1303201696542679e-03,8.1502313670354307e-03,-1.0433119500502097e-02,-1.1807255266622282e-02,1.3041324339336651e-02,1.2816559546765865e-02,-1.2300122358899450e-02,-1.0448649289075669e-02,8.5627034128423190e-03,6.0747646864905301e-03,-3.9968891289268033e-03,-2.1106286944707051e-03,8.6083300537333543e-04,1.1354037162542222e-04,-3.3312653753981588e-04,-6.8264132055409997e-04,1.2299897846502132e-03,1.8694391545046472e-03,-2.7054122357698918e-03,-3.4466270145178451e-03,4.2880929415281734e-03,4.7699477032304236e-03,-5.2293821418336649e-03,-5.1487168413842837e-03,4.9983094722812274e-03,4.3422645080924355e-03,-3.6892535895268128e-03,-2.7650421668659764e-03,1.9790271920391398e-03,1.1997961117096404e-03,-6.4348525207160779e-04,-2.4342364664210137e-04,-3.1743519709690821e-05,-9.0727674507572165e-05,1.9954202361633670e-04,3.5209027364766177e-04,-5.7728172792886727e-04,-8.2257709747008377e-04,1.1373150476818980e-03,1.4028495038829034e-03,-1.7072557415813889e-03,-1.8735010590601032e-03,2.0416670769134947e-03,2.0126959882694876e-03,-1.9710263819691909e-03,-1.7417016723715987e-03,1.5201402401941412e-03,1.1854819728833266e-03,-8.9898562000679302e-04,-5.9420893012675604e-04,3.6644337095672149e-04,1.8237070034490133e-04,-7.0501749053283628e-05,-8.3326212219889019e-06,2.5446611776500322e-05,5.4535995025356054e-05,-1.0321930339572876e-04,-1.6554151497605448e-04,2.5404447326415083e-04,3.4511210944403740e-04,-4.6076905165178824e-04,-5.5413165072684906e-04,6.6261676534401818e-04,7.1921208947444803e-04,-7.7990413945905129e-04,-7.6950126168766060e-04,7.5872085706569234e-04,6.7941510222126991e-04,-6.0544700254696964e-04,-4.8656906618155937e-04,3.8493873221784200e-04,2.7016466061018058e-04,-1.8196320405363856e-04,-1.0426321314311488e-04,5.3059986528562998e-05,1.9121395865430512e-05,2.2628239534787643e-06,6.7104602732465541e-06,-1.5367428324973970e-05,-2.8327072149509974e-05,4.8685555066903653e-05,7.2990139952719434e-05,-1.0661912368604707e-04,-1.3959131647409739e-04,1.8128504458276001e-04,2.1361467801417808e-04,-2.5179640202822954e-04,-2.7084297649509765e-04,2.9248241399742895e-04,2.8875258997653266e-04,-2.8625868535490451e-04,-2.5907768919758575e-04,2.3471681398934210e-04,1.9312374995105507e-04,-1.5781869516196765e-04,-1.1578593351623872e-04,8.2947387708825335e-05,5.1982580488994849e-05,-3.0492295848304702e-05,-1.4476082006382892e-05,5.3530878029104080e-06,5.7927121635104517e-07,-1.8304711207192859e-06,-4.0699866793715794e-06,8.0118867064773456e-06,1.3399430842019159e-05,-2.1504734849659394e-05,-3.0647913325093689e-05,4.3080126902144250e-05,5.4764471466096835e-05,-6.9538940043751619e-05,-8.0574106271960082e-05,9.3848262620352182e-05,1.0018316377039381e-04,-1.0780481486557617e-04,-1.0647317569023334e-04,1.0602126240232201e-04,9.6791638221952909e-05,-8.8876031074704246e-05,-7.4525015756747045e-05,6.2483744589271809e-05,4.7440273417643025e-05,-3.5584927508024821e-05,-2.3754253467738484e-05,1.5259272564328062e-05,8.3593173669177554e-06,-4.0758197084749321e-06,-1.4099315117183389e-06,-1.5249713844690500e-07,-4.6659844814767071e-07,1.1047177065527018e-06,2.1094499356576203e-06,-3.7635233654325179e-06,-5.8704887400921701e-06,8.9443738130874172e-06,1.2248669064848867e-05,-1.6690301362181349e-05,-2.0707820813843432e-05,2.5804254254593944e-05,2.9477266216946734e-05,-3.3985600862088621e-05,-3.6043509222001778e-05,3.8665902253879807e-05,3.8198657313391172e-05,-3.8176861258408329e-05,-3.5107920359305377e-05,3.2600148629692551e-05,2.7768141927925144e-05,-2.3775002894211036e-05,-1.8554513004288384e-05,1.4427675281126680e-05,1.0100422891310721e-05,-6.9216467745273894e-06,-4.1584780578569682e-06,2.3429460599844094e-06,1.0701002707950559e-06,-3.8121222564267262e-07,-3.4627777199083788e-08,1.1232606587003971e-07,2.5687677730456861e-07,-5.2106066790868479e-07,-8.9969988480733510e-07,1.4937985649881705e-06,2.2073168530354916e-06,-3.2247200595978120e-06,-4.2718300624865089e-06,5.6691028430178511e-06,6.8876262726010998e-06,-8.4426342746504051e-06,-9.5240602465120797e-06,1.0881563125569866e-05,1.1473030375864989e-05,-1.2273210257491821e-05,-1.2127072113297897e-05,1.2159084211916229e-05,1.1253117559594111e-05,-1.0552071682643369e-05,-9.1110771929798165e-06,7.9424955114492003e-06,6.3442784425484571e-06,-5.0823501783796640e-06,-3.6968883947170407e-06,2.6631986287166461e-06,1.7111205834423797e-06,-1.0600729469832076e-06,-5.6106362065307953e-07,2.6472324092986346e-07,8.8743322951480983e-08
A_im,2.5325411561652872e-01,-5.6010850915236021e-01,-7.3064601388650119e-01,6.7243097711478617e-01,3.6502794131327609e-01,-1.2593897019621839e-01,-2.8630609072566260e-01,4.5932109993835757e-01,5.4083506265738923e-01,-5.3051748666591658e-01,-3.8402795029647185e-01,1.9789791313807717e-01,-4.6404379389089298e-02,1.1666271348186623e-01,1.9526486021826156e-01,-2.7450705863743835e-01,-3.0910890405735453e-01,3.1030940103730276e-01,2.5022252921715205e-01,-1.7058604395379526e-01,-7.8259563006644606e-02,1.5872153189430110e-02,3.9694111867991072e-02,-7.4029546047277461e-02,-1.0760710127263393e-01,1.4086811607255878e-01,1.5446254835851359e-01,-1.5692972104210123e-01,-1.3377708012393141e-01,1.0309369891559969e-01,6.2341891648488926e-02,-2.8427899151433355e-02,4.8161967452453784e-03,-1.3067581493861533e-02,-2.4349791520547573e-02,3.9288613716242642e-02,5.2611433568041384e-02,-6.5844570966677188e-02,-7.0936899776899986e-02,7.2565293176830595e-02,6.3972368325935933e-02,-5.2837669915298389e-02,-3.6368576551666511e-02,2.1821813831494740e-02,9.0914883032104429e-03,-1.4593740747806038e-03,-3.8903288957284976e-03,7.8860215946415582e-03,1.2687891207563728e-02,-1.8756915408229255e-02,-2.3798721595869685e-02,2.8876976086680300e-02,3.0719630203200902e-02,-3.1558428234082239e-02,-2.8446280000227610e-02,2.4562202188669280e-02,1.8252643449384098e-02,-1.2515811658180172e-02,-6.8562704114585593e-03,2.8866627205295808e-03,-4.0753484453543196e-04,1.1684822264247639e-03,2.3310785794657183e-03,-4.0750356914320872e-03,-5.9877166429986315e-03,8.3443373751084116e-03,1.0190424229309502e-02,-1.2088457009304387e-02,-1.2737956992164606e-02,1.3121798890415528e-02,1.2013996864109391e-02,-1.0697494439100293e-02,-8.3635177871440557e-03,6.2194413364135472e-03,3.9039134971320800e-03,-2.1608954378890214e-03,-8.4080831284986479e-04,1.1624444794444661e-04,3.2537735311304706e-04,-6.9889910208095199e-04,-1.2013777769349623e-03,1.9139617113642508e-03,2.6424789627045465e-03,-3.5287118783208287e-03,-4.1883433603042211e-03,4.8835487740853979e-03,5.1077362979878686e-03,-5.2713386766906909e-03,-4.8820388421833257e-03,4.4456798703517353e-03,3.6034342115296284e-03,-2.8308943990533833e-03,-1.9329910877760193e-03,1.2283704464289974e-03,6.2851650937459434e-04,-2.4922102094272037e-04,3.1005102986669111e-05,-9.2888442660070012e-05,-1.9490028267523234e-04,3.6047564865531996e-04,5.6385301483623208e-04,-8.4216757955106079e-04,-1.1108588512643409e-03,1.4362597459068552e-03,1.6675415960479196e-03,-1.9181203324872842e-03,-1.9941738617899954e-03,2.0606303256600561e-03,1.9251764103610804e-03,-1.7831820113073011e-03,-1.4847787741956696e-03,1.2137153899843109e-03,8.7807344019610455e-04,-6.0836059729000268e-04,-3.5791917628269645e-04,1.8671403617136496e-04,6.8861739886369190e-05,-8.5310705751262926e-06,-2.4854673852976256e-05,5.5834822238086253e-05,1.0081822024762605e-04,-1.6948404607779099e-04,-2.4813490056231901e-04,3.5333128856550946e-04,4.5005065895999265e-04,-5.6732883347425931e-04,-6.4720299791981941e-04,7.3634082343830868e-04,7.6176203719066128e-04,-7.8782768094324467e-04,-7.4107151999954250e-04,6.9559603147030557e-04,5.9136311717418216e-04,-4.9815717921102085e-04,-3.7598430281227937e-04,2.7659889256850698e-04,1.7773038389038841e-04,-1.0674634167826905e-04,-5.1825707682283325e-05,1.9576790147655086e-05,-2.2101862881035818e-06,6.8702762157718866e-06,1.5009952116971314e-05,-2.9001708227311899e-05,-4.7553034387501429e-05,7.4728469570139831e-05,1.0413895527114364e-04,-1.4291581678112995e-04,-1.7706800115477485e-04,2.1870211555354152e-04,2.4593912678033957e-04,-2.7729336076540579e-04,-2.8567870273271245e-04,2.9562950874624110e-04,2.7959975031460190e-04,-2.6524787160320511e-04,-2.2925684366081208e-04,1.9772317600410660e-04,1.5414752521742623e-04,-1.1854348548968572e-04,-8.1017870325297508e-05,5.3220594811323258e-05,2.9782985941961680e-05,-1.4820843512364949e-05,-5.2285646385361440e-06,5.9306709512206735e-07,1.7878908443491503e-06,-4.1669171923373889e-06,-7.8255147859814821e-06,1.3718550788697389e-05,2.1004493212886379e-05,-3.1377822067220484e-05,-4.2077999900967021e-05,5.6068738728416701e-05,6.7921329807386400e-05,-8.2493054302644044e-05,-9.1665170444935629e-05,1.0256911997882990e-04,1.0529706626367274e-04,-1.0900893442312888e-04,-1.0355500273939833e-04,9.9096821951300210e-05,8.6808602772098226e-05,-7.6299898840910497e-05,-6.1030252020440599e-05,4.8570107860844928e-05,3.4757153475881058e-05,-2.4319983126405303e-05,-1.4904312521291662e-05,8.5584022503702605e-06,3.9810083216148897e-06,-1.4435103262899631e-06,1.4894976494498136e-07,-4.7771091411876756e-07,-1.0790198651182713e-06,2.1596884133506124e-06,3.6759766158280920e-06,-6.0102998162201600e-06,-8.7363105474788768e-06,1.2540382392928442e-05,1.6302052948155735e-05,-2.1200996668166716e-05,-2.5203997780726706e-05,3.0179294538625620e-05,3.3195030538023821e-05,-3.6901918703663645e-05,-3.7766459128458062e-05,3.9108393630817976e-05,3.7288794185587797e-05,-3.5944047888701502e-05,-3.1841806636473744e-05,2.8429465813454268e-05,2.3221950765999062e-05,-1.8996405782160968e-05,-1.4092059945621976e-05,1.0340973710149607e-05,6.7606360513058955e-06,-4.2575160013548605e-06,-2.2884446717295829e-06,1.0955856770560189e-06,3.7234450582501898e-07,-3.5452468464011732e-08,-1.0971314941085526e-07,2.6299452751847830e-07,5.0893980980481555e-07,-9.2112704664473937e-07,-1.4590499748841200e-06,2.2598860969664042e-06,3.1497069401974953e-06,-4.3735675642441458e-06,-5.5372287203984969e-06,7.0516613432403945e-06,8.2462425195099694e-06,-9.7508843961047778e-06,-1.0628437231072234e-05,1.1746271025646505e-05,1.1987711997128109e-05,-1.2415889359309183e-05,-1.1876240747091683e-05,1.1521120773591991e-05,1.0306610403358133e-05,-9.3280657559389657e-06,-7.7577379575856850e-06,6.4953731701160888e-06,4.9641250589751303e-06,-3.7849331226446603e-06,-2.6012475791199488e-06,1.7518724545260294e-06,1.0354136452563847e-06,-5.7442585073068071e-07,-2.5856527931755391e-07,9.0856823568182869e-08
B_re,2.5325411739685427e-01,-5.6010850562759851e-01,-7.3064601843327237e-01,6.7243097335914992e-01,3.6502794330338550e-01,-1.2593896933903742e-01,-2.8630609265132489e-01,4.5932109711149466e-01,5.4083506602862730e-01,-5.3051748361341844e-01,-3.8402795252221106e-01,1.9789791210710417e-01,-4.6404379724977463e-02,1.1666271272044744e-01,1.9526486150692157e-01,-2.7450705695717909e-01,-3.0910890599220942e-01,3.1030939922856493e-01,2.5022253070690714e-01,-1.7058604301523697e-01,-7.8259563435131504e-02,1.5872153078271594e-02,3.9694112143835461e-02,-7.4029545572606048e-02,-1.0760710197747636e-01,1.4086811521102194e-01,1.5446254932951617e-01,-1.5692972011858694e-01,-1.3377708093305218e-01,1.0309369833380362e-01,6.2341892007232710e-02,-2.8427899002448794e-02,4.8161967810921623e-03,-1.3067581405932069e-02,-2.4349791686854052e-02,3.9288613466457740e-02,5.2611433911700069e-02,-6.5844570563513574e-02,-7.0936900224872187e-02,7.2565292746451612e-02,6.3972368717350958e-02,-5.2837669612106883e-02,-3.6368576766113062e-02,2.1821813711749165e-02,9.0914883533468795e-03,-1.4593740642760461e-03,-3.8903289235626788e-03,7.8860215424879036e-03,1.2687891293433189e-02,-1.8756915289435499e-02,-2.3798721751257888e-02,2.8876975909456693e-02,3.0719630398098111e-02,-3.1558428045611972e-02,-2.8446280175921736e-02,2.4562202045961663e-02,1.8252643558847821e-02,-1.2515811587859684e-02,-6.8562704509271179e-03,2.8866627052767280e-03,-4.0753484765193506e-04,1.1684822183372053e-03,2.3310785958550093e-03,-4.0750356647404852e-03,-5.9877166833376934e-03,8.3443373223344112e-03,1.0190424295915573e-02,-1.2088456934894040e-02,-1.2737957073361141e-02,1.3121798811548896e-02,1.2013996938920395e-02,-1.0697494376305875e-02,-8.3635178379528070e-03,6.2194413008724919e-03,3.9039135201270293e-03,-2.1608954260008387e-03,-8.4080831752885582e-04,1.1624444708496576e-04,3.2537735550613870e-04,-6.9889909732875313e-04,-1.2013777852968540e-03,1.9139616988920927e-03,2.6424789804698201e-03,-3.5287118559986647e-03,-4.1883433877333209e-03,4.8835487439212498e-03,5.1077363307018035e-03,-5.2713386448158678e-03,-4.8820388728093144e-03,4.4456798440222932e-03,3.6034342336574211e-03,-2.8308943826622786e-03,-1.9329910993549717e-03,1.2283704395183107e-03,6.2851651300814277e-04,-2.4922101961285468e-04,3.1005103230179185e-05,-9.2888441999465737e-05,-1.9490028408294415e-04,3.6047564622986109e-04,5.6385301873871328e-04,-8.4216757407755405e-04,-1.1108588587295295e-03,1.4362597368100167e-03,1.6675416069968682e-03,-1.9181203205952109e-03,-1.9941738746237251e-03,2.0606303131270550e-03,1.9251764225213625e-03,-1.7831820006613494e-03,-1.4847787833990474e-03,1.2137153828787432e-03,8.7807344552601728e-04,-6.0836059380997348e-04,-3.5791917839748065e-04,1.8671403513835535e-04,6.8861740273622543e-05,-8.5310705103522347e-06,-2.4854674040745808e-05,5.5834821848286929e-05,1.0081822096790245e-04,-1.6948404494434322e-04,-2.4813490227438358e-04,3.5333128627119227e-04,4.5005066198651543e-04,-5.6732882987384561e-04,-6.4720300218224815e-04,7.3634081885490786e-04,7.6176204211681647e-04,-7.8782767612436684e-04,-7.4107152471105232e-04,6.9559602728655489e-04,5.9136312087081154e-04,-4.9815717626631962e-04,-3.7598430512024255e-04,2.7659889096514739e-04,1.7773038495791550e-04,-1.0674634107499673e-04,-5.1825707983930473e-05,1.9576790042024491e-05,-2.2101863059281251e-06,6.8702761655953963e-06,1.5009952228238851e-05,-2.9001708027122573e-05,-4.7553034725028764e-05,7.4728469072133112e-05,1.0413895598871190e-04,-1.4291581585289473e-04,-1.7706800234731533e-04,2.1870211416211217e-04,2.4593912840555873e-04,-2.7729335903220389e-04,-2.8567870458913518e-04,2.9562950692791636e-04,2.7959975210334353e-04,-2.6524786999666930e-04,-2.2925684510510252e-04,1.9772317482508981e-04,1.5414752617301476e-04,-1.1854348479471779e-04,-8.1017870818403363e-05,5.3220594505640858e-05,2.9782986118942421e-05,-1.4820843429731105e-05,-5.2285646682842596e-06,5.9306709049827034e-07,1.7878908582177941e-06,-4.1669171624891845e-06,-7.8255148433140083e-06,1.3718550694657313e-05,2.1004493361392546e-05,-3.1377821858475794e-05,-4.2078000190859033e-05,5.6068738363858342e-05,6.7921330265778690e-05,-8.2493053776282321e-05,-9.1665171052872466e-05,1.0256911933499240e-04,1.0529706695125639e-04,-1.0900893374899211e-04,-1.0355500340589335e-04,9.9096821347106052e-05,8.6808603322980401e-05,-7.6299898382272378e-05,-6.1030252402156057e-05,4.8570107573255863e-05,3.4757153689831023e-05,-2.4319982984874402e-05,-1.4904312611277720e-05,8.5584022016797811e-06,3.9810083449843864e-06,-1.4435103184064485e-06,1.4894976617851944e-07,-4.7771091053695480e-07,-1.0790198733231261e-06,2.1596883980688196e-06,3.6759766425599597e-06,-6.0102997752004296e-06,-8.7363106091096378e-06,1.2540382309554466e-05,1.6302053060534859e-05,-2.1200996530099908e-05,-2.5203997951232355e-05,3.0179294345467742e-05,3.3195030758990112e-05,-3.6901918471044843e-05,-3.7766459376242473e-05,3.9108393387693432e-05,3.7288794426962195e-05,-3.5944047668179639e-05,-3.1841806839913886e-05,2.8429465641300185e-05,2.3221950912415768e-05,-1.8996405668680250e-05,-1.4092060033224551e-05,1.0340973649296944e-05,6.7606360926509696e-06,-4.2575159767561699e-06,-2.2884446854273944e-06,1.0955856708924971e-06,3.7234450796945864e-07,-3.5452468180097339e-08,-1.0971315028425487e-07,2.6299452558720088e-07,5.0893981362413963e-07,-9.2112704018134340e-07,-1.4590499854379877e-06,2.2598860815914107e-06,3.1497069623826943e-06,-4.3735675351762333e-06,-5.5372287585943609e-06,7.0516612972516775e-06,8.2462425754139322e-06,-9.7508843335276506e-06,-1.0628437302048465e-05,1.1746270951329343e-05,1.1987712076102597e-05,-1.2415889281773430e-05,-1.1876240824348684e-05,1.1521120702528019e-05,1.0306610469591684e-05,-9.3280656990966243e-06,-7.7577380068339813e-06,6.4953731310243240e-06,4.9641250900875262e-06,-3.7849331001688956e-06,-2.6012475951917383e-06,1.7518724442839914e-06,1.0354136515426097e-06,-5.7442584744069230e-07,-2.5856528084778416e-07,9.0856823066650982e-08
B_im,2.5928563546173033e-01,5.4707922755379479e-01,-7.4804713664451505e-01,-6.5678884275180749e-01,3.7372147531897038e-01,1.2300937091569573e-01,-2.9312477574895457e-01,-4.4863634658051821e-01,5.5371562709464339e-01,5.1817655893438097e-01,-3.9317398564942480e-01,-1.9329440096502870e-01,-4.7509548572778601e-02,-1.1394890027217526e-01,1.9991529899286045e-01,2.6812146289722832e-01,-3.1647065913257466e-01,-3.0309096957344989e-01,2.5618184288236034e-01,1.6661786385197480e-01,-8.0123396929143442e-02,-1.5502934677581619e-02,4.0639468499241625e-02,7.2307468288257432e-02,-1.1016987672592220e-01,-1.3759123709687460e-01,1.5814123529806942e-01,1.5327921646021841e-01,-1.3696312093499635e-01,-1.0069552987490420e-01,6.3826628739098279e-02,2.7766608501562755e-02,4.9308994148275333e-03,1.2763603161915257e-02,-2.4929706884721143e-02,-3.8374681130632179e-02,5.3864429143939810e-02,6.4312893050541484e-02,-7.2626335279711504e-02,-7.0877277669064015e-02,6.5495936280068140e-02,5.1608558895540092e-02,-3.7234731652537205e-02,-2.1314194383898720e-02,9.3080114254577989e-03,1.4254261095661882e-03,-3.9829810249690234e-03,-7.7025769009325734e-03,1.2990066247081751e-02,1.8320591858646429e-02,-2.4365512406901720e-02,-2.8205239556580646e-02,3.1451249522304360e-02,3.0824315736433058e-02,-2.9123757148558523e-02,-2.3990836004506355e-02,1.8687348721618775e-02,1.2224668756402979e-02,-7.0195594436766292e-03,-2.8195131630231905e-03,-4.1724069335830695e-04,-1.1413010022580672e-03,2.3865955512429758e-03,3.9802422301837862e-03,-6.1303201302535743e-03,-8.1502314210662990e-03,1.0433119435445419e-02,1.1807255342804785e-02,-1.3041324260028912e-02,-1.2816559627510783e-02,1.2300122285828701e-02,1.0448649353365598e-02,-8.5627033632154764e-03,-6.0747647228780342e-03,3.9968891064667651e-03,2.1106287066420164e-03,-8.6083300080318670e-04,-1.1354037250537248e-04,3.3312653520239222e-04,6.8264132541947728e-04,-1.2299897764828363e-03,-1.8694391672738418e-03,2.7054122184178744e-03,3.4466270373716338e-03,-4.2880929147371301e-03,-4.7699477341129606e-03,5.2293821098807211e-03,5.1487168740182365e-03,-4.9983094423676610e-03,-4.3422645350489402e-03,3.6892535679137568e-03,2.7650421836474511e-03,-1.9790271807295376e-03,-1.1997961187849115e-03,6.4348524852258311e-04,2.4342364800363918e-04,3.1743519471845257e-05,9.0727675183909407e-05,-1.9954202224137103e-04,-3.5209027613088535e-04,5.7728172411716544e-04,8.2257710307394761e-04,-1.1373150403903643e-03,-1.4028495131963919e-03,1.7072557308871344e-03,1.8735010712353983e-03,-2.0416670643783040e-03,-2.0126960011009748e-03,1.9710263700917809e-03,1.7417016832710944e-03,-1.5201402312048518e-03,-1.1854819801581204e-03,8.9898561480086401e-04,5.9420893368966545e-04,-3.6644336889113133e-04,-1.8237070140251311e-04,7.0501748675038531e-05,8.3326212883056152e-06,-2.5446611593098665e-05,-5.4535995424438805e-05,1.0321930269220739e-04,1.6554151613649645e-04,-2.5404447159191215e-04,-3.4511211179299599e-04,4.6076904869566814e-04,5.5413165441300981e-04,-6.6261676118074169e-04,-7.1921209416700676e-04,7.7990413464748792e-04,7.6950126662130502e-04,-7.5872085246378148e-04,-6.7941510650466029e-04,6.0544699893633105e-04,4.8656906919639157e-04,-3.8493872996356657e-04,-2.7016466225172572e-04,1.8196320301094420e-04,1.0426321376075472e-04,-5.3059986233932752e-05,-1.9121395973576786e-05,-2.2628239360688551e-06,-6.7104603246180461e-06,1.5367428216294723e-05,2.8327072354467000e-05,-4.8685554737227846e-05,-7.2990140462586634e-05,1.0661912298517087e-04,1.3959131742443941e-04,-1.8128504341796025e-04,-2.1361467943874565e-04,2.5179640044081618e-04,2.7084297826957730e-04,-2.9248241218419026e-04,-2.8875259183816244e-04,2.8625868360777250e-04,2.5907769084238262e-04,-2.3471681257864854e-04,-1.9312375115815126e-04,1.5781869422860798e-04,1.1578593422775800e-04,-8.2947387227190082e-05,-5.1982580801957362e-05,3.0492295675440876e-05,1.4476082090984740e-05,-5.3530877738542870e-06,-5.7927122108496239e-07,1.8304711071732521e-06,4.0699867099306452e-06,-8.0118866504784813e-06,-1.3399430938298885e-05,2.1504734704607763e-05,3.0647913538809825e-05,-4.3080126618995685e-05,-5.4764471839337485e-05,6.9538939596022430e-05,8.0574106810857594e-05,-9.3848262026557163e-05,-1.0018316442956489e-04,1.0780481419398704e-04,1.0647317638042530e-04,-1.0602126175133092e-04,-9.6791638840536476e-05,8.8876030536636649e-05,7.4525016226308053e-05,-6.2483744216435769e-05,-4.7440273712081286e-05,3.5584927299051751e-05,2.3754253612640064e-05,-1.5259272476435258e-05,-8.3593174167678398e-06,4.0758196856490536e-06,1.4099315197896055e-06,1.5249713724206146e-07,4.6659845181478725e-07,-1.1047176985387079e-06,-2.1094499513033633e-06,3.7635233393224833e-06,5.8704887820888217e-06,-8.9443737528903036e-06,-1.2248669150208469e-05,1.6690301252416385e-05,2.0707820955198431e-05,-2.5804254088054578e-05,-2.9477266414704844e-05,3.3985600646262417e-05,3.6043509460160595e-05,-3.8665902011859319e-05,-3.8198657562305959e-05,3.8176861022648757e-05,3.5107920585079163e-05,-3.2600148430984815e-05,-2.7768142104179243e-05,2.3775002751200270e-05,1.8554513120471747e-05,-1.4427675195561914e-05,-1.0100422953612646e-05,6.9216467341440823e-06,4.1584780830415007e-06,-2.3429460466052347e-06,-1.0701002771053679e-06,3.8121222354811648e-07,3.4627777489759852e-08,-1.1232606501695700e-07,-2.5687677928184103e-07,5.2106066417820536e-07,8.9969989142466311e-07,-1.4937985546798058e-06,-2.2073168687766549e-06,3.2247200379286831e-06,4.2718300922466981e-06,-5.6691028057104959e-06,-6.8876263196850762e-06,8.4426342200468751e-06,9.5240603105795359e-06,-1.0881563056244675e-05,-1.1473030451952082e-05,1.2273210180354435e-05,1.2127072192680237e-05,-1.2159084136456371e-05,-1.1253117632350538e-05,1.0552071617950536e-05,9.1110772511759081e-06,-7.9424954633465160e-06,-6.3442784825712247e-06,5.0823501479910018e-06,3.6968884177280866e-06,-2.6631986130187179e-06,-1.7111205939283412e-06,1.0600729408432123e-06,5.6106362402142166e-07,-2.6472323943522935e-07,-8.8743323464957292e-08
M,-2,-1,0,1,2,-3,-2,-1,0,1,2,3,-4,-3,-2,-1,0,1,2,3,4,-5,-4,-3,-2,-1,0,1,2,3,4,5,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
L,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
# constraint,power
# norm_sq,1.2566370614359172e+01
# dEdt,1.0000000000000000e+00
# lambda_max,2.1879637321079399e+00
