A_re,4.7172288924246708e-01,-3.0724798795029751e-01,-1.2632711593785928e+00,3.4206331241073606e-01,5.8471047230315332e-01,5.3301788151080345e-02,3.6625651632649192e-01,-1.6758081057094812e-01,-6.1645572273416827e-01,1.8157950990417393e-01,4.3264961001168789e-01,-6.9236239900262814e-02
A_im,-1.4758968681436277e-01,-9.8201923900642163e-01,3.9524431986898617e-01,1.0932952212707761e+00,-1.8294052523740767e-01,1.7036204714660538e-01,-1.1459199608184377e-01,-5.3561823390209362e-01,1.9287272535525504e-01,5.8036058366129950e-01,-1.3536464100913437e-01,-2.2129141146679013e-01
B_re,1.4758964085562679e-01,9.8201924965535636e-01,-3.9524420534763233e-01,-1.0932952349363159e+00,1.8294047608465844e-01,-1.7036205607623450e-01,1.1459196094180130e-01,5.3561825742347757e-01,-1.9287266888852800e-01,-5.8036060728200156e-01,1.3536460300025308e-01,2.2129142007286395e-01
B_im,4.7172291353498524e-01,-3.0724789483146758e-01,-1.2632712165293483e+00,3.4206321581221272e-01,5.8471049563485078e-01,5.3301771328575873e-02,3.6625652083137994e-01,-1.6758076097780594e-01,-6.1645573216916671e-01,1.8157945809081488e-01,4.3264961640931415e-01,-6.9236221351217639e-02
M,-2,-1,0,1,2,-3,-2,-1,0,1,2,3
L,2,2,2,2,2,3,3,3,3,3,3,3
# constraint,power
# norm_sq,1.2566370614359172e+01
# dEdt,1.0000000000000000e+00
# lambda_max,2.0931631902683518e+00
# Fx,-1.8533559515438443e-07
# Fy,2.0681011574876447e+00
# Fz,3.2293922569519984e-01
# seeds_used,511
# best_fp_iters,500
# best_cg_iters,499
# spectral_bound_easy,3.9973333273662579e+00
# spectral_bound_tight,2.9691743133437600e+00
# spectral_bound_tight_est,2.9689481145312295e+00
# spectral_bound_tight_is_upper,0
# opt_gap_easy,1.9041701370979061e+00
# opt_gap_tight,8.7601112307540818e-01
# coeff_save_threshold,1.0000000000000000e-13
