A_re,1.8587076400957223e-01,6.7216193599012830e-01,-5.3624281532855667e-01,-8.0695506902236858e-01,2.6790478854501698e-01,-1.5113389456553347e-01,2.1012852517102579e-01,5.5121112579007070e-01,-3.9693476720057624e-01,-6.3665066759179745e-01,2.8184938542738242e-01,2.3748856181071168e-01,-3.4057546632290964e-02,-1.4000178364985943e-01,1.4331058346130726e-01,3.2942369621015810e-01,-2.2686398679973910e-01,-3.7238842999315080e-01,1.8364555957890261e-01,2.0471269326389624e-01,-5.7436969122640680e-02,1.9047463077910481e-02,-2.9132648481518014e-02,-8.8839484784268841e-02,7.8975889486002537e-02,1.6904932256456290e-01,-1.1336438702375450e-01,-1.8832408212532722e-01,9.8182743618254659e-02,1.2371799007545051e-01,-4.5754475145997321e-02,-3.4115027035398170e-02,3.5347375221846042e-03,1.5681767098321718e-02,-1.7870942423340391e-02,-4.7148279175267337e-02,3.8612846860429671e-02,7.9016670478085235e-02,-5.2062335778368454e-02,-8.7081844408455081e-02,4.6950902161432578e-02,6.3407779714105994e-02,-2.6691820222492082e-02,-2.6187271608380670e-02,6.6724836499797921e-03,-1.7513061811633337e-03,2.8551790672193661e-03,9.4634853457129364e-03,-9.3118161949925071e-03,-2.2508822400409537e-02,1.7466147488642707e-02,3.4653093093431779e-02,-2.2545446711229856e-02,-3.7870887148856731e-02,2.0877025941364931e-02,2.9475295673027459e-02,-1.3395845333839579e-02,-1.5019362915812373e-02,5.0319265716611428e-03,3.4641035510869765e-03,-2.9908147970816488e-04,-1.4021333047336338e-03,1.7106941589271642e-03,4.8897877271546842e-03,-4.3940908052762890e-03,-1.0012531696522950e-02,7.4781610980922762e-03,1.4505046859539015e-02,-9.3475998693430453e-03,-1.5744942218475423e-02,8.8163528570197307e-03,1.2836084395680382e-02,-6.1375477316156874e-03,-7.4629045696432261e-03,2.8649269748515457e-03,2.5929792954005569e-03,-6.1704992059329598e-04,1.3944750618482320e-04,-2.3870218518142023e-04,-8.3832034824312133e-04,8.8126985247553879e-04,2.2955824918791004e-03,-1.9382485311275047e-03,-4.2320372198316981e-03,3.0719866226509018e-03,5.8567114725667484e-03,-3.7462500079337899e-03,-6.3217443048222783e-03,3.5807485244410005e-03,5.3316929046718451e-03,-2.6430580013401365e-03,-3.3952716367673403e-03,1.4179144391252597e-03,1.4733846175374577e-03,-4.6108209987881093e-04,-2.9896340405420222e-04,2.2702398286806175e-05,1.1118306282048819e-04,-1.4264028085431550e-04,-4.3128272068463920e-04,4.1249975101296409e-04,1.0072393855743882e-03,-8.1242989014743952e-04,-1.7173497018495611e-03,1.2193227495105835e-03,2.2931948325176049e-03,-1.4580403375287986e-03,-2.4635166418039813e-03,1.4076464626511405e-03,2.1320339989547243e-03,-1.0858114813212956e-03,-1.4514812397522299e-03,6.4231183432434346e-04,7.2778660197078237e-04,-2.6192336428070923e-04,-2.2347040915787737e-04,5.0419024834938278e-05,-1.0072465680845129e-05,1.7925332205612383e-05,6.5771768245390187e-05,-7.2561042869268125e-05,-1.9928059326601274e-04,1.7829846152960524e-04,4.1486429511202637e-04,-3.2299933966918322e-04,-6.6547665757139547e-04,4.6414044921576391e-04,8.6325970730066087e-04,-5.4612261160331315e-04,-9.2353728895347680e-04,5.3136332552851362e-04,8.1572215809877513e-04,-4.2427785694006701e-04,-5.8468298014882462e-04,2.7004786749858115e-04,3.2507815584975890e-04,-1.2785798398070106e-04,-1.2569060580397808e-04,3.7363780032150967e-05,2.3108787239116675e-05,-1.4240384900013539e-06,-7.1999842706689803e-06,9.5762149906463872e-06,3.0132091763632319e-05,-3.0108702924601508e-05,-7.7125257766227516e-05,6.5555479925015776e-05,1.4676800874613067e-04,-1.1099998564590578e-04,-2.2383600119097558e-04,1.5376964798305854e-04,2.8327540094540024e-04,-1.7842083426445287e-04,-3.0190889891894209e-04,1.7470314198164783e-04,2.7121830735683127e-04,-1.4354073434515933e-04,-2.0275576728205093e-04,9.6874708433613687e-05,1.2212481801226761e-04,-5.1200979015464100e-05,-5.5191919842793217e-05,1.8968363683759210e-05,1.5509757924765213e-05,-3.3658626932746681e-06
A_im,3.1115748890710465e-01,-4.0151774286145886e-01,-8.9769883199411082e-01,4.8203678428507774e-01,4.4848678372502682e-01,9.0280240010039522e-02,3.5176625998520217e-01,-3.2926745418192360e-01,-6.6448978515701984e-01,3.8030499530688366e-01,4.7183077127315304e-01,-1.4186443391029327e-01,-5.7014132861113856e-02,8.3630444455936898e-02,2.3990949042472662e-01,-1.9678213650411894e-01,-3.7978230340199409e-01,2.2244723658076476e-01,3.0743237187394379e-01,-1.2228568162891332e-01,-9.6152521429303986e-02,-1.1378053787100681e-02,-4.8769592528605549e-02,5.3068507338362776e-02,1.3220981122006195e-01,-1.0098207151749015e-01,-1.8977797288083631e-01,1.1249590146876753e-01,1.6436309962795095e-01,-7.3903277196418621e-02,-7.6595408332238005e-02,2.0378704071735032e-02,5.9173372534205649e-03,-9.3675462661746561e-03,-2.9916901320296636e-02,2.8164152854688471e-02,6.4639944756873374e-02,-4.7200823068258194e-02,-8.7155099492564905e-02,5.2018576668253734e-02,7.8598289619001893e-02,-3.7876809771868220e-02,-4.4683516507697765e-02,1.5643038008315839e-02,1.1170089924597434e-02,1.0461475308973941e-03,4.7797204599676285e-03,-5.6530388018030051e-03,-1.5588471845778600e-02,1.3445706471633142e-02,2.9239252908993991e-02,-2.0700119685453929e-02,-3.7742267948671221e-02,2.2622277746779416e-02,3.4949243478885901e-02,-1.7607148299685873e-02,-2.2425352182961975e-02,8.9718574447861937e-03,8.4237106601166428e-03,-2.0692917235076258e-03,-5.0067817500699724e-04,8.3756816977157344e-04,2.8637922799419672e-03,-2.9209280821205210e-03,-7.3559398623902024e-03,5.9810132021019414e-03,1.2518836279942488e-02,-8.6646294189288830e-03,-1.5648375432615505e-02,9.4052843051560756e-03,1.4759039890881832e-02,-7.6676701367958330e-03,-1.0274578741501878e-02,4.4579864758213118e-03,4.7960389049194248e-03,-1.5489232869015908e-03,-1.0329741165200931e-03,-8.3299351148216885e-05,-3.9960004561714701e-04,5.0077296242391684e-04,1.4752922106550587e-03,-1.3712725023707355e-03,-3.2447302703238093e-03,2.5280190449524869e-03,5.1426676385413640e-03,-3.4985226650110306e-03,-6.2714201112164664e-03,3.7763113038493086e-03,5.9943618944143110e-03,-3.1849013874452503e-03,-4.4246184935460564e-03,2.0281748336960417e-03,2.3736635476903438e-03,-8.8013034940238020e-04,-7.7187574798663540e-04,1.7858661177704293e-04,3.8005011242050367e-05,-6.6415509066969223e-05,-2.3878734896081965e-04,2.5762792110709649e-04,6.9054632893953641e-04,-6.0167721971440629e-04,-1.3600504677596385e-03,1.0258635703325597e-03,2.0412105681623218e-03,-1.3698462428793185e-03,-2.4408363968111495e-03,1.4715884445810458e-03,2.3564743918864893e-03,-1.2735763771325567e-03,-1.8177056626928591e-03,8.6704631513530512e-04,1.0752638699889118e-03,-4.3474533197428470e-04,-4.3847351735674483e-04,1.3349066526809235e-04,8.4404104586717745e-05,6.0168152497126896e-06,3.0007950459542311e-05,-3.9288947589372712e-05,-1.2147100895296127e-04,1.1904081288529233e-04,2.9848101989646795e-04,-2.4782033211981391e-04,-5.4071791584105503e-04,3.9752431818722230e-04,7.7699557180367174e-04,-5.1567056852425944e-04,-9.1423803222816789e-04,5.5167754838044466e-04,8.8953020899778840e-04,-4.8727388290628284e-04,-7.1026349030594194e-04,3.4926199284851002e-04,4.5207435958221612e-04,-1.9418633469772789e-04,-2.1404100153616453e-04,7.5081631019374416e-05,6.2548936012304297e-05,-1.3804098059098615e-05,-2.3839154108839178e-06,4.3009305835285785e-06,1.6031088188373927e-05,-1.7999488546591547e-05,-5.0403554450514064e-05,4.6070986379037840e-05,1.0974332635276227e-04,-8.7672276400433909e-05,-1.8581982293756005e-04,1.3370905488758805e-04,2.5741849085441563e-04,-1.6921534475767088e-04,-2.9868587530235005e-04,1.8034611637615612e-04,2.9246226241414115e-04,-1.6201300672067371e-04,-2.4029475017361290e-04,1.2111671909997784e-04,1.6217336433858073e-04,-7.2951598454740516e-05,-8.5713135360336259e-05,3.2969046387157593e-05,3.1754039624338242e-05,-9.2647969621698686e-06,-5.6346313469471389e-06
B_re,-3.1115748778288443e-01,4.0151774667626827e-01,8.9769882912296639e-01,-4.8203678834975966e-01,-4.4848678246833484e-01,-9.0280240937756842e-02,-3.5176625876920625e-01,3.2926745724140449e-01,6.6448978302818851e-01,-3.8030499861056632e-01,-4.7183076986766825e-01,1.4186443502610332e-01,5.7014132649010917e-02,-8.3630445280011442e-02,-2.3990948961097838e-01,1.9678213832264285e-01,3.7978230218019443e-01,-2.2244723853833936e-01,-3.0743237093321063e-01,1.2228568264470359e-01,9.6152521158727994e-02,1.1378053907406210e-02,4.8769592354418571e-02,-5.3068507852093459e-02,-1.3220981077497662e-01,1.0098207244991979e-01,1.8977797226767967e-01,-1.1249590246827432e-01,-1.6436309911701733e-01,7.3903277826088701e-02,7.6595408105702811e-02,-2.0378704232979133e-02,-5.9173372307845000e-03,9.3675463613393309e-03,2.9916901215279769e-02,-2.8164153125026327e-02,-6.4639944539864935e-02,4.7200823504594709e-02,8.7155099209686268e-02,-5.2018577134044883e-02,-7.8598289371837077e-02,3.7876810100006937e-02,4.4683516372282191e-02,-1.5643038137914490e-02,-1.1170089892937956e-02,-1.0461475422662075e-03,-4.7797204423914944e-03,5.6530388582472328e-03,1.5588471791555871e-02,-1.3445706600199246e-02,-2.9239252810873619e-02,2.0700119877256017e-02,3.7742267825602957e-02,-2.2622277950753250e-02,-3.4949243367943375e-02,1.7607148454132880e-02,2.2425352113840620e-02,-8.9718575208916612e-03,-8.4237106351939279e-03,2.0692917400153567e-03,5.0067817303915099e-04,-8.3756817852396104e-04,-2.8637922695935627e-03,2.9209281110056727e-03,7.3559398369200790e-03,-5.9810132592120861e-03,-1.2518836237887869e-02,8.6646294994523945e-03,1.5648375381348834e-02,-9.4052843905018581e-03,-1.4759039843646803e-02,7.6676702047494567e-03,1.0274578709421339e-02,-4.4579865142829606e-03,-4.7960388904002161e-03,1.5489232997669409e-03,1.0329741135656734e-03,8.3299352078082539e-05,3.9960004410662537e-04,-5.0077296756472368e-04,-1.4752922053775338e-03,1.3712725158616368e-03,3.2447302591122680e-03,-2.5280190690964541e-03,-5.1426676212319011e-03,3.4985226976358488e-03,6.2714200905723688e-03,-3.7763113383241552e-03,-5.9943618750876258e-03,3.1849014159230880e-03,4.4246184795816426e-03,-2.0281748514255717e-03,-2.3736635403825974e-03,8.8013035687796882e-04,7.7187574569320596e-04,-1.7858661321576110e-04,-3.8005011088634635e-05,6.6415509780086369e-05,2.3878734807440666e-04,-2.5762792372414895e-04,-6.9054632648321763e-04,6.0167722561815633e-04,1.3600504630623103e-03,-1.0258635801419543e-03,-2.0412105612742770e-03,1.3698462557010735e-03,2.4408363887380561e-03,-1.4715884580935074e-03,-2.3564743842367526e-03,1.2735763886116097e-03,1.8177056569023250e-03,-8.6704632279859081e-04,-1.0752638666345347e-03,4.3474533572872005e-04,4.3847351602528662e-04,-1.3349066638305185e-04,-8.4404104342786229e-05,-6.0168153186965250e-06,-3.0007950343029605e-05,3.9288948003447330e-05,1.2147100850699260e-04,-1.1904081408703411e-04,-2.9848101883818483e-04,2.4782033454887287e-04,5.4071791397253743e-04,-3.9752432199528667e-04,-7.7699556917416727e-04,5.1567057336932985e-04,9.1423802919020152e-04,-5.5167755347393062e-04,-8.8953020609181487e-04,4.8727388733005046e-04,7.1026348802456774e-04,-3.4926199596474022e-04,-4.5207435815632964e-04,1.9418633639671344e-04,2.1404100087560443e-04,-7.5081631659784206e-05,-6.2548935825265856e-05,1.3804098171489569e-05,2.3839154009961892e-06,-4.3009306309421913e-06,-1.6031088127328127e-05,1.7999488734041540e-05,5.0403554266786329e-05,-4.6070986842178495e-05,-1.0974332596446538e-04,8.7672277259337949e-05,1.8581982229496399e-04,-1.3370905617067494e-04,-2.5741848998099727e-04,1.6921534635289990e-04,2.9868587430580194e-04,-1.8034611804912978e-04,-2.9246226145352935e-04,1.6201300820055278e-04,2.4029474939643916e-04,-1.2111672018908915e-04,-1.6217336382250367e-04,7.2951599099614251e-05,8.5713135092581704e-05,-3.2969046672623342e-05,-3.1754039527522343e-05,9.2647970400030079e-06,5.6346313305154028e-06
B_im,1.8587076589157642e-01,6.7216193371134147e-01,-5.3624282013500435e-01,-8.0695506659431970e-01,2.6790479064878586e-01,-1.5113389401135907e-01,2.1012852720666700e-01,5.5121112396248151e-01,-3.9693477076435257e-01,-6.3665066561833361e-01,2.8184938778023821e-01,2.3748856114417954e-01,-3.4057546987362484e-02,-1.4000178315759632e-01,1.4331058482356482e-01,3.2942369512385788e-01,-2.2686398884509643e-01,-3.7238842882378825e-01,1.8364556115373964e-01,2.0471269265711120e-01,-5.7436969575599232e-02,1.9047463006045654e-02,-2.9132648773116228e-02,-8.8839484477390415e-02,7.8975890231098897e-02,1.6904932200757350e-01,-1.1336438805021115e-01,-1.8832408152826910e-01,9.8182744473584438e-02,1.2371798969931543e-01,-4.5754475525229224e-02,-3.4115026939078572e-02,3.5347375600785756e-03,1.5681767041474833e-02,-1.7870942599144179e-02,-4.7148279013780284e-02,3.8612847223713290e-02,7.9016670217438412e-02,-5.2062336251922206e-02,-8.7081844130213457e-02,4.6950902575199564e-02,6.3407779518091442e-02,-2.6691820449184927e-02,-2.6187271530964572e-02,6.6724837029794315e-03,-1.7513061743721422e-03,2.8551790966427413e-03,9.4634853119958222e-03,-9.3118162857642219e-03,-2.2508822323610223e-02,1.7466147652901387e-02,3.4653092978858276e-02,-2.2545446917252642e-02,-3.7870887027012398e-02,2.0877026127088579e-02,2.9475295580768113e-02,-1.3395845449552378e-02,-1.5019362870350566e-02,5.0319266133830795e-03,3.4641035412260376e-03,-2.9908148300244298e-04,-1.4021332995053711e-03,1.7106941762509405e-03,4.8897877099000585e-03,-4.3940908479146177e-03,-1.0012531662408048e-02,7.4781611684939242e-03,1.4505046811438077e-02,-9.3475999551661509e-03,-1.5744942167493885e-02,8.8163529360936570e-03,1.2836084355088097e-02,-6.1375477853202014e-03,-7.4629045466680574e-03,2.8649269991574684e-03,2.5929792877154054e-03,-6.1704992553915058e-04,1.3944750562936540e-04,-2.3870218771011314e-04,-8.3832034517224629e-04,8.8126986131039405e-04,2.2955824838202729e-03,-1.9382485498962154e-03,-4.2320372054092323e-03,3.0719866516278577e-03,5.8567114530782239e-03,-3.7462500424930976e-03,-6.3217442842286335e-03,3.5807485567948905e-03,5.3316928876605309e-03,-2.6430580247173005e-03,-3.3952716261765564e-03,1.4179144513588135e-03,1.4733846130718941e-03,-4.6108210371813285e-04,-2.9896340319477994e-04,2.2702398543632182e-05,1.1118306239450575e-04,-1.4264028233821748e-04,-4.3128271912133568e-04,4.1249975512497100e-04,1.0072393820477667e-03,-8.1242989801101422e-04,-1.7173496959898920e-03,1.2193227610415329e-03,2.2931948248584946e-03,-1.4580403510435816e-03,-2.4635166337322752e-03,1.4076464754572031e-03,2.1320339920976807e-03,-1.0858114910149547e-03,-1.4514812351745451e-03,6.4231183993974754e-04,7.2778659972805987e-04,-2.6192336650964019e-04,-2.2347040849185330e-04,5.0419025243292516e-05,-1.0072465639637443e-05,1.7925332400660814e-05,6.5771767998041591e-05,-7.2561043615843181e-05,-1.9928059254814898e-04,1.7829846330122705e-04,4.1486429366102137e-04,-3.2299934279717994e-04,-6.6547665529663772e-04,4.6414045361769265e-04,8.6325970440644453e-04,-5.4612261668902917e-04,-9.2353728591086886e-04,5.3136333039326632e-04,8.1572215545622543e-04,-4.2427786075920749e-04,-5.8468297828733579e-04,2.7004786988559041e-04,3.2507815483486516e-04,-1.2785798508651347e-04,-1.2569060542142751e-04,3.7363780345263133e-05,2.3108787171979627e-05,-1.4240385065539324e-06,-7.1999842423463296e-06,9.5762150928402770e-06,3.0132091651658538e-05,-3.0108703232171426e-05,-7.7125257489569154e-05,6.5555480575045313e-05,1.4676800823306194e-04,-1.1099998672164543e-04,-2.2383600042452000e-04,1.5376964944520678e-04,2.8327539999248579e-04,-1.7842083593272689e-04,-3.0190889791958665e-04,1.7470314358976257e-04,2.7121830647282129e-04,-1.4354073564618915e-04,-2.0275576663146726e-04,9.6874709297553805e-05,1.2212481762705049e-04,-5.1200979463699326e-05,-5.5191919672269472e-05,1.8968363845834133e-05,1.5509757878271371e-05,-3.3658627207822600e-06
M,-2,-1,0,1,2,-3,-2,-1,0,1,2,3,-4,-3,-2,-1,0,1,2,3,4,-5,-4,-3,-2,-1,0,1,2,3,4,5,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12
L,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
# constraint,power
# norm_sq,1.2566370614359172e+01
# dEdt,1.0000000000000000e+00
# lambda_max,2.1879636883668625e+00
