A_re,0.217531442291,0.257327647403,0.291692898662,0.322355348605,0.350276414796,0.376055767282,0.400096898318,0.422686414431,0.444036357964,0.464308666787,0.483630202209,0.502102441714,0.519807983067,0.536815054832,0.553180732605,0.568953287666,0.584173937879,0.598878176783,0.613096798715,0.626856700792,0.640181518337,0.653092134134,0.665607090821,0.677742928001,0.689514460192,0.700935007825,0.712016590612,0.722770090519,0.733205389956,0.743331489658,0.753156609762,0.762688276930,0.771933399785,0.780898334528,0.789588942235,0.798010639113,0.806168440704,0.814067000942,0.821710646741,0.829103408746,0.836249048740,0.843151084142,0.849812809968,0.856237318560,0.862427517361,0.868386144959,0.874115785607,0.879618882384,0.884897749156,0.889954581463,0.894791466446,0.899410391917,0.903813254658,0.908001868026,0.911977968940,0.915743224295,0.919299236874,0.922647550796,0.925789656542,0.928726995604,0.931460964785,0.933992920180,0.936324180867,0.938456032341,0.940389729694,0.942126500579,0.943667547967,0.945014052715,0.946167175959,0.947128061351,0.947897837145,0.948477618141,0.948868507509,0.949071598494,0.949087976008,0.948918718122,0.948564897465,0.948027582531,0.947307838909,0.946406730429,0.945325320245,0.944064671841,0.942625849984,0.941009921609,0.939217956657,0.937251028850,0.935110216433,0.932796602851,0.930311277400,0.927655335827,0.924829880892,0.921836022898,0.918674880183,0.915347579582,0.911855256853,0.908199057083,0.904380135056,0.900399655600,0.896258793911,0.891958735850,0.887500678212,0.882885828991,0.878115407600,0.873190645094,0.868112784360,0.862883080295,0.857502799966,0.851973222752,0.846295640474,0.840471357504,0.834501690870,0.828387970334,0.822131538469,0.815733750713,0.809195975421,0.802519593897,0.795706000417,0.788756602247,0.781672819640,0.774456085833,0.767107847028,0.759629562365,0.752022703891,0.744288756510,0.736429217937,0.728445598632,0.720339421738,0.712112223000,0.703765550684,0.695300965489,0.686720040447,0.678024360821,0.669215523998,0.660295139367,0.651264828202,0.642126223533,0.632880970012,0.623530723773,0.614077152292,0.604521934231,0.594866759293,0.585113328051,0.575263351797,0.565318552362,0.555280661953,0.545151422968,0.534932587822,0.524625918756,0.514233187651,0.503756175833,0.493196673880,0.482556481419,0.471837406922,0.461041267501,0.450169888698,0.439225104268,0.428208755970,0.417122693338,0.405968773468,0.394748860786,0.383464826826,0.372118549996,0.360711915346,0.349246814333,0.337725144587,0.326148809665,0.314519718813,0.302839786722,0.291110933281,0.279335083330,0.267514166409,0.255650116507,0.243744871807,0.231800374436,0.219818570202,0.207801408341,0.195750841255,0.183668824250,0.171557315278,0.159418274669,0.147253664869,0.135065450174,0.122855596462,0.110626070928,0.098378841811,0.086115878130,0.073839149408,0.061550625405,0.049252275846,0.036946070145,0.024633977139,0.012317964806
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.217531442291,-0.257327647403,-0.291692898662,-0.322355348605,-0.350276414796,-0.376055767282,-0.400096898318,-0.422686414431,-0.444036357964,-0.464308666787,-0.483630202209,-0.502102441714,-0.519807983067,-0.536815054832,-0.553180732605,-0.568953287666,-0.584173937879,-0.598878176783,-0.613096798715,-0.626856700792,-0.640181518337,-0.653092134134,-0.665607090821,-0.677742928001,-0.689514460192,-0.700935007825,-0.712016590612,-0.722770090519,-0.733205389956,-0.743331489658,-0.753156609762,-0.762688276930,-0.771933399786,-0.780898334528,-0.789588942235,-0.798010639113,-0.806168440704,-0.814067000942,-0.821710646741,-0.829103408746,-0.836249048740,-0.843151084142,-0.849812809968,-0.856237318560,-0.862427517361,-0.868386144959,-0.874115785607,-0.879618882384,-0.884897749156,-0.889954581463,-0.894791466446,-0.899410391917,-0.903813254658,-0.908001868026,-0.911977968940,-0.915743224295,-0.919299236874,-0.922647550796,-0.925789656542,-0.928726995604,-0.931460964785,-0.933992920180,-0.936324180867,-0.938456032341,-0.940389729694,-0.942126500579,-0.943667547967,-0.945014052715,-0.946167175959,-0.947128061351,-0.947897837145,-0.948477618141,-0.948868507509,-0.949071598494,-0.949087976008,-0.948918718122,-0.948564897465,-0.948027582531,-0.947307838909,-0.946406730429,-0.945325320245,-0.944064671841,-0.942625849984,-0.941009921609,-0.939217956657,-0.937251028850,-0.935110216433,-0.932796602851,-0.930311277400,-0.927655335827,-0.924829880892,-0.921836022898,-0.918674880183,-0.915347579582,-0.911855256853,-0.908199057083,-0.904380135056,-0.900399655600,-0.896258793911,-0.891958735850,-0.887500678212,-0.882885828991,-0.878115407600,-0.873190645094,-0.868112784360,-0.862883080295,-0.857502799966,-0.851973222752,-0.846295640474,-0.840471357504,-0.834501690870,-0.828387970334,-0.822131538469,-0.815733750713,-0.809195975421,-0.802519593897,-0.795706000417,-0.788756602247,-0.781672819640,-0.774456085833,-0.767107847028,-0.759629562366,-0.752022703891,-0.744288756510,-0.736429217937,-0.728445598632,-0.720339421738,-0.712112223000,-0.703765550684,-0.695300965489,-0.686720040447,-0.678024360821,-0.669215523998,-0.660295139367,-0.651264828202,-0.642126223533,-0.632880970012,-0.623530723773,-0.614077152292,-0.604521934231,-0.594866759293,-0.585113328051,-0.575263351797,-0.565318552362,-0.555280661953,-0.545151422968,-0.534932587822,-0.524625918756,-0.514233187651,-0.503756175833,-0.493196673880,-0.482556481419,-0.471837406922,-0.461041267501,-0.450169888698,-0.439225104269,-0.428208755970,-0.417122693338,-0.405968773468,-0.394748860786,-0.383464826826,-0.372118549996,-0.360711915346,-0.349246814333,-0.337725144587,-0.326148809665,-0.314519718813,-0.302839786722,-0.291110933281,-0.279335083330,-0.267514166409,-0.255650116507,-0.243744871807,-0.231800374436,-0.219818570202,-0.207801408341,-0.195750841255,-0.183668824250,-0.171557315278,-0.159418274669,-0.147253664869,-0.135065450174,-0.122855596462,-0.110626070928,-0.098378841811,-0.086115878130,-0.073839149408,-0.061550625405,-0.049252275846,-0.036946070145,-0.024633977139,-0.012317964806
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
# constraint,norm
# norm_sq,193.000000000000
# dEdt,15.358452008368
# lambda_max,15.357277963137
