A_re,0.527551624273,0.615134543465,0.683896294514,0.737485915253,0.777805219220,0.805988359784,0.822799203485,0.828819692586,0.824548813434,0.810458297403,0.787025298043,0.754751833460,0.714176104121,0.665878528242,0.610484164889,0.548662556873,0.481125662923,0.408624335028,0.331943667232,0.251897461370,0.169322003783,0.085069313505
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.527551624273,-0.615134543465,-0.683896294514,-0.737485915253,-0.777805219220,-0.805988359784,-0.822799203485,-0.828819692586,-0.824548813434,-0.810458297403,-0.787025298043,-0.754751833460,-0.714176104121,-0.665878528242,-0.610484164889,-0.548662556873,-0.481125662923,-0.408624335028,-0.331943667232,-0.251897461370,-0.169322003783,-0.085069313505
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
# constraint,power
# norm_sq,18.095573684677
# dEdt,1.000000000000
# lambda_max,0.995154946435
