A_re,0.470233370884,0.549976295153,0.613986632762,0.665597922308,0.706557043833,0.737897437781,0.760293914599,0.774231340473,0.780093803271,0.778215405639,0.768910757743,0.752493911748,0.729290298580,0.699644196673,0.663923210290,0.622520660220,0.575856461551,0.524376868725,0.468553349222,0.408880772507,0.345875052880,0.280070353364,0.212015936750,0.142272735605,0.071409703159
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.470233370884,-0.549976295153,-0.613986632762,-0.665597922308,-0.706557043833,-0.737897437781,-0.760293914599,-0.774231340473,-0.780093803271,-0.778215405639,-0.768910757743,-0.752493911748,-0.729290298580,-0.699644196673,-0.663923210290,-0.622520660220,-0.575856461551,-0.524376868725,-0.468553349222,-0.408880772507,-0.345875052880,-0.280070353364,-0.212015936750,-0.142272735605,-0.071409703159
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
# constraint,power
# norm_sq,18.095573684677
# dEdt,1.000000000000
# lambda_max,0.996158953283
