A_re,0.173859444651,0.205391549879,0.232406176688,0.256263936052,0.277714493652,0.297220059383,0.315087510452,0.331531595878,0.346708630135,0.360735940496,0.373703798447,0.385683103711,0.396730532408,0.406892101421,0.416205705676,0.424702967704,0.432410613906,0.439351517174,0.445545499313,0.451009957283,0.455760358034,0.459810633838,0.463173501241,0.465860720655,0.467883309270,0.469251716878,0.469975971932,0.470065803504,0.469530743536,0.468380212882,0.466623593873,0.464270291631,0.461329785891,0.457811674789,0.453725711789,0.449081836713,0.443890201691,0.438161192681,0.431905447134,0.425133868261,0.417857636305,0.410088217162,0.401837368626,0.393117144515,0.383939896900,0.374318276599,0.364265232122,0.353794007201,0.342918137021,0.331651443276,0.320008028142,0.308002267251,0.295648801760,0.282962529566,0.269958595753,0.256652382311,0.243059497201,0.229195762800,0.215077203785,0.200720034491,0.186140645789,0.171355591523,0.156381574543,0.141235432358,0.125934122463,0.110494707354,0.094934339262,0.079270244654,0.063519708503,0.047700058371,0.031828648335,0.015922842766
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.173859444651,-0.205391549879,-0.232406176688,-0.256263936052,-0.277714493652,-0.297220059383,-0.315087510452,-0.331531595878,-0.346708630135,-0.360735940496,-0.373703798447,-0.385683103711,-0.396730532408,-0.406892101421,-0.416205705676,-0.424702967704,-0.432410613906,-0.439351517174,-0.445545499313,-0.451009957283,-0.455760358034,-0.459810633838,-0.463173501241,-0.465860720655,-0.467883309270,-0.469251716878,-0.469975971932,-0.470065803504,-0.469530743536,-0.468380212882,-0.466623593873,-0.464270291631,-0.461329785891,-0.457811674789,-0.453725711789,-0.449081836713,-0.443890201691,-0.438161192681,-0.431905447134,-0.425133868261,-0.417857636305,-0.410088217162,-0.401837368626,-0.393117144515,-0.383939896900,-0.374318276599,-0.364265232122,-0.353794007201,-0.342918137021,-0.331651443276,-0.320008028142,-0.308002267251,-0.295648801760,-0.282962529566,-0.269958595753,-0.256652382311,-0.243059497201,-0.229195762800,-0.215077203785,-0.200720034491,-0.186140645789,-0.171355591523,-0.156381574543,-0.141235432358,-0.125934122463,-0.110494707354,-0.094934339262,-0.079270244655,-0.063519708503,-0.047700058371,-0.031828648335,-0.015922842766
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
# constraint,power
# norm_sq,18.095573684677
# dEdt,1.000000000000
# lambda_max,0.999478693097
