A_re,0.242045185966,0.285522700099,0.322440792156,0.354663411900,0.383207355600,0.408692381157,0.431524875827,0.451985628383,0.470276568716,0.486547714438,0.500913683527,0.513464315090,0.524271774820,0.533395466119,0.540885518600,0.546785324001,0.551133416149,0.553964888020,0.555312474919,0.555207392076,0.553679988344,0.550760259939,0.546478256022,0.540864399513,0.533949740588,0.525766156030,0.516346504528,0.505724745701,0.493936028973,0.481016757095,0.467004628175,0.451938659309,0.435859194344,0.418807897852,0.400827737026,0.381962952955,0.362259022504,0.341762611836,0.320521522489,0.298584630805,0.276001821396,0.252823915286,0.229102593274,0.204890315048,0.180240234502,0.155206111693,0.129842221853,0.104203261826,0.078344254291,0.052320450122,0.026187229200
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.242045185966,-0.285522700099,-0.322440792156,-0.354663411900,-0.383207355600,-0.408692381157,-0.431524875827,-0.451985628383,-0.470276568716,-0.486547714438,-0.500913683527,-0.513464315090,-0.524271774820,-0.533395466119,-0.540885518600,-0.546785324001,-0.551133416149,-0.553964888020,-0.555312474919,-0.555207392076,-0.553679988344,-0.550760259939,-0.546478256022,-0.540864399513,-0.533949740588,-0.525766156030,-0.516346504528,-0.505724745701,-0.493936028973,-0.481016757095,-0.467004628175,-0.451938659309,-0.435859194344,-0.418807897852,-0.400827737026,-0.381962952955,-0.362259022504,-0.341762611836,-0.320521522489,-0.298584630805,-0.276001821396,-0.252823915286,-0.229102593274,-0.204890315048,-0.180240234502,-0.155206111693,-0.129842221853,-0.104203261826,-0.078344254291,-0.052320450122,-0.026187229200
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
# constraint,power
# norm_sq,18.095573684677
# dEdt,1.000000000000
# lambda_max,0.998988534374
