A_re,0.730781236378,0.832997598840,0.897666550472,0.929433683680,0.931042454425,0.904683546055,0.852521581874,0.776920844069,0.680536748583,0.566337671550,0.437586109824,0.297793994277,0.150660777274
A_im,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.730781236378,-0.832997598840,-0.897666550472,-0.929433683680,-0.931042454425,-0.904683546055,-0.852521581874,-0.776920844069,-0.680536748583,-0.566337671550,-0.437586109824,-0.297793994277,-0.150660777274
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14
# constraint,norm
# norm_sq,14.000000000000
# dEdt,1.375413088448
# lambda_max,1.358618507381
