A_re,0.247006699013,0.292150317681,0.331098107940,0.365808955840,0.397371400160,0.426463461334,0.453540609701,0.478925771966,0.502857363982,0.525517046442,0.547046774567,0.567559792580,0.587148009685,0.605887114015,0.623840218237,0.641060521063,0.657593290855,0.673477370937,0.688746340308,0.703429421427,0.717552199261,0.731137197378,0.744204344323,0.756771354728,0.768854043454,0.780466586569,0.791621739750,0.802331022279,0.812604873022,0.822452783420,0.831883411496,0.840904680071,0.849523861781,0.857747652986,0.865582238293,0.873033347105,0.880106303348,0.886806069373,0.893137284819,0.899104301132,0.904711212312,0.909961882374,0.914859969939,0.919408950303,0.923612135300,0.927472691200,0.930993654892,0.934177948525,0.937028392785,0.939547718963,0.941738579928,0.943603560127,0.945145184717,0.946365927895,0.947268220534,0.947854457161,0.948127002359,0.948088196648,0.947740361868,0.947085806141,0.946126828424,0.944865722696,0.943304781814,0.941446301060,0.939292581404,0.936845932508,0.934108675487,0.931083145457,0.927771693864,0.924176690636,0.920300526151,0.916145613045,0.911714387862,0.907009312568,0.902032875932,0.896787594776,0.891276015116,0.885500713194,0.879464296401,0.873169404115,0.866618708440,0.859814914860,0.852760762825,0.845459026242,0.837912513913,0.830124069894,0.822096573797,0.813832941022,0.805336122944,0.796609107038,0.787654916950,0.778476612523,0.769077289777,0.759460080839,0.749628153834,0.739584712734,0.729332997169,0.718876282198,0.708217878048,0.697361129815,0.686309417137,0.675066153829,0.663634787495,0.652018799107,0.640221702555,0.628247044175,0.616098402250,0.603779386481,0.591293637445,0.578644826018,0.565836652787,0.552872847434,0.539757168104,0.526493400751,0.513085358468,0.499536880792,0.485851833006,0.472034105409,0.458087612577,0.444016292612,0.429824106372,0.415515036684,0.401093087553,0.386562283347,0.371926667978,0.357190304066,0.342357272095,0.327431669558,0.312417610085,0.297319222572,0.282140650293,0.266886050003,0.251559591036,0.236165454396,0.220707831831,0.205190924912,0.189618944098,0.173996107795,0.158326641411,0.142614776405,0.126864749329,0.111080800868,0.095267174870,0.079428117384,0.063567875678,0.047690697264,0.031800828923,0.015902515715
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.247006699013,-0.292150317681,-0.331098107940,-0.365808955840,-0.397371400160,-0.426463461334,-0.453540609701,-0.478925771966,-0.502857363982,-0.525517046442,-0.547046774567,-0.567559792580,-0.587148009685,-0.605887114015,-0.623840218237,-0.641060521063,-0.657593290855,-0.673477370937,-0.688746340308,-0.703429421427,-0.717552199261,-0.731137197378,-0.744204344323,-0.756771354728,-0.768854043454,-0.780466586569,-0.791621739750,-0.802331022279,-0.812604873022,-0.822452783420,-0.831883411496,-0.840904680071,-0.849523861781,-0.857747652986,-0.865582238293,-0.873033347105,-0.880106303348,-0.886806069373,-0.893137284819,-0.899104301132,-0.904711212312,-0.909961882374,-0.914859969939,-0.919408950303,-0.923612135300,-0.927472691200,-0.930993654892,-0.934177948525,-0.937028392785,-0.939547718963,-0.941738579928,-0.943603560127,-0.945145184717,-0.946365927895,-0.947268220534,-0.947854457161,-0.948127002359,-0.948088196648,-0.947740361868,-0.947085806141,-0.946126828424,-0.944865722696,-0.943304781814,-0.941446301060,-0.939292581404,-0.936845932508,-0.934108675487,-0.931083145457,-0.927771693864,-0.924176690636,-0.920300526151,-0.916145613045,-0.911714387862,-0.907009312568,-0.902032875932,-0.896787594776,-0.891276015116,-0.885500713194,-0.879464296401,-0.873169404115,-0.866618708440,-0.859814914860,-0.852760762825,-0.845459026242,-0.837912513913,-0.830124069894,-0.822096573797,-0.813832941022,-0.805336122944,-0.796609107038,-0.787654916950,-0.778476612523,-0.769077289778,-0.759460080839,-0.749628153834,-0.739584712734,-0.729332997169,-0.718876282198,-0.708217878048,-0.697361129815,-0.686309417137,-0.675066153829,-0.663634787495,-0.652018799107,-0.640221702555,-0.628247044175,-0.616098402250,-0.603779386481,-0.591293637445,-0.578644826018,-0.565836652787,-0.552872847434,-0.539757168104,-0.526493400751,-0.513085358468,-0.499536880792,-0.485851833006,-0.472034105409,-0.458087612577,-0.444016292612,-0.429824106372,-0.415515036684,-0.401093087553,-0.386562283347,-0.371926667978,-0.357190304066,-0.342357272095,-0.327431669558,-0.312417610085,-0.297319222572,-0.282140650293,-0.266886050003,-0.251559591036,-0.236165454396,-0.220707831831,-0.205190924912,-0.189618944098,-0.173996107795,-0.158326641411,-0.142614776405,-0.126864749329,-0.111080800868,-0.095267174870,-0.079428117384,-0.063567875678,-0.047690697264,-0.031800828923,-0.015902515715
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
# constraint,norm
# norm_sq,149.000000000000
# dEdt,14.638325012773
# lambda_max,14.636455960659
