A_re,0.606313795012,0.706060620806,0.783611796818,0.843121331998,0.886752694265,0.915804598351,0.931167331598,0.933538705455,0.923537119517,0.901764737662,0.868844031026,0.825438934262,0.772266491050,0.710102263953,0.639781441461,0.562196845676,0.478294630572,0.389068217875,0.295550870738,0.198807214120,0.099923952794
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.606313795012,-0.706060620806,-0.783611796818,-0.843121331998,-0.886752694265,-0.915804598351,-0.931167331598,-0.933538705455,-0.923537119517,-0.901764737662,-0.868844031026,-0.825438934262,-0.772266491050,-0.710102263953,-0.639781441461,-0.562196845676,-0.478294630572,-0.389068217875,-0.295550870738,-0.198807214120,-0.099923952794
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
# constraint,norm
# norm_sq,22.000000000000
# dEdt,2.161363424705
# lambda_max,2.149975610668
