A_re,0.218649556523,0.258649075267,0.293188925190,0.324006046750,0.352066712028,0.377973592877,0.402132180681,0.424830485158,0.446281572784,0.466648151720,0.486057676563,0.504612090571,0.522394362944,0.539473022300,0.555905389260,0.571739937023,0.587018051128,0.601775365275,0.616042791618,0.629847326785,0.643212690501,0.656159837398,0.668707371473,0.680871884880,0.692668237267,0.704109787925,0.715208590115,0.725975554844,0.736420589741,0.746552717518,0.756380177546,0.765910513401,0.775150648674,0.784106952900,0.792785299145,0.801191114497,0.809329424489,0.817204892339,0.824821853711,0.832184347608,0.839296143913,0.846160768002,0.852781522809,0.859161508652,0.865303641083,0.871210667016,0.876885179308,0.882329629985,0.887546342255,0.892537521446,0.897305264978,0.901851571471,0.906178349083,0.910287423149,0.914180543195,0.917859389382,0.921325578442,0.924580669146,0.927626167355,0.930463530683,0.933094172815,0.935519467501,0.937740752266,0.939759331848,0.941576481395,0.943193449432,0.944611460635,0.945831718396,0.946855407231,0.947683695018,0.948317735084,0.948758668160,0.949007624206,0.949065724112,0.948934081299,0.948613803206,0.948105992695,0.947411749353,0.946532170721,0.945468353444,0.944221394342,0.942792391426,0.941182444837,0.939392657736,0.937424137131,0.935277994654,0.932955347293,0.930457318071,0.927785036684,0.924939640098,0.921922273109,0.918734088862,0.915376249337,0.911849925804,0.908156299246,0.904296560748,0.900271911867,0.896083564967,0.891732743531,0.887220682454,0.882548628304,0.877717839570,0.872729586884,0.867585153224,0.862285834099,0.856832937716,0.851227785130,0.845471710375,0.839566060583,0.833512196082,0.827311490490,0.820965330782,0.814475117352,0.807842264063,0.801068198277,0.794154360881,0.787102206300,0.779913202493,0.772588830948,0.765130586657,0.757539978091,0.749818527157,0.741967769150,0.733989252698,0.725884539693,0.717655205219,0.709302837470,0.700829037658,0.692235419919,0.683523611206,0.674695251181,0.665751992092,0.656695498655,0.647527447916,0.638249529122,0.628863443570,0.619370904465,0.609773636763,0.600073377010,0.590271873182,0.580370884510,0.570372181309,0.560277544796,0.550088766907,0.539807650111,0.529436007210,0.518975661151,0.508428444817,0.497796200826,0.487080781322,0.476284047759,0.465407870689,0.454454129538,0.443424712385,0.432321515738,0.421146444298,0.409901410730,0.398588335429,0.387209146276,0.375765778403,0.364260173944,0.352694281788,0.341070057335,0.329389462239,0.317654464154,0.305867036483,0.294029158113,0.282142813158,0.270209990699,0.258232684511,0.246212892806,0.234152617960,0.222053866243,0.209918647549,0.197748975124,0.185546865289,0.173314337166,0.161053412399,0.148766114877,0.136454470456,0.124120506674,0.111766252473,0.099393737913,0.087004993893,0.074602051861,0.062186943532,0.049761700601,0.037328354457,0.024888935895,0.012445474829
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.218649556523,-0.258649075267,-0.293188925190,-0.324006046750,-0.352066712028,-0.377973592877,-0.402132180681,-0.424830485158,-0.446281572784,-0.466648151720,-0.486057676563,-0.504612090571,-0.522394362944,-0.539473022300,-0.555905389260,-0.571739937023,-0.587018051128,-0.601775365275,-0.616042791618,-0.629847326785,-0.643212690501,-0.656159837398,-0.668707371473,-0.680871884880,-0.692668237267,-0.704109787925,-0.715208590115,-0.725975554844,-0.736420589741,-0.746552717518,-0.756380177546,-0.765910513401,-0.775150648674,-0.784106952900,-0.792785299145,-0.801191114497,-0.809329424489,-0.817204892339,-0.824821853711,-0.832184347608,-0.839296143913,-0.846160768002,-0.852781522809,-0.859161508652,-0.865303641083,-0.871210667016,-0.876885179308,-0.882329629985,-0.887546342255,-0.892537521446,-0.897305264978,-0.901851571471,-0.906178349083,-0.910287423149,-0.914180543195,-0.917859389382,-0.921325578442,-0.924580669146,-0.927626167355,-0.930463530683,-0.933094172815,-0.935519467501,-0.937740752266,-0.939759331848,-0.941576481395,-0.943193449432,-0.944611460635,-0.945831718396,-0.946855407231,-0.947683695018,-0.948317735084,-0.948758668160,-0.949007624206,-0.949065724112,-0.948934081299,-0.948613803206,-0.948105992695,-0.947411749353,-0.946532170721,-0.945468353444,-0.944221394342,-0.942792391426,-0.941182444837,-0.939392657736,-0.937424137131,-0.935277994654,-0.932955347293,-0.930457318071,-0.927785036684,-0.924939640098,-0.921922273109,-0.918734088862,-0.915376249337,-0.911849925804,-0.908156299246,-0.904296560748,-0.900271911867,-0.896083564967,-0.891732743531,-0.887220682454,-0.882548628304,-0.877717839570,-0.872729586884,-0.867585153224,-0.862285834099,-0.856832937716,-0.851227785130,-0.845471710375,-0.839566060583,-0.833512196082,-0.827311490490,-0.820965330782,-0.814475117352,-0.807842264063,-0.801068198277,-0.794154360881,-0.787102206300,-0.779913202493,-0.772588830948,-0.765130586657,-0.757539978091,-0.749818527157,-0.741967769150,-0.733989252697,-0.725884539693,-0.717655205219,-0.709302837470,-0.700829037658,-0.692235419918,-0.683523611206,-0.674695251181,-0.665751992092,-0.656695498655,-0.647527447916,-0.638249529122,-0.628863443570,-0.619370904465,-0.609773636763,-0.600073377010,-0.590271873182,-0.580370884510,-0.570372181309,-0.560277544796,-0.550088766907,-0.539807650111,-0.529436007210,-0.518975661151,-0.508428444817,-0.497796200826,-0.487080781322,-0.476284047759,-0.465407870689,-0.454454129537,-0.443424712385,-0.432321515738,-0.421146444298,-0.409901410730,-0.398588335429,-0.387209146276,-0.375765778403,-0.364260173944,-0.352694281788,-0.341070057335,-0.329389462239,-0.317654464154,-0.305867036483,-0.294029158113,-0.282142813158,-0.270209990699,-0.258232684511,-0.246212892806,-0.234152617960,-0.222053866243,-0.209918647549,-0.197748975124,-0.185546865289,-0.173314337166,-0.161053412399,-0.148766114877,-0.136454470456,-0.124120506674,-0.111766252473,-0.099393737913,-0.087004993893,-0.074602051861,-0.062186943532,-0.049761700601,-0.037328354457,-0.024888935895,-0.012445474829
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191
# constraint,norm
# norm_sq,191.000000000000
# dEdt,18.764564278119
# lambda_max,18.763099895938
