A_re,0.280321836577,0.331469220437,0.375530298376,0.414721712916,0.450272915746,0.482947953871,0.513258723563,0.541567061861,0.568139214988,0.593177304159,0.616838648521,0.639248221522,0.660507004820,0.680697778185,0.699889245462,0.718139045617,0.735495995975,0.752001793877,0.767692328255,0.782598704981,0.796748058681,0.810164202882,0.822868156080,0.834878571446,0.846212090835,0.856883638737,0.866906668130,0.876293367473,0.885054836068,0.893201233454,0.900741907370,0.907685503887,0.914040062632,0.919813099464,0.925011678546,0.929642475400,0.933711832248,0.937225806759,0.940190215088,0.942610669985,0.944492614630,0.945841352724,0.946662075311,0.946959884735,0.946739816053,0.946006856225,0.944765961303,0.943022071866,0.940780126869,0.938045076089,0.934821891296,0.931115576293,0.926931175922,0.922273784141,0.917148551259,0.911560690400,0.905515483276,0.899018285309,0.892074530180,0.884689733834,0.876869497995,0.868619513226,0.859945561566,0.850853518779,0.841349356248,0.831439142527,0.821129044586,0.810425328760,0.799334361436,0.787862609476,0.776016640410,0.763803122398,0.751228823992,0.738300613694,0.725025459329,0.711410427243,0.697462681337,0.683189481944,0.668598184555,0.653696238408,0.638491184946,0.622990656141,0.607202372707,0.591134142195,0.574793856981,0.558189492149,0.541329103284,0.524220824162,0.506872864360,0.489293506779,0.471491105087,0.453474081090,0.435250922024,0.416830177787,0.398220458101,0.379430429616,0.360468812952,0.341344379690,0.322065949310,0.302642386081,0.283082595901,0.263395523099,0.243590147194,0.223675479616,0.203660560393,0.183554454807,0.163366250012,0.143105051636,0.122779980346,0.102400168400,0.081974756172,0.061512888660,0.041023711978,0.020516369835
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.280321836577,-0.331469220437,-0.375530298376,-0.414721712916,-0.450272915746,-0.482947953871,-0.513258723563,-0.541567061861,-0.568139214988,-0.593177304159,-0.616838648521,-0.639248221522,-0.660507004820,-0.680697778185,-0.699889245462,-0.718139045617,-0.735495995975,-0.752001793877,-0.767692328255,-0.782598704981,-0.796748058681,-0.810164202882,-0.822868156080,-0.834878571446,-0.846212090835,-0.856883638737,-0.866906668130,-0.876293367473,-0.885054836068,-0.893201233454,-0.900741907370,-0.907685503887,-0.914040062632,-0.919813099464,-0.925011678546,-0.929642475400,-0.933711832248,-0.937225806759,-0.940190215088,-0.942610669985,-0.944492614630,-0.945841352724,-0.946662075311,-0.946959884735,-0.946739816053,-0.946006856225,-0.944765961303,-0.943022071866,-0.940780126869,-0.938045076089,-0.934821891296,-0.931115576293,-0.926931175922,-0.922273784141,-0.917148551259,-0.911560690400,-0.905515483276,-0.899018285309,-0.892074530180,-0.884689733834,-0.876869497995,-0.868619513226,-0.859945561566,-0.850853518779,-0.841349356248,-0.831439142527,-0.821129044586,-0.810425328760,-0.799334361436,-0.787862609476,-0.776016640410,-0.763803122398,-0.751228823992,-0.738300613694,-0.725025459329,-0.711410427243,-0.697462681337,-0.683189481944,-0.668598184555,-0.653696238408,-0.638491184946,-0.622990656141,-0.607202372707,-0.591134142195,-0.574793856981,-0.558189492149,-0.541329103284,-0.524220824162,-0.506872864360,-0.489293506779,-0.471491105087,-0.453474081090,-0.435250922024,-0.416830177787,-0.398220458101,-0.379430429616,-0.360468812952,-0.341344379690,-0.322065949310,-0.302642386081,-0.283082595901,-0.263395523099,-0.243590147194,-0.223675479616,-0.203660560393,-0.183554454807,-0.163366250012,-0.143105051636,-0.122779980346,-0.102400168400,-0.081974756172,-0.061512888660,-0.041023711978,-0.020516369835
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
# constraint,norm
# norm_sq,115.000000000000
# dEdt,11.298036083684
# lambda_max,11.295628406860
