A_re,0.218088350170,0.257985825288,0.292438046846,0.323177544753,0.351168154778,0.377011042359,0.401110695711,0.423754420478,0.445154769309,0.465474063932,0.484839461341,0.503352671185,0.521096476391,0.538139255128,0.554538205176,0.570341698522,0.585591036673,0.600321783100,0.614564790934,0.628347006962,0.641692108646,0.654621014649,0.667152298257,0.679302525326,0.691086532928,0.702517660917,0.713607945776,0.724368283992,0.734808570587,0.744937817286,0.754764253846,0.764295415385,0.773538218011,0.782499024585,0.791183702176,0.799597672418,0.807745955838,0.815633210991,0.823263769148,0.830641665104,0.837770664661,0.844654289182,0.851295837599,0.857698406195,0.863864906418,0.869798080959,0.875500518310,0.880974665955,0.886222842357,0.891247247867,0.896049974681,0.900633015921,0.904998273959,0.909147568037,0.913082641264,0.916805167053,0.920316755038,0.923618956535,0.926713269580,0.929601143584,0.932283983643,0.934763154526,0.937039984376,0.939115768141,0.940991770772,0.942669230178,0.944149359998,0.945433352168,0.946522379318,0.947417597011,0.948120145830,0.948631153326,0.948951735846,0.949083000232,0.949026045419,0.948781963928,0.948351843260,0.947736767210,0.946937817090,0.945956072879,0.944792614301,0.943448521835,0.941924877661,0.940222766549,0.938343276687,0.936287500466,0.934056535208,0.931651483848,0.929073455579,0.926323566450,0.923402939927,0.920312707416,0.917054008756,0.913627992674,0.910035817211,0.906278650119,0.902357669231,0.898274062803,0.894029029828,0.889623780334,0.885059535652,0.880337528667,0.875459004042,0.870425218431,0.865237440666,0.859896951931,0.854405045915,0.848763028950,0.842972220134,0.837033951440,0.830949567807,0.824720427219,0.818347900773,0.811833372730,0.805178240558,0.798383914960,0.791451819892,0.784383392570,0.777180083466,0.769843356296,0.762374687996,0.754775568689,0.747047501643,0.739192003220,0.731210602820,0.723104842811,0.714876278454,0.706526477825,0.698057021717,0.689469503551,0.680765529268,0.671946717219,0.663014698049,0.653971114571,0.644817621641,0.635555886019,0.626187586231,0.616714412420,0.607138066197,0.597460260482,0.587682719342,0.577807177827,0.567835381795,0.557769087738,0.547610062601,0.537360083599,0.527020938022,0.516594423049,0.506082345549,0.495486521876,0.484808777670,0.474050947648,0.463214875387,0.452302413116,0.441315421495,0.430255769392,0.419125333661,0.407925998915,0.396659657291,0.385328208223,0.373933558203,0.362477620542,0.350962315133,0.339389568203,0.327761312069,0.316079484893,0.304346030426,0.292562897763,0.280732041082,0.268855419394,0.256934996281,0.244972739636,0.232970621405,0.220930617321,0.208854706639,0.196744871874,0.184603098528,0.172431374825,0.160231691437,0.148006041219,0.135756418928,0.123484820958,0.111193245057,0.098883690059,0.086558155601,0.074218641852,0.061867149229,0.049505678121,0.037136228612,0.024760800195,0.012381391499
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.218088350170,-0.257985825288,-0.292438046846,-0.323177544753,-0.351168154778,-0.377011042359,-0.401110695711,-0.423754420478,-0.445154769309,-0.465474063932,-0.484839461341,-0.503352671185,-0.521096476391,-0.538139255128,-0.554538205176,-0.570341698522,-0.585591036673,-0.600321783100,-0.614564790934,-0.628347006962,-0.641692108646,-0.654621014649,-0.667152298257,-0.679302525326,-0.691086532928,-0.702517660917,-0.713607945776,-0.724368283992,-0.734808570587,-0.744937817286,-0.754764253846,-0.764295415385,-0.773538218011,-0.782499024585,-0.791183702176,-0.799597672418,-0.807745955838,-0.815633210991,-0.823263769148,-0.830641665104,-0.837770664661,-0.844654289182,-0.851295837599,-0.857698406195,-0.863864906418,-0.869798080959,-0.875500518310,-0.880974665955,-0.886222842357,-0.891247247867,-0.896049974681,-0.900633015921,-0.904998273959,-0.909147568037,-0.913082641264,-0.916805167053,-0.920316755038,-0.923618956535,-0.926713269580,-0.929601143584,-0.932283983643,-0.934763154526,-0.937039984376,-0.939115768141,-0.940991770772,-0.942669230178,-0.944149359998,-0.945433352168,-0.946522379318,-0.947417597011,-0.948120145830,-0.948631153326,-0.948951735846,-0.949083000232,-0.949026045419,-0.948781963928,-0.948351843260,-0.947736767210,-0.946937817090,-0.945956072879,-0.944792614301,-0.943448521835,-0.941924877661,-0.940222766549,-0.938343276687,-0.936287500466,-0.934056535208,-0.931651483848,-0.929073455579,-0.926323566450,-0.923402939927,-0.920312707416,-0.917054008756,-0.913627992674,-0.910035817211,-0.906278650119,-0.902357669231,-0.898274062803,-0.894029029828,-0.889623780334,-0.885059535652,-0.880337528667,-0.875459004042,-0.870425218431,-0.865237440666,-0.859896951931,-0.854405045915,-0.848763028950,-0.842972220134,-0.837033951440,-0.830949567807,-0.824720427219,-0.818347900773,-0.811833372730,-0.805178240558,-0.798383914960,-0.791451819892,-0.784383392570,-0.777180083466,-0.769843356296,-0.762374687996,-0.754775568689,-0.747047501643,-0.739192003220,-0.731210602820,-0.723104842811,-0.714876278454,-0.706526477825,-0.698057021717,-0.689469503551,-0.680765529268,-0.671946717219,-0.663014698049,-0.653971114571,-0.644817621641,-0.635555886019,-0.626187586231,-0.616714412420,-0.607138066197,-0.597460260482,-0.587682719342,-0.577807177827,-0.567835381795,-0.557769087738,-0.547610062601,-0.537360083599,-0.527020938022,-0.516594423049,-0.506082345549,-0.495486521876,-0.484808777670,-0.474050947648,-0.463214875387,-0.452302413116,-0.441315421495,-0.430255769392,-0.419125333661,-0.407925998915,-0.396659657291,-0.385328208223,-0.373933558203,-0.362477620542,-0.350962315133,-0.339389568203,-0.327761312069,-0.316079484893,-0.304346030426,-0.292562897763,-0.280732041082,-0.268855419394,-0.256934996281,-0.244972739636,-0.232970621405,-0.220930617321,-0.208854706639,-0.196744871874,-0.184603098528,-0.172431374825,-0.160231691437,-0.148006041219,-0.135756418928,-0.123484820958,-0.111193245057,-0.098883690059,-0.086558155601,-0.074218641852,-0.061867149229,-0.049505678121,-0.037136228612,-0.024760800195,-0.012381391499
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
# constraint,norm
# norm_sq,192.000000000000
# dEdt,18.862808070151
# lambda_max,18.861351198103
