A_re,0.084254238924,0.099608620361,0.112821133390,0.124556615230,0.135183313654,0.144929703072,0.153948566438,0.162347668491,0.170206117825,0.177583817277,0.184527266151,0.191073299756,0.197251596783,0.203086416688,0.208597837490,0.213802658858,0.218715074748,0.223347183512,0.227709380968,0.231810667601,0.235658891720,0.239260944126,0.242622915575,0.245750225353,0.248647727146,0.251319796913,0.253770406335,0.256003184613,0.258021470778,0.259828358216,0.261426732761,0.262819305432,0.264008640701,0.264997180982,0.265787267935,0.266381161056,0.266781053940,0.266989088554,0.267007367789,0.266837966516,0.266482941347,0.265944339256,0.265224205210,0.264324588916,0.263247550801,0.261995167292,0.260569535498,0.258972777332,0.257207043156,0.255274514971,0.253177409223,0.250917979246,0.248498517373,0.245921356764,0.243188872948,0.240303485135,0.237267657288,0.234083898993,0.230754766142,0.227282861427,0.223670834683,0.219921383072,0.216037251126,0.212021230664,0.207876160583,0.203604926533,0.199210460486,0.194695740210,0.190063788642,0.185317673177,0.180460504870,0.175495437565,0.170425666945,0.165254429519,0.159985001535,0.154620697841,0.149164870678,0.143620908426,0.137992234292,0.132282304954,0.126494609154,0.120632666250,0.114700024728,0.108700260671,0.102636976198,0.096513797860,0.090334375013,0.084102378155,0.077821497237,0.071495439949,0.065127929980,0.058722705254,0.052283516152,0.045814123705,0.039318297781,0.032799815247,0.026262458124,0.019710011723,0.013146262778,0.006574997561
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.084254238924,-0.099608620361,-0.112821133390,-0.124556615230,-0.135183313654,-0.144929703072,-0.153948566438,-0.162347668491,-0.170206117825,-0.177583817277,-0.184527266151,-0.191073299756,-0.197251596783,-0.203086416688,-0.208597837490,-0.213802658858,-0.218715074748,-0.223347183512,-0.227709380968,-0.231810667601,-0.235658891720,-0.239260944126,-0.242622915575,-0.245750225353,-0.248647727146,-0.251319796913,-0.253770406335,-0.256003184613,-0.258021470778,-0.259828358216,-0.261426732761,-0.262819305432,-0.264008640701,-0.264997180982,-0.265787267935,-0.266381161056,-0.266781053940,-0.266989088554,-0.267007367789,-0.266837966516,-0.266482941347,-0.265944339256,-0.265224205210,-0.264324588916,-0.263247550801,-0.261995167292,-0.260569535498,-0.258972777332,-0.257207043156,-0.255274514971,-0.253177409223,-0.250917979246,-0.248498517373,-0.245921356764,-0.243188872948,-0.240303485135,-0.237267657288,-0.234083898993,-0.230754766142,-0.227282861427,-0.223670834683,-0.219921383072,-0.216037251126,-0.212021230664,-0.207876160583,-0.203604926533,-0.199210460486,-0.194695740210,-0.190063788642,-0.185317673177,-0.180460504870,-0.175495437565,-0.170425666945,-0.165254429519,-0.159985001535,-0.154620697841,-0.149164870678,-0.143620908426,-0.137992234292,-0.132282304954,-0.126494609154,-0.120632666250,-0.114700024728,-0.108700260671,-0.102636976198,-0.096513797860,-0.090334375013,-0.084102378155,-0.077821497237,-0.071495439949,-0.065127929980,-0.058722705254,-0.052283516152,-0.045814123705,-0.039318297781,-0.032799815247,-0.026262458124,-0.019710011723,-0.013146262778,-0.006574997561
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.999724684007
