A_re,0.133864831004,0.158060460871,0.178724590389,0.196898793241,0.213154871802,0.227843880034,0.241197796644,0.253378144367,0.264501897719,0.274656430031,0.283908679692,0.292311050619,0.299905363524,0.306725590129,0.312799798338,0.318151569155,0.322801050092,0.326765752291,0.330061163128,0.332701223384,0.334698703346,0.336065502303,0.336812889137,0.336951697067,0.336492482245,0.335445653553,0.333821579207,0.331630674486,0.328883473986,0.325590691031,0.321763266376,0.317412407872,0.312549622475,0.307186741697,0.301335941418,0.295009756792,0.288221092893,0.280983231605,0.273309835195,0.265214946950,0.256712989191,0.247818758933,0.238547421426,0.228914501795,0.218935874941,0.208627753873,0.198006676614,0.187089491799,0.175893343089,0.164435652496,0.152734102726,0.140806618609,0.128671347724,0.116346640265,0.103851028241,0.091203204074,0.078421998644,0.065526358861,0.052535324812,0.039468006536,0.026343560490,0.013181165750
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.133864831004,-0.158060460871,-0.178724590389,-0.196898793241,-0.213154871802,-0.227843880034,-0.241197796644,-0.253378144367,-0.264501897719,-0.274656430031,-0.283908679692,-0.292311050619,-0.299905363524,-0.306725590129,-0.312799798338,-0.318151569155,-0.322801050092,-0.326765752291,-0.330061163128,-0.332701223384,-0.334698703346,-0.336065502303,-0.336812889137,-0.336951697067,-0.336492482245,-0.335445653553,-0.333821579207,-0.331630674486,-0.328883473986,-0.325590691031,-0.321763266376,-0.317412407872,-0.312549622475,-0.307186741697,-0.301335941418,-0.295009756792,-0.288221092893,-0.280983231605,-0.273309835195,-0.265214946950,-0.256712989191,-0.247818758933,-0.238547421426,-0.228914501795,-0.218935874941,-0.208627753873,-0.198006676614,-0.187089491799,-0.175893343089,-0.164435652496,-0.152734102726,-0.140806618609,-0.128671347724,-0.116346640265,-0.103851028241,-0.091203204074,-0.078421998644,-0.065526358861,-0.052535324812,-0.039468006536,-0.026343560490,-0.013181165750
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.999304372944
