A_re,0.099833395401,0.117987452274,0.133578189868,0.147390427328,0.159857823662,0.171248662917,0.181741755900,0.191462761148,0.200503553860,0.208933409364,0.216805867027,0.224163152479,0.231039141616,0.237461413625,0.243452713057,0.249032016135,0.254215324616,0.259016267561,0.263446564818,0.267516389054,0.271234652142,0.274609234271,0.277647169118,0.280354794896,0.282737878575,0.284801718837,0.286551231973,0.287991023992,0.289125451502,0.289958673351,0.290494694639,0.290737404360,0.290690607711,0.290358053902,0.289743460137,0.288850532340,0.287682983084,0.286244547098,0.284538994685,0.282570143322,0.280341867654,0.277858108095,0.275122878181,0.272140270835,0.268914463642,0.265449723261,0.261750409043,0.257820975951,0.253665976830,0.249290064113,0.244697990984,0.239894612071,0.234884883695,0.229673863716,0.224266711001,0.218668684564,0.212885142368,0.206921539853,0.200783428181,0.194476452228,0.188006348344,0.181378941890,0.174600144575,0.167675951594,0.160612438598,0.153415758486,0.146092138048,0.138647874465,0.131089331665,0.123422936558,0.115655175153,0.107792588567,0.099841768925,0.091809355172,0.083702028802,0.075526509493,0.067289550688,0.058997935088,0.050658470107,0.042277983251,0.033863317466,0.025421326435,0.016958869836,0.008482808577
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.099833395401,-0.117987452274,-0.133578189868,-0.147390427328,-0.159857823662,-0.171248662917,-0.181741755900,-0.191462761148,-0.200503553860,-0.208933409364,-0.216805867027,-0.224163152479,-0.231039141616,-0.237461413625,-0.243452713057,-0.249032016135,-0.254215324616,-0.259016267561,-0.263446564818,-0.267516389054,-0.271234652142,-0.274609234271,-0.277647169118,-0.280354794896,-0.282737878575,-0.284801718837,-0.286551231973,-0.287991023992,-0.289125451502,-0.289958673351,-0.290494694639,-0.290737404360,-0.290690607711,-0.290358053902,-0.289743460137,-0.288850532340,-0.287682983084,-0.286244547098,-0.284538994685,-0.282570143322,-0.280341867654,-0.277858108095,-0.275122878181,-0.272140270835,-0.268914463642,-0.265449723261,-0.261750409043,-0.257820975951,-0.253665976830,-0.249290064113,-0.244697990984,-0.239894612071,-0.234884883695,-0.229673863716,-0.224266711001,-0.218668684564,-0.212885142368,-0.206921539853,-0.200783428181,-0.194476452228,-0.188006348344,-0.181378941890,-0.174600144575,-0.167675951594,-0.160612438598,-0.153415758486,-0.146092138048,-0.138647874465,-0.131089331665,-0.123422936558,-0.115655175153,-0.107792588567,-0.099841768925,-0.091809355172,-0.083702028802,-0.075526509493,-0.067289550688,-0.058997935088,-0.050658470107,-0.042277983251,-0.033863317466,-0.025421326435,-0.016958869836,-0.008482808577
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.999613362152
