A_re,0.147583695489,0.174180300303,0.196833009007,0.216684485443,0.234360114262,0.250242499080,0.264583504618,0.277557817573,0.289291478167,0.299878335262,0.309390133794,0.317883005732,0.325401814892,0.331983161972,0.337657521031,0.342450794504,0.346385467995,0.349481482846,0.351756905352,0.353228446632,0.353911870889,0.353822318945,0.352974566502,0.351383231457,0.349062940929,0.346028466067,0.342294830785,0.337877399194,0.332791945443,0.327054708881,0.320682436890,0.313692417240,0.306102501486,0.297931120642,0.289197294144,0.279920632947,0.270121337460,0.259820190919,0.249038548695,0.237798323977,0.226121970206,0.214032460578,0.201553264923,0.188708324192,0.175522022801,0.162019159028,0.148224913656,0.134164817032,0.119864714701,0.105350731771,0.090649236139,0.075786800720,0.060790164787,0.045686194571,0.030501843196,0.015264110097
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.147583695489,-0.174180300303,-0.196833009007,-0.216684485443,-0.234360114262,-0.250242499080,-0.264583504618,-0.277557817573,-0.289291478167,-0.299878335262,-0.309390133794,-0.317883005732,-0.325401814892,-0.331983161972,-0.337657521031,-0.342450794504,-0.346385467995,-0.349481482846,-0.351756905352,-0.353228446632,-0.353911870889,-0.353822318945,-0.352974566502,-0.351383231457,-0.349062940929,-0.346028466067,-0.342294830785,-0.337877399194,-0.332791945443,-0.327054708881,-0.320682436890,-0.313692417240,-0.306102501486,-0.297931120642,-0.289197294144,-0.279920632947,-0.270121337460,-0.259820190919,-0.249038548695,-0.237798323977,-0.226121970206,-0.214032460578,-0.201553264923,-0.188708324192,-0.175522022801,-0.162019159028,-0.148224913656,-0.134164817032,-0.119864714701,-0.105350731771,-0.090649236139,-0.075786800720,-0.060790164787,-0.045686194571,-0.030501843196,-0.015264110097
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
# constraint,power
# norm_sq,8.042477193190
# dEdt,1.000000000000
# lambda_max,0.999154211904
