A_re,0.114230872219,0.135028447006,0.152909406932,0.168773651880,0.183119102849,0.196254297519,0.208385256920,0.219657059730,0.230176016376,0.240022474462,0.249258679678,0.257933841354,0.266087528350,0.273752021717,0.280953990532,0.287715714371,0.294055993644,0.299990839845,0.305534007317,0.310697408756,0.315491444012,0.319925263251,0.324006979756,0.327743843613,0.331142384676,0.334208531154,0.336947708676,0.339364923578,0.341464833327,0.343251806409,0.344729973482,0.345903271282,0.346775480437,0.347350258174,0.347631166673,0.347621697736,0.347325294282,0.346745369128,0.345885321409,0.344748550956,0.343338470886,0.341658518642,0.339712165643,0.337502925731,0.335034362541,0.332310095907,0.329333807423,0.326109245228,0.322640228111,0.318930648986,0.314984477811,0.310805763990,0.306398638315,0.301767314479,0.296916090203,0.291849348001,0.286571555620,0.281087266177,0.275401118009,0.269517834268,0.263442222275,0.257179172642,0.250733658195,0.244110732689,0.237315529351,0.230353259245,0.223229209480,0.215948741262,0.208517287814,0.200940352157,0.193223504765,0.185372381109,0.177392679088,0.169290156354,0.161070627545,0.152739961424,0.144304077935,0.135768945176,0.127140576299,0.118425026346,0.109628389006,0.100756793328,0.091816400368,0.082813399788,0.073754006406,0.064644456708,0.055491005313,0.046299921407,0.037077485148,0.027829984039,0.018563709275,0.009284952076
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.114230872219,-0.135028447006,-0.152909406932,-0.168773651880,-0.183119102849,-0.196254297519,-0.208385256920,-0.219657059730,-0.230176016376,-0.240022474462,-0.249258679678,-0.257933841354,-0.266087528350,-0.273752021717,-0.280953990532,-0.287715714371,-0.294055993644,-0.299990839845,-0.305534007317,-0.310697408756,-0.315491444012,-0.319925263251,-0.324006979756,-0.327743843613,-0.331142384676,-0.334208531154,-0.336947708676,-0.339364923578,-0.341464833327,-0.343251806409,-0.344729973482,-0.345903271282,-0.346775480437,-0.347350258174,-0.347631166673,-0.347621697736,-0.347325294282,-0.346745369128,-0.345885321409,-0.344748550956,-0.343338470886,-0.341658518642,-0.339712165643,-0.337502925731,-0.335034362541,-0.332310095907,-0.329333807423,-0.326109245228,-0.322640228111,-0.318930648986,-0.314984477811,-0.310805763990,-0.306398638315,-0.301767314479,-0.296916090203,-0.291849348001,-0.286571555620,-0.281087266177,-0.275401118009,-0.269517834268,-0.263442222275,-0.257179172642,-0.250733658195,-0.244110732689,-0.237315529351,-0.230353259245,-0.223229209480,-0.215948741262,-0.208517287814,-0.200940352157,-0.193223504765,-0.185372381109,-0.177392679088,-0.169290156354,-0.161070627545,-0.152739961424,-0.144304077935,-0.135768945176,-0.127140576299,-0.118425026346,-0.109628389006,-0.100756793328,-0.091816400368,-0.082813399788,-0.073754006406,-0.064644456708,-0.055491005313,-0.046299921407,-0.037077485148,-0.027829984039,-0.018563709275,-0.009284952076
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999676077869
