A_re,0.058834199261,0.069595627408,0.078886911375,0.087175301662,0.094720687499,0.101685129457,0.108177638338,0.114275619433,0.120036317903,0.125503433411,0.130711183979,0.135686926987,0.140452917881,0.145027529751,0.149426122914,0.153661679899,0.157745278792,0.161686452533,0.165493466024,0.169173532904,0.172732987295,0.176177421442,0.179511797155,0.182740536916,0.185867598981,0.188896539798,0.191830566254,0.194672579698,0.197425213282,0.200090863793,0.202671718966,0.205169781008,0.207586886974,0.209924726483,0.212184857199,0.214368718389,0.216477642868,0.218512867534,0.220475542713,0.222366740452,0.224187461920,0.225938644019,0.227621165306,0.229235851319,0.230783479372,0.232264782878,0.233680455270,0.235031153546,0.236317501493,0.237540092622,0.238699492844,0.239796242910,0.240830860646,0.241803843004,0.242715667937,0.243566796127,0.244357672574,0.245088728059,0.245760380494,0.246373036173,0.246927090918,0.247422931153,0.247860934891,0.248241472649,0.248564908304,0.248831599877,0.249041900278,0.249196157979,0.249294717660,0.249337920798,0.249326106222,0.249259610626,0.249138769055,0.248963915348,0.248735382562,0.248453503362,0.248118610386,0.247731036589,0.247291115557,0.246799181813,0.246255571087,0.245660620582,0.245014669213,0.244318057837,0.243571129462,0.242774229443,0.241927705668,0.241031908729,0.240087192077,0.239093912175,0.238052428629,0.236963104319,0.235826305517,0.234642401989,0.233411767101,0.232134777908,0.230811815237,0.229443263761,0.228029512076,0.226570952754,0.225067982405,0.223521001727,0.221930415547,0.220296632863,0.218620066875,0.216901135017,0.215140258976,0.213337864714,0.211494382483,0.209610246831,0.207685896615,0.205721774995,0.203718329442,0.201676011724,0.199595277900,0.197476588314,0.195320407569,0.193127204518,0.190897452237,0.188631628003,0.186330213269,0.183993693627,0.181622558785,0.179217302525,0.176778422669,0.174306421037,0.171801803409,0.169265079478,0.166696762802,0.164097370760,0.161467424499,0.158807448883,0.156117972437,0.153399527294,0.150652649135,0.147877877130,0.145075753878,0.142246825345,0.139391640798,0.136510752740,0.133604716844,0.130674091884,0.127719439667,0.124741324957,0.121740315408,0.118716981488,0.115671896406,0.112605636034,0.109518778829,0.106411905761,0.103285600227,0.100140447975,0.096977037021,0.093795957568,0.090597801925,0.087383164419,0.084152641315,0.080906830726,0.077646332531,0.074371748287,0.071083681140,0.067782735738,0.064469518144,0.061144635741,0.057808697147,0.054462312125,0.051106091486,0.047740647002,0.044366591314,0.040984537837,0.037595100667,0.034198894491,0.030796534487,0.027388636238,0.023975815628,0.020558688756,0.017137871834,0.013713981095,0.010287632699,0.006859442631,0.003430026613
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.058834199261,-0.069595627408,-0.078886911375,-0.087175301662,-0.094720687499,-0.101685129457,-0.108177638338,-0.114275619433,-0.120036317903,-0.125503433411,-0.130711183979,-0.135686926987,-0.140452917881,-0.145027529751,-0.149426122914,-0.153661679899,-0.157745278792,-0.161686452533,-0.165493466024,-0.169173532904,-0.172732987295,-0.176177421442,-0.179511797155,-0.182740536916,-0.185867598981,-0.188896539798,-0.191830566254,-0.194672579698,-0.197425213282,-0.200090863793,-0.202671718966,-0.205169781008,-0.207586886974,-0.209924726483,-0.212184857199,-0.214368718389,-0.216477642868,-0.218512867534,-0.220475542713,-0.222366740452,-0.224187461920,-0.225938644019,-0.227621165306,-0.229235851319,-0.230783479372,-0.232264782878,-0.233680455270,-0.235031153546,-0.236317501493,-0.237540092622,-0.238699492844,-0.239796242910,-0.240830860646,-0.241803843004,-0.242715667937,-0.243566796127,-0.244357672574,-0.245088728059,-0.245760380494,-0.246373036173,-0.246927090918,-0.247422931153,-0.247860934891,-0.248241472649,-0.248564908304,-0.248831599877,-0.249041900278,-0.249196157979,-0.249294717660,-0.249337920798,-0.249326106222,-0.249259610626,-0.249138769055,-0.248963915348,-0.248735382562,-0.248453503362,-0.248118610386,-0.247731036589,-0.247291115558,-0.246799181813,-0.246255571087,-0.245660620582,-0.245014669213,-0.244318057837,-0.243571129462,-0.242774229443,-0.241927705668,-0.241031908729,-0.240087192077,-0.239093912175,-0.238052428629,-0.236963104319,-0.235826305517,-0.234642401989,-0.233411767101,-0.232134777908,-0.230811815237,-0.229443263761,-0.228029512076,-0.226570952754,-0.225067982405,-0.223521001727,-0.221930415547,-0.220296632863,-0.218620066875,-0.216901135017,-0.215140258976,-0.213337864714,-0.211494382483,-0.209610246831,-0.207685896615,-0.205721774995,-0.203718329442,-0.201676011724,-0.199595277900,-0.197476588314,-0.195320407569,-0.193127204518,-0.190897452237,-0.188631628003,-0.186330213269,-0.183993693627,-0.181622558785,-0.179217302525,-0.176778422669,-0.174306421037,-0.171801803409,-0.169265079478,-0.166696762802,-0.164097370760,-0.161467424499,-0.158807448883,-0.156117972437,-0.153399527294,-0.150652649135,-0.147877877130,-0.145075753878,-0.142246825345,-0.139391640798,-0.136510752740,-0.133604716844,-0.130674091884,-0.127719439667,-0.124741324957,-0.121740315408,-0.118716981488,-0.115671896406,-0.112605636034,-0.109518778829,-0.106411905761,-0.103285600227,-0.100140447975,-0.096977037021,-0.093795957568,-0.090597801925,-0.087383164419,-0.084152641315,-0.080906830726,-0.077646332531,-0.074371748287,-0.071083681140,-0.067782735738,-0.064469518144,-0.061144635741,-0.057808697147,-0.054462312125,-0.051106091486,-0.047740647002,-0.044366591314,-0.040984537837,-0.037595100667,-0.034198894491,-0.030796534487,-0.027388636238,-0.023975815628,-0.020558688756,-0.017137871834,-0.013713981095,-0.010287632699,-0.006859442631,-0.003430026613
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999914116581
