A_re,0.108492314073,0.128257318159,0.145260103211,0.160356277704,0.174019582142,0.186543813092,0.198125335124,0.208902574056,0.218977082916,0.228425708570,0.237308061237,0.245671328322,0.253553501912,0.260985615022,0.267993334682,0.274598124188,0.280818108701,0.286668731652,0.292163260503,0.297313181995,0.302128514967,0.306618060772,0.310789605818,0.314650086917,0.318205727434,0.321462150259,0.324424472221,0.327097383509,0.329485214875,0.331591994819,0.333421498489,0.334977289690,0.336262757131,0.337281145805,0.338035584270,0.338529108419,0.338764682264,0.338745216140,0.338473582694,0.337952630938,0.337185198631,0.336174123187,0.334922251293,0.333432447397,0.331707601182,0.329750634152,0.327564505420,0.325152216788,0.322516817182,0.319661406518,0.316589139053,0.313303226251,0.309806939244,0.306103610885,0.302196637463,0.298089480075,0.293785665718,0.289288788095,0.284602508170,0.279730554491,0.274676723294,0.269444878406,0.264038950962,0.258462938945,0.252720906563,0.246816983476,0.240755363878,0.234540305448,0.228176128167,0.221667213029,0.215018000634,0.208232989674,0.201316735328,0.194273847558,0.187108989322,0.179826874699,0.172432266947,0.164929976471,0.157324858742,0.149621812134,0.141825775715,0.133941726962,0.125974679447,0.117929680449,0.109811808531,0.101626171077,0.093377901777,0.085072158079,0.076714118614,0.068308980572,0.059861957065,0.051378274456,0.042863169659,0.034321887431,0.025759677629,0.017181792460,0.008593483718
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.108492314073,-0.128257318159,-0.145260103211,-0.160356277704,-0.174019582142,-0.186543813092,-0.198125335124,-0.208902574056,-0.218977082916,-0.228425708570,-0.237308061237,-0.245671328322,-0.253553501912,-0.260985615022,-0.267993334682,-0.274598124188,-0.280818108701,-0.286668731652,-0.292163260503,-0.297313181995,-0.302128514967,-0.306618060772,-0.310789605818,-0.314650086917,-0.318205727434,-0.321462150259,-0.324424472221,-0.327097383509,-0.329485214875,-0.331591994819,-0.333421498489,-0.334977289690,-0.336262757131,-0.337281145805,-0.338035584270,-0.338529108419,-0.338764682264,-0.338745216140,-0.338473582694,-0.337952630938,-0.337185198631,-0.336174123187,-0.334922251293,-0.333432447397,-0.331707601182,-0.329750634152,-0.327564505420,-0.325152216788,-0.322516817182,-0.319661406518,-0.316589139053,-0.313303226251,-0.309806939244,-0.306103610885,-0.302196637463,-0.298089480075,-0.293785665718,-0.289288788095,-0.284602508170,-0.279730554491,-0.274676723294,-0.269444878406,-0.264038950962,-0.258462938945,-0.252720906563,-0.246816983476,-0.240755363878,-0.234540305448,-0.228176128167,-0.221667213029,-0.215018000634,-0.208232989674,-0.201316735328,-0.194273847558,-0.187108989322,-0.179826874699,-0.172432266947,-0.164929976471,-0.157324858742,-0.149621812134,-0.141825775715,-0.133941726962,-0.125974679447,-0.117929680449,-0.109811808531,-0.101626171077,-0.093377901777,-0.085072158079,-0.076714118614,-0.068308980572,-0.059861957065,-0.051378274456,-0.042863169659,-0.034321887431,-0.025759677629,-0.017181792460,-0.008593483718
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999707825908
