A_re,0.248009927441,0.292101575864,0.329179940645,0.361123563371,0.388947277837,0.413263206763,0.434468703265,0.452836081299,0.468560350659,0.481786707260,0.492627356884,0.501172317467,0.507496628580,0.511665316865,0.513736904728,0.513765941384,0.511804858370,0.507905345985,0.502119381888,0.494500001652,0.485101874002,0.473981725487,0.461198647012,0.446814306176,0.430893083349,0.413502145161,0.394711465925,0.374593805293,0.353224648716,0.330682116026,0.307046842515,0.282401836148,0.256832313989,0.230425520491,0.203270529968,0.175458035301,0.147080124717,0.118230048329,0.089001975981,0.059490747841,0.029791619090
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.248009927441,-0.292101575864,-0.329179940645,-0.361123563371,-0.388947277837,-0.413263206763,-0.434468703265,-0.452836081299,-0.468560350659,-0.481786707260,-0.492627356884,-0.501172317467,-0.507496628580,-0.511665316865,-0.513736904728,-0.513765941384,-0.511804858370,-0.507905345985,-0.502119381888,-0.494500001652,-0.485101874002,-0.473981725487,-0.461198647012,-0.446814306176,-0.430893083349,-0.413502145161,-0.394711465925,-0.374593805293,-0.353224648716,-0.330682116026,-0.307046842515,-0.282401836148,-0.256832313989,-0.230425520491,-0.203270529968,-0.175458035301,-0.147080124717,-0.118230048329,-0.089001975981,-0.059490747841,-0.029791619090
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.998469096514
