A_re,0.153098609244,0.180832332534,0.204566750192,0.225497574628,0.244282774202,0.261327413438,0.276899976167,0.291188004089,0.304327752717,0.316421305591,0.327547072554,0.337766549699,0.347128847616,0.355673825980,0.363434324443,0.370437788480,0.376707478850,0.382263387542,0.387122942405,0.391301556772,0.394813063440,0.397670061071,0.399884193333,0.401466375744,0.402426981368,0.402775993779,0.402523133747,0.401677964596,0.400249980123,0.398248678131,0.395683621979,0.392564492115,0.388901129128,0.384703569603,0.379982075813,0.374747160099,0.369009604652,0.362780477272,0.356071143617,0.348893276337,0.341258861468,0.333180202366,0.324669921452,0.315740959985,0.306406576055,0.296680340976,0.286576134199,0.276108136910,0.265290824399,0.254138957318,0.242667571921,0.230891969360,0.218827704123,0.206490571674,0.193896595369,0.181062012699,0.168003260917,0.154736962101,0.141279907703,0.127649042622,0.113861448856,0.099934328765,0.085884987980,0.071730818014,0.057489278592,0.043177879744,0.028814163692,0.014415686570
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.153098609244,-0.180832332534,-0.204566750192,-0.225497574628,-0.244282774202,-0.261327413438,-0.276899976167,-0.291188004089,-0.304327752717,-0.316421305591,-0.327547072554,-0.337766549699,-0.347128847616,-0.355673825980,-0.363434324443,-0.370437788480,-0.376707478850,-0.382263387542,-0.387122942405,-0.391301556772,-0.394813063440,-0.397670061071,-0.399884193333,-0.401466375744,-0.402426981368,-0.402775993779,-0.402523133747,-0.401677964596,-0.400249980123,-0.398248678131,-0.395683621979,-0.392564492115,-0.388901129128,-0.384703569603,-0.379982075813,-0.374747160099,-0.369009604652,-0.362780477272,-0.356071143617,-0.348893276337,-0.341258861468,-0.333180202366,-0.324669921452,-0.315740959985,-0.306406576055,-0.296680340976,-0.286576134199,-0.276108136910,-0.265290824399,-0.254138957318,-0.242667571921,-0.230891969360,-0.218827704123,-0.206490571674,-0.193896595369,-0.181062012699,-0.168003260917,-0.154736962101,-0.141279907703,-0.127649042622,-0.113861448856,-0.099934328765,-0.085884987980,-0.071730818014,-0.057489278592,-0.043177879744,-0.028814163692,-0.014415686570
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999417817463
