A_re,0.187685227635,0.221488887977,0.250264324905,0.275463277172,0.297879813745,0.317999407806,0.336141410625,0.352527156007,0.367316236821,0.380627425518,0.392551498106,0.403159485345,0.412508195313,0.420644032603,0.427605713254,0.433426240404,0.438134371073,0.441755724061,0.444313629221,0.445829786759,0.446324784502,0.445818507316,0.444330463390,0.441880045593,0.438486741448,0.434170301981,0.428950877258,0.422849124669,0.415886294671,0.408084297726,0.399465755384,0.390054037893,0.379873290272,0.368948448409,0.357305246494,0.344970216851,0.331970683097,0.318334747354,0.304091272212,0.289269857960,0.273900815607,0.258015136086,0.241644456050,0.224821020573,0.207577643061,0.189947662657,0.171964899377,0.153663607225,0.135078425476,0.116244328358,0.097196573296,0.077970647916,0.058602215964,0.039127062318,0.019581037235
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.187685227635,-0.221488887977,-0.250264324905,-0.275463277172,-0.297879813745,-0.317999407806,-0.336141410625,-0.352527156007,-0.367316236821,-0.380627425518,-0.392551498106,-0.403159485345,-0.412508195313,-0.420644032603,-0.427605713254,-0.433426240404,-0.438134371073,-0.441755724061,-0.444313629221,-0.445829786759,-0.446324784502,-0.445818507316,-0.444330463390,-0.441880045593,-0.438486741448,-0.434170301981,-0.428950877258,-0.422849124669,-0.415886294671,-0.408084297726,-0.399465755384,-0.390054037893,-0.379873290272,-0.368948448409,-0.357305246494,-0.344970216851,-0.331970683097,-0.318334747354,-0.304091272212,-0.289269857960,-0.273900815607,-0.258015136086,-0.241644456050,-0.224821020573,-0.207577643061,-0.189947662657,-0.171964899377,-0.153663607225,-0.135078425476,-0.116244328358,-0.097196573296,-0.077970647916,-0.058602215964,-0.039127062318,-0.019581037235
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999124506507
