A_re,0.155300182098,0.183423410432,0.207483840790,0.228693699892,0.247719808183,0.264972510285,0.280723664514,0.295163076367,0.308428576966,0.320623380351,0.331826730416,0.342100756258,0.351495064114,0.360049915877,0.367798491118,0.374768535512,0.380983586988,0.386463904231,0.391227180865,0.395289102439,0.398663786116,0.401364131531,0.403402103414,0.404788961153,0.405535446590,0.405651938603,0.405148580987,0.404035388687,0.402322336295,0.400019431918,0.397136778868,0.393684627134,0.389673416225,0.385113810673,0.380016729239,0.374393368702,0.368255222932,0.361614097860,0.354482122837,0.346871758811,0.338795803674,0.330267395094,0.321300011085,0.311907468551,0.302103919996,0.291903848572,0.281322061617,0.270373682819,0.259074143118,0.247439170468,0.235484778528,0.223227254395,0.210683145448,0.197869245371,0.184802579425,0.171500389037,0.157980115753,0.144259384621,0.130355987040,0.116287863144,0.102073083748,0.087729831903,0.073276384120,0.058731091279,0.044112359275,0.029438629438,0.014728358767
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.155300182098,-0.183423410432,-0.207483840790,-0.228693699892,-0.247719808183,-0.264972510285,-0.280723664514,-0.295163076367,-0.308428576966,-0.320623380351,-0.331826730416,-0.342100756258,-0.351495064114,-0.360049915877,-0.367798491118,-0.374768535512,-0.380983586988,-0.386463904231,-0.391227180865,-0.395289102439,-0.398663786116,-0.401364131531,-0.403402103414,-0.404788961153,-0.405535446590,-0.405651938603,-0.405148580987,-0.404035388687,-0.402322336295,-0.400019431918,-0.397136778868,-0.393684627134,-0.389673416225,-0.385113810673,-0.380016729239,-0.374393368702,-0.368255222932,-0.361614097860,-0.354482122837,-0.346871758811,-0.338795803674,-0.330267395094,-0.321300011085,-0.311907468551,-0.302103919996,-0.291903848572,-0.281322061617,-0.270373682819,-0.259074143118,-0.247439170468,-0.235484778528,-0.223227254395,-0.210683145448,-0.197869245371,-0.184802579425,-0.171500389037,-0.157980115753,-0.144259384621,-0.130355987040,-0.116287863144,-0.102073083748,-0.087729831903,-0.073276384120,-0.058731091279,-0.044112359275,-0.029438629438,-0.014728358767
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999400931472
