A_re,0.312569112480,0.367133514556,0.412220776590,0.450134325085,0.482100472471,0.508849093395,0.530850036511,0.548425828976,0.561811525587,0.571189089509,0.576708351579,0.578500383797,0.576686334323,0.571383414410,0.562709022959,0.550783608180,0.535732644342,0.517687969762,0.496788650856,0.473181485669,0.447021226840,0.418470581735,0.387700032484,0.354887508282,0.320217935087,0.283882682732,0.246078925772,0.207008931748,0.166879288564,0.125900081259,0.084284027333,0.042245578989
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.312569112480,-0.367133514556,-0.412220776590,-0.450134325085,-0.482100472471,-0.508849093395,-0.530850036511,-0.548425828976,-0.561811525587,-0.571189089509,-0.576708351579,-0.578500383797,-0.576686334323,-0.571383414410,-0.562709022959,-0.550783608180,-0.535732644342,-0.517687969762,-0.496788650856,-0.473181485669,-0.447021226840,-0.418470581735,-0.387700032484,-0.354887508282,-0.320217935087,-0.283882682732,-0.246078925772,-0.207008931748,-0.166879288564,-0.125900081259,-0.084284027333,-0.042245578989
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.997563567535
