A_re,0.280160620302,0.329545981116,0.370740218078,0.405837788589,0.435962004310,0.461785635575,0.483743014323,0.502131229035,0.517163915763,0.529002204678,0.537773631532,0.543584253331,0.546526705835,0.546685722384,0.544142000434,0.538974954954,0.531264698568,0.521093469438,0.508546654600,0.493713509945,0.476687647713,0.457567342229,0.436455690864,0.413460657777,0.388695021293,0.362276241075,0.334326257788,0.304971235493,0.274341255151,0.242569966244,0.209794202519,0.176153567038,0.141789991181,0.106847271723,0.071470589808,0.035806015330
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.280160620302,-0.329545981116,-0.370740218078,-0.405837788589,-0.435962004310,-0.461785635575,-0.483743014323,-0.502131229035,-0.517163915763,-0.529002204678,-0.537773631532,-0.543584253331,-0.546526705835,-0.546685722384,-0.544142000434,-0.538974954954,-0.531264698568,-0.521093469438,-0.508546654600,-0.493713509945,-0.476687647713,-0.457567342229,-0.436455690864,-0.413460657777,-0.388695021293,-0.362276241075,-0.334326257788,-0.304971235493,-0.274341255151,-0.242569966244,-0.209794202519,-0.176153567038,-0.141789991181,-0.106847271723,-0.071470589808,-0.035806015330
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.998044654728
