A_re,0.057579171864,0.068111782595,0.077206087857,0.085319427603,0.092706199290,0.099525054550,0.105882723469,0.111855001898,0.117497953073,0.122854381448,0.127957810106,0.132835046045,0.137507901523,0.141994387753,0.146309566043,0.150466169328,0.154475065492,0.158345609070,0.162085912495,0.165703058305,0.169203267261,0.172592033090,0.175874231586,0.179054209796,0.182135859550,0.185122678569,0.188017821614,0.190824143595,0.193544236125,0.196180458693,0.198734965404,0.201209728013,0.203606555880,0.205927113319,0.208172934752,0.210345437994,0.212445935943,0.214475646906,0.216435703745,0.218327162002,0.220151007149,0.221908161060,0.223599487816,0.225225798921,0.226787857997,0.228286385024,0.229722060180,0.231095527310,0.232407397094,0.233658249918,0.234848638495,0.235979090263,0.237050109571,0.238062179693,0.239015764664,0.239911310978,0.240749249146,0.241529995128,0.242253951665,0.242921509499,0.243533048506,0.244088938746,0.244589541432,0.245035209836,0.245426290123,0.245763122127,0.246046040081,0.246275373286,0.246451446740,0.246574581722,0.246645096342,0.246663306043,0.246629524083,0.246544061976,0.246407229908,0.246219337124,0.245980692294,0.245691603846,0.245352380291,0.244963330515,0.244524764058,0.244036991374,0.243500324075,0.242915075157,0.242281559211,0.241600092627,0.240870993774,0.240094583174,0.239271183668,0.238401120560,0.237484721763,0.236522317926,0.235514242556,0.234460832132,0.233362426207,0.232219367503,0.231032002005,0.229800679037,0.228525751341,0.227207575141,0.225846510210,0.224442919925,0.222997171314,0.221509635107,0.219980685774,0.218410701561,0.216800064520,0.215149160536,0.213458379350,0.211728114578,0.209958763720,0.208150728179,0.206304413260,0.204420228178,0.202498586055,0.200539903922,0.198544602705,0.196513107222,0.194445846171,0.192343252109,0.190205761441,0.188033814398,0.185827855011,0.183588331094,0.181315694206,0.179010399631,0.176672906341,0.174303676964,0.171903177749,0.169471878526,0.167010252668,0.164518777048,0.161997932000,0.159448201268,0.156870071963,0.154264034516,0.151630582624,0.148970213202,0.146283426330,0.143570725197,0.140832616047,0.138069608122,0.135282213603,0.132470947552,0.129636327850,0.126778875134,0.123899112739,0.120997566628,0.118074765330,0.115131239873,0.112167523719,0.109184152693,0.106181664913,0.103160600726,0.100121502629,0.097064915204,0.093991385042,0.090901460672,0.087795692484,0.084674632656,0.081538835080,0.078388855281,0.075225250347,0.072048578846,0.068859400749,0.065658277353,0.062445771203,0.059222446006,0.055988866559,0.052745598663,0.049493209043,0.046232265266,0.042963335661,0.039686989234,0.036403795587,0.033114324834,0.029819147519,0.026518834529,0.023213957013,0.019905086298,0.016592793802,0.013277650951,0.009960229092,0.006641099411,0.003320832846
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.057579171864,-0.068111782595,-0.077206087857,-0.085319427603,-0.092706199290,-0.099525054550,-0.105882723469,-0.111855001898,-0.117497953073,-0.122854381448,-0.127957810106,-0.132835046045,-0.137507901523,-0.141994387753,-0.146309566043,-0.150466169328,-0.154475065492,-0.158345609070,-0.162085912495,-0.165703058305,-0.169203267261,-0.172592033090,-0.175874231586,-0.179054209796,-0.182135859550,-0.185122678569,-0.188017821614,-0.190824143595,-0.193544236125,-0.196180458693,-0.198734965404,-0.201209728013,-0.203606555880,-0.205927113319,-0.208172934752,-0.210345437994,-0.212445935943,-0.214475646906,-0.216435703745,-0.218327162002,-0.220151007149,-0.221908161060,-0.223599487816,-0.225225798921,-0.226787857997,-0.228286385024,-0.229722060180,-0.231095527310,-0.232407397094,-0.233658249918,-0.234848638495,-0.235979090263,-0.237050109571,-0.238062179693,-0.239015764664,-0.239911310978,-0.240749249146,-0.241529995128,-0.242253951665,-0.242921509499,-0.243533048506,-0.244088938746,-0.244589541432,-0.245035209836,-0.245426290123,-0.245763122127,-0.246046040081,-0.246275373286,-0.246451446740,-0.246574581722,-0.246645096342,-0.246663306043,-0.246629524083,-0.246544061976,-0.246407229908,-0.246219337124,-0.245980692294,-0.245691603846,-0.245352380291,-0.244963330515,-0.244524764058,-0.244036991374,-0.243500324075,-0.242915075157,-0.242281559211,-0.241600092627,-0.240870993774,-0.240094583174,-0.239271183668,-0.238401120560,-0.237484721763,-0.236522317926,-0.235514242556,-0.234460832132,-0.233362426207,-0.232219367503,-0.231032002005,-0.229800679037,-0.228525751341,-0.227207575141,-0.225846510210,-0.224442919925,-0.222997171314,-0.221509635107,-0.219980685774,-0.218410701561,-0.216800064520,-0.215149160536,-0.213458379350,-0.211728114578,-0.209958763720,-0.208150728179,-0.206304413260,-0.204420228178,-0.202498586055,-0.200539903922,-0.198544602705,-0.196513107223,-0.194445846171,-0.192343252109,-0.190205761441,-0.188033814398,-0.185827855011,-0.183588331094,-0.181315694206,-0.179010399631,-0.176672906341,-0.174303676964,-0.171903177749,-0.169471878526,-0.167010252668,-0.164518777048,-0.161997932000,-0.159448201268,-0.156870071963,-0.154264034516,-0.151630582624,-0.148970213202,-0.146283426330,-0.143570725197,-0.140832616047,-0.138069608122,-0.135282213603,-0.132470947552,-0.129636327850,-0.126778875134,-0.123899112739,-0.120997566628,-0.118074765330,-0.115131239873,-0.112167523719,-0.109184152693,-0.106181664913,-0.103160600726,-0.100121502629,-0.097064915204,-0.093991385042,-0.090901460672,-0.087795692484,-0.084674632656,-0.081538835080,-0.078388855281,-0.075225250347,-0.072048578846,-0.068859400749,-0.065658277353,-0.062445771203,-0.059222446006,-0.055988866559,-0.052745598663,-0.049493209043,-0.046232265266,-0.042963335661,-0.039686989234,-0.036403795587,-0.033114324834,-0.029819147519,-0.026518834529,-0.023213957013,-0.019905086298,-0.016592793802,-0.013277650951,-0.009960229092,-0.006641099411,-0.003320832846
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999917742207
