A_re,0.315722793379,0.373181021095,0.422562427381,0.466352436297,0.505925608461,0.542133217428,0.575543322539,0.606555661493,0.635462925961,0.662486145735,0.687796408654,0.711528855909,0.733792063678,0.754674542205,0.774249364837,0.792577544504,0.809710547889,0.825692201572,0.840560160395,0.854347054670,0.867081397896,0.878788313165,0.889490120454,0.899206815891,0.907956466136,0.915755535439,0.922619158744,0.928561371191,0.933595302104,0.937733339809,0.940987272334,0.943368408036,0.944887679404,0.945555732685,0.945383005493,0.944379794172,0.942556312378,0.939922742113,0.936489278208,0.932266167123,0.927263740787,0.921492446080,0.914962870477,0.907685764308,0.899672060000,0.890932888643,0.881479594151,0.871323745267,0.860477145634,0.848951842103,0.836760131457,0.823914565682,0.810427955922,0.796313375223,0.781584160172,0.766253911506,0.750336493798,0.733846034257,0.716796920731,0.699203798963,0.681081569153,0.662445381866,0.643310633348,0.623692960267,0.603608233935,0.583072554036,0.562102241888,0.540713833277,0.518924070880,0.496749896318,0.474208441837,0.451317021673,0.428093123085,0.404554397113,0.380718649047,0.356603828652,0.332228020148,0.307609431971,0.282766386324,0.257717308547,0.232480716303,0.207075208606,0.181519454703,0.155832182824,0.130032168807,0.104138224625,0.078169186808,0.052143904789,0.026081229183
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.315722793379,-0.373181021095,-0.422562427381,-0.466352436297,-0.505925608461,-0.542133217428,-0.575543322539,-0.606555661493,-0.635462925961,-0.662486145735,-0.687796408654,-0.711528855909,-0.733792063678,-0.754674542205,-0.774249364837,-0.792577544504,-0.809710547889,-0.825692201572,-0.840560160395,-0.854347054670,-0.867081397896,-0.878788313165,-0.889490120454,-0.899206815891,-0.907956466136,-0.915755535439,-0.922619158744,-0.928561371191,-0.933595302104,-0.937733339809,-0.940987272334,-0.943368408036,-0.944887679404,-0.945555732685,-0.945383005493,-0.944379794172,-0.942556312378,-0.939922742113,-0.936489278208,-0.932266167123,-0.927263740787,-0.921492446080,-0.914962870477,-0.907685764308,-0.899672060000,-0.890932888643,-0.881479594151,-0.871323745267,-0.860477145634,-0.848951842103,-0.836760131457,-0.823914565682,-0.810427955922,-0.796313375223,-0.781584160172,-0.766253911506,-0.750336493798,-0.733846034257,-0.716796920731,-0.699203798963,-0.681081569153,-0.662445381866,-0.643310633348,-0.623692960267,-0.603608233935,-0.583072554036,-0.562102241888,-0.540713833277,-0.518924070880,-0.496749896318,-0.474208441837,-0.451317021673,-0.428093123085,-0.404554397113,-0.380718649047,-0.356603828652,-0.332228020148,-0.307609431971,-0.282766386324,-0.257717308547,-0.232480716303,-0.207075208606,-0.181519454703,-0.155832182824,-0.130032168807,-0.104138224625,-0.078169186808,-0.052143904789,-0.026081229183
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
# constraint,norm
# norm_sq,90.000000000000
# dEdt,4.973591971622
# lambda_max,4.971873496138
