A_re,0.439083884342,0.517443423320,0.583576883269,0.640830216356,0.691017287952,0.735236165269,0.774202010769,0.808406070971,0.838200285814,0.863846034637,0.885543983656,0.903453264555,0.917704288088,0.928407583680,0.935660061069,0.939549543791,0.940158110533,0.937564592977,0.931846463063,0.923081268986,0.911347731269,0.896726578180,0.879301177956,0.859158010117,0.836387007514,0.811081793053,0.783339829542,0.753262496986,0.720955108658,0.686526874980,0.650090822551,0.611763674319,0.571665695901,0.529920512270,0.486654898397,0.441998546988,0.396083816044,0.349045458686,0.301020337456,0.252147125080,0.202565993555,0.152418293281,0.101846223831,0.050992497922
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.439083884342,-0.517443423320,-0.583576883269,-0.640830216356,-0.691017287953,-0.735236165269,-0.774202010769,-0.808406070971,-0.838200285814,-0.863846034637,-0.885543983656,-0.903453264555,-0.917704288088,-0.928407583680,-0.935660061069,-0.939549543791,-0.940158110533,-0.937564592977,-0.931846463063,-0.923081268986,-0.911347731269,-0.896726578180,-0.879301177956,-0.859158010117,-0.836387007514,-0.811081793053,-0.783339829542,-0.753262496986,-0.720955108658,-0.686526874980,-0.650090822551,-0.611763674319,-0.571665695901,-0.529920512270,-0.486654898397,-0.441998546988,-0.396083816044,-0.349045458686,-0.301020337456,-0.252147125080,-0.202565993555,-0.152418293281,-0.101846223831,-0.050992497922
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
# constraint,norm
# norm_sq,45.000000000000
# dEdt,2.486795985811
# lambda_max,2.483465083147
