A_re,0.237080586719,0.280426491855,0.317836138100,0.351190943302,0.381536850674,0.409525691521,0.435595612943,0.460057478080,0.483140977116,0.505021274211,0.525835377289,0.545692694879,0.564682119094,0.582876936854,0.600338331298,0.617117938272,0.633259751845,0.648801570512,0.663776112441,0.678211887798,0.692133889781,0.705564148325,0.718522178412,0.731025346453,0.743089172328,0.754727580340,0.765953109253,0.776777089264,0.787209792047,0.797260558705,0.806937909459,0.816249638180,0.825202894210,0.833804253517,0.842059780824,0.849975084062,0.857555362284,0.864805447952,0.871729844405,0.878332759134,0.884618133435,0.890589668912,0.896250851205,0.901604971313,0.906655144779,0.911404329008,0.915855338919,0.920010861127,0.923873466815,0.927445623441,0.930729705402,0.933728003765,0.936442735152,0.938876049885,0.941030039433,0.942906743263,0.944508155116,0.945836228796,0.946892883486,0.947680008659,0.948199468595,0.948453106566,0.948442748686,0.948170207486,0.947637285207,0.946845776855,0.945797473032,0.944494162545,0.942937634839,0.941129682237,0.939072102026,0.936766698379,0.934215284143,0.931419682493,0.928381728458,0.925103270337,0.921586171007,0.917832309126,0.913843580251,0.909621897858,0.905169194288,0.900487421607,0.895578552405,0.890444580512,0.885087521662,0.879509414086,0.873712319057,0.867698321373,0.861469529790,0.855028077411,0.848376122021,0.841515846385,0.834449458502,0.827179191816,0.819707305394,0.812036084067,0.804167838533,0.796104905433,0.787849647394,0.779404453036,0.770771736962,0.761953939710,0.752953527685,0.743772993065,0.734414853681,0.724881652875,0.715175959337,0.705300366922,0.695257494439,0.685049985433,0.674680507933,0.664151754199,0.653466440435,0.642627306496,0.631637115576,0.620498653877,0.609214730270,0.597788175935,0.586221843986,0.574518609094,0.562681367080,0.550713034512,0.538616548277,0.526394865147,0.514050961338,0.501587832047,0.489008490990,0.476315969921,0.463513318150,0.450603602040,0.437589904510,0.424475324514,0.411262976522,0.397955989990,0.384557508818,0.371070690811,0.357498707119,0.343844741683,0.330111990666,0.316303661881,0.302422974211,0.288473157026,0.274457449595,0.260379100485,0.246241366967,0.232047514406,0.217800815655,0.203504550438,0.189162004733,0.174776470152,0.160351243312,0.145889625209,0.131394920583,0.116870437286,0.102319485642,0.087745377808,0.073151427128,0.058540947494,0.043917252692,0.029283655760,0.014643468335
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.237080586719,-0.280426491855,-0.317836138100,-0.351190943302,-0.381536850674,-0.409525691521,-0.435595612943,-0.460057478080,-0.483140977116,-0.505021274211,-0.525835377289,-0.545692694879,-0.564682119094,-0.582876936854,-0.600338331298,-0.617117938272,-0.633259751845,-0.648801570512,-0.663776112441,-0.678211887798,-0.692133889781,-0.705564148325,-0.718522178412,-0.731025346453,-0.743089172328,-0.754727580340,-0.765953109253,-0.776777089264,-0.787209792047,-0.797260558705,-0.806937909459,-0.816249638180,-0.825202894210,-0.833804253517,-0.842059780824,-0.849975084062,-0.857555362284,-0.864805447952,-0.871729844405,-0.878332759134,-0.884618133435,-0.890589668912,-0.896250851205,-0.901604971313,-0.906655144779,-0.911404329008,-0.915855338919,-0.920010861127,-0.923873466815,-0.927445623441,-0.930729705402,-0.933728003765,-0.936442735152,-0.938876049885,-0.941030039433,-0.942906743263,-0.944508155116,-0.945836228796,-0.946892883486,-0.947680008659,-0.948199468596,-0.948453106566,-0.948442748686,-0.948170207486,-0.947637285207,-0.946845776855,-0.945797473032,-0.944494162545,-0.942937634839,-0.941129682237,-0.939072102026,-0.936766698379,-0.934215284143,-0.931419682493,-0.928381728458,-0.925103270337,-0.921586171007,-0.917832309126,-0.913843580251,-0.909621897858,-0.905169194288,-0.900487421607,-0.895578552405,-0.890444580512,-0.885087521662,-0.879509414086,-0.873712319057,-0.867698321373,-0.861469529790,-0.855028077411,-0.848376122021,-0.841515846385,-0.834449458502,-0.827179191816,-0.819707305394,-0.812036084067,-0.804167838533,-0.796104905433,-0.787849647394,-0.779404453036,-0.770771736962,-0.761953939710,-0.752953527685,-0.743772993065,-0.734414853681,-0.724881652875,-0.715175959337,-0.705300366922,-0.695257494439,-0.685049985433,-0.674680507933,-0.664151754199,-0.653466440435,-0.642627306496,-0.631637115576,-0.620498653877,-0.609214730270,-0.597788175935,-0.586221843986,-0.574518609094,-0.562681367080,-0.550713034512,-0.538616548277,-0.526394865147,-0.514050961338,-0.501587832047,-0.489008490990,-0.476315969921,-0.463513318150,-0.450603602040,-0.437589904510,-0.424475324514,-0.411262976522,-0.397955989990,-0.384557508818,-0.371070690811,-0.357498707119,-0.343844741683,-0.330111990666,-0.316303661881,-0.302422974211,-0.288473157026,-0.274457449595,-0.260379100485,-0.246241366967,-0.232047514406,-0.217800815655,-0.203504550438,-0.189162004733,-0.174776470152,-0.160351243312,-0.145889625209,-0.131394920583,-0.116870437286,-0.102319485642,-0.087745377808,-0.073151427128,-0.058540947494,-0.043917252692,-0.029283655760,-0.014643468335
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
# constraint,norm
# norm_sq,162.000000000000
# dEdt,8.952465548919
# lambda_max,8.951497047834
