A_re,0.241510600737,0.285659252271,0.323756075614,0.357717095000,0.388607293610,0.417090218051,0.443611771731,0.468488224829,0.491953183192,0.514184730277,0.535322100503,0.555476431510,0.574737977989,0.593181113446,0.610867896018,0.627850671884,0.644174015665,0.659876203041,0.674990346315,0.689545282587,0.703566277306,0.717075587992,0.730092920614,0.742635802562,0.754719890100,0.766359223802,0.777566442332,0.788352962557,0.798729132249,0.808704360294,0.818287228311,0.827485586836,0.836306638573,0.844757010787,0.852842818503,0.860569719901,0.867942965045,0.874967438896,0.881647699403,0.887988011347,0.893992376481,0.899664560466,0.905008116992,0.910026409440,0.914722630374,0.919099819125,0.923160877684,0.926908585098,0.930345610527,0.933474525123,0.936297812835,0.938817880269,0.941037065691,0.942957647263,0.944581850583,0.945911855597,0.946949802949,0.947697799808,0.948157925236,0.948332235121,0.948222766725,0.947831542881,0.947160575852,0.946211870909,0.944987429617,0.943489252883,0.941719343765,0.939679710064,0.937372366726,0.934799338056,0.931962659758,0.928864380825,0.925506565277,0.921891293764,0.918020665044,0.913896797337,0.909521829574,0.904897922536,0.900027259903,0.894912049204,0.889554522688,0.883956938109,0.878121579442,0.872050757515,0.865746810593,0.859212104877,0.852449034958,0.845460024208,0.838247525117,0.830814019582,0.823162019142,0.815294065171,0.807212729028,0.798920612159,0.790420346166,0.781714592836,0.772806044131,0.763697422146,0.754391479033,0.744890996895,0.735198787646,0.725317692848,0.715250583512,0.705000359880,0.694569951177,0.683962315340,0.673180438724,0.662227335782,0.651106048731,0.639819647184,0.628371227776,0.616763913764,0.605000854603,0.593085225516,0.581020227038,0.568809084544,0.556455047766,0.543961390289,0.531331409036,0.518568423733,0.505675776371,0.492656830641,0.479514971369,0.466253603930,0.452876153650,0.439386065207,0.425786802006,0.412081845557,0.398274694831,0.384368865619,0.370367889866,0.356275315015,0.342094703323,0.327829631184,0.313483688434,0.299060477656,0.284563613471,0.269996721827,0.255363439282,0.240667412274,0.225912296392,0.211101755641,0.196239461697,0.181329093161,0.166374334807,0.151378876827,0.136346414068,0.121280645271,0.106185272300,0.091063999375,0.075920532293,0.060758577657,0.045581842090,0.030394031462,0.015198850098
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.241510600737,-0.285659252271,-0.323756075614,-0.357717095000,-0.388607293610,-0.417090218051,-0.443611771731,-0.468488224829,-0.491953183192,-0.514184730277,-0.535322100503,-0.555476431510,-0.574737977989,-0.593181113446,-0.610867896018,-0.627850671884,-0.644174015665,-0.659876203041,-0.674990346315,-0.689545282587,-0.703566277306,-0.717075587992,-0.730092920614,-0.742635802562,-0.754719890100,-0.766359223802,-0.777566442332,-0.788352962557,-0.798729132249,-0.808704360294,-0.818287228311,-0.827485586836,-0.836306638573,-0.844757010787,-0.852842818503,-0.860569719901,-0.867942965045,-0.874967438896,-0.881647699403,-0.887988011347,-0.893992376481,-0.899664560466,-0.905008116992,-0.910026409440,-0.914722630374,-0.919099819125,-0.923160877684,-0.926908585098,-0.930345610527,-0.933474525123,-0.936297812835,-0.938817880269,-0.941037065691,-0.942957647263,-0.944581850583,-0.945911855597,-0.946949802949,-0.947697799808,-0.948157925236,-0.948332235121,-0.948222766725,-0.947831542881,-0.947160575852,-0.946211870909,-0.944987429617,-0.943489252883,-0.941719343765,-0.939679710064,-0.937372366726,-0.934799338056,-0.931962659758,-0.928864380825,-0.925506565277,-0.921891293764,-0.918020665044,-0.913896797337,-0.909521829574,-0.904897922536,-0.900027259903,-0.894912049204,-0.889554522688,-0.883956938109,-0.878121579442,-0.872050757515,-0.865746810593,-0.859212104877,-0.852449034958,-0.845460024208,-0.838247525117,-0.830814019582,-0.823162019142,-0.815294065172,-0.807212729028,-0.798920612159,-0.790420346166,-0.781714592836,-0.772806044131,-0.763697422146,-0.754391479033,-0.744890996895,-0.735198787646,-0.725317692848,-0.715250583512,-0.705000359880,-0.694569951177,-0.683962315340,-0.673180438724,-0.662227335782,-0.651106048731,-0.639819647184,-0.628371227776,-0.616763913764,-0.605000854603,-0.593085225516,-0.581020227038,-0.568809084544,-0.556455047766,-0.543961390289,-0.531331409036,-0.518568423733,-0.505675776371,-0.492656830641,-0.479514971369,-0.466253603930,-0.452876153650,-0.439386065207,-0.425786802006,-0.412081845557,-0.398274694831,-0.384368865619,-0.370367889866,-0.356275315015,-0.342094703323,-0.327829631184,-0.313483688434,-0.299060477656,-0.284563613471,-0.269996721827,-0.255363439282,-0.240667412274,-0.225912296392,-0.211101755641,-0.196239461697,-0.181329093161,-0.166374334807,-0.151378876827,-0.136346414068,-0.121280645271,-0.106185272300,-0.091063999375,-0.075920532293,-0.060758577657,-0.045581842090,-0.030394031462,-0.015198850098
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156
# constraint,norm
# norm_sq,156.000000000000
# dEdt,8.620892750811
# lambda_max,8.619887699056
