A_re,0.891676926244,0.949608180330,0.926639828684,0.832769346019,0.679025656929,0.478593370161,0.246704176193
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.891676926244,-0.949608180330,-0.926639828684,-0.832769346019,-0.679025656929,-0.478593370161,-0.246704176193
M,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8
# constraint,norm
# norm_sq,8.000000000000
# dEdt,0.442097064144
# lambda_max,0.427369776843
