A_re,0.373901584373,0.439670551359,0.494418369936,0.540931347726,0.580701312308,0.614620364246,0.643263886485,0.667025545797,0.686189039045,0.700969357627,0.711537992869,0.718039072106,0.720600077171,0.719339171896,0.714370320655,0.705806916914,0.693764374979,0.678361979689,0.659724191115,0.637981539318,0.613271203902,0.585737346221,0.555531243872,0.522811264550,0.487742707442,0.450497534119,0.411254006307,0.370196244641,0.327513720062,0.283400687735,0.238055571985,0.191680309731,0.144479659137,0.096660479547,0.048430988349
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.373901584373,-0.439670551359,-0.494418369936,-0.540931347726,-0.580701312308,-0.614620364246,-0.643263886485,-0.667025545797,-0.686189039045,-0.700969357627,-0.711537992869,-0.718039072106,-0.720600077171,-0.719339171896,-0.714370320655,-0.705806916914,-0.693764374979,-0.678361979689,-0.659724191115,-0.637981539318,-0.613271203902,-0.585737346221,-0.555531243872,-0.522811264550,-0.487742707442,-0.450497534119,-0.411254006307,-0.370196244641,-0.327513720062,-0.283400687735,-0.238055571985,-0.191680309731,-0.144479659137,-0.096660479547,-0.048430988349
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
# constraint,power
# norm_sq,21.237166338267
# dEdt,1.000000000000
# lambda_max,0.997938720321
