A_re,0.207868497631,0.245484692176,0.277645760780,0.305972323633,0.331355181091,0.354342029245,0.375295370248,0.394468033628,0.412043424920,0.428158749804,0.442919258426,0.456407416153,0.468689045834,0.479817578969,0.489837080708,0.498784453972,0.506691078643,0.513584052532,0.519487145639,0.524421544043,0.528406436849,0.531459484212,0.533597194009,0.534835227431,0.535188648607,0.534672129683,0.533300120081,0.531086986660,0.528047130052,0.524195081294,0.519545582036,0.514113650975,0.507914638597,0.500964271992,0.493278691112,0.484874477661,0.475768677559,0.465978817802,0.455522918367,0.444419499766,0.432687586691,0.420346708205,0.407416894802,0.393918672673,0.379873055417,0.365301533458,0.350226061366,0.334669043262,0.318653316480,0.302202133630,0.285339143200,0.268088368814,0.250474187264,0.232521305419,0.214254736106,0.195699773047,0.176881964952,0.157827088835,0.138561122626,0.119110217169,0.099500667649,0.079758884543,0.059911364131,0.039984658646,0.020005346126
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.207868497631,-0.245484692176,-0.277645760780,-0.305972323633,-0.331355181091,-0.354342029245,-0.375295370248,-0.394468033628,-0.412043424920,-0.428158749804,-0.442919258426,-0.456407416153,-0.468689045834,-0.479817578969,-0.489837080708,-0.498784453972,-0.506691078643,-0.513584052532,-0.519487145639,-0.524421544043,-0.528406436849,-0.531459484212,-0.533597194009,-0.534835227431,-0.535188648607,-0.534672129683,-0.533300120081,-0.531086986660,-0.528047130052,-0.524195081294,-0.519545582036,-0.514113650975,-0.507914638597,-0.500964271992,-0.493278691112,-0.484874477661,-0.475768677559,-0.465978817802,-0.455522918367,-0.444419499766,-0.432687586691,-0.420346708205,-0.407416894802,-0.393918672673,-0.379873055417,-0.365301533458,-0.350226061366,-0.334669043262,-0.318653316480,-0.302202133630,-0.285339143200,-0.268088368814,-0.250474187264,-0.232521305419,-0.214254736106,-0.195699773047,-0.176881964952,-0.157827088835,-0.138561122626,-0.119110217169,-0.099500667649,-0.079758884543,-0.059911364131,-0.039984658646,-0.020005346126
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
# constraint,power
# norm_sq,21.237166338267
# dEdt,1.000000000000
# lambda_max,0.999364878000
