A_re,0.156793372829,0.185319423272,0.209828787084,0.231555119598,0.251180462429,0.269127038071,0.285676467782,0.301026823980,0.315323056704,0.328674562863,0.341165970288,0.352864086134,0.363822554445,0.374085082485,0.383687738607,0.392660628256,0.401029141859,0.408814900884,0.416036486547,0.422710009120,0.428849558327,0.434467563748,0.439575086171,0.444182055301,0.448297465345,0.451929537162,0.455085853628,0.457773473349,0.459999026741,0.461768797605,0.463088792742,0.463964801567,0.464402447383,0.464407231584,0.463984571894,0.463139835494,0.461878367788,0.460205517395,0.458126657883,0.455647206661,0.452772641398,0.449508514258,0.445860464221,0.441834227700,0.437435647657,0.432670681359,0.427545406940,0.422066028873,0.416238882462,0.410070437450,0.403567300828,0.396736218904,0.389584078711,0.382117908794,0.374344879440,0.366272302389,0.357907630064,0.349258454362,0.340332505028,0.331137647658,0.321681881337,0.311973335953,0.302020269204,0.291831063311,0.281414221464,0.270778364024,0.259932224478,0.248884645182,0.237644572890,0.226221054101,0.214623230212,0.202860332514,0.190941677021,0.178876659155,0.166674748299,0.154345482212,0.141898461338,0.129343342995,0.116689835470,0.103947692019,0.091126704789,0.078236698650,0.065287524977,0.052289055353,0.039251175232,0.026183777546,0.013096756279
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.156793372829,-0.185319423272,-0.209828787084,-0.231555119598,-0.251180462429,-0.269127038071,-0.285676467782,-0.301026823980,-0.315323056704,-0.328674562863,-0.341165970288,-0.352864086134,-0.363822554445,-0.374085082485,-0.383687738607,-0.392660628256,-0.401029141859,-0.408814900884,-0.416036486547,-0.422710009120,-0.428849558327,-0.434467563748,-0.439575086171,-0.444182055301,-0.448297465345,-0.451929537162,-0.455085853628,-0.457773473349,-0.459999026741,-0.461768797605,-0.463088792742,-0.463964801567,-0.464402447383,-0.464407231584,-0.463984571894,-0.463139835494,-0.461878367788,-0.460205517395,-0.458126657883,-0.455647206661,-0.452772641398,-0.449508514258,-0.445860464221,-0.441834227700,-0.437435647657,-0.432670681359,-0.427545406940,-0.422066028873,-0.416238882462,-0.410070437450,-0.403567300828,-0.396736218904,-0.389584078711,-0.382117908794,-0.374344879440,-0.366272302389,-0.357907630064,-0.349258454362,-0.340332505028,-0.331137647658,-0.321681881337,-0.311973335953,-0.302020269204,-0.291831063311,-0.281414221464,-0.270778364024,-0.259932224478,-0.248884645182,-0.237644572890,-0.226221054101,-0.214623230212,-0.202860332514,-0.190941677021,-0.178876659155,-0.166674748299,-0.154345482212,-0.141898461338,-0.129343342995,-0.116689835470,-0.103947692019,-0.091126704789,-0.078236698650,-0.065287524977,-0.052289055353,-0.039251175232,-0.026183777546,-0.013096756279
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
# constraint,power
# norm_sq,21.237166338267
# dEdt,1.000000000000
# lambda_max,0.999638858530
