A_re,0.143932282862,0.170147510282,0.192694228653,0.212707074188,0.230814116496,0.247404738533,0.262739097164,0.277000513404,0.290323416815,0.302809484183,0.314537547225,0.325569977503,0.335956967085,0.345739494378,0.354951436875,0.363621112456,0.371772427236,0.379425745969,0.386598562655,0.393306024586,0.399561347081,0.405376145460,0.410760703527,0.415724192745,0.420274852666,0.424420140646,0.428166856934,0.431521249877,0.434489104928,0.437075820358,0.439286471976,0.441125868713,0.442598600549,0.443709079991,0.444461578098,0.444860255857,0.444909191573,0.444612404853,0.443973877625,0.442997572596,0.441687449476,0.440047479248,0.438081656717,0.435794011544,0.433188617942,0.430269603170,0.427041154979,0.423507528086,0.419673049817,0.415542124957,0.411119239921,0.406408966288,0.401415963760,0.396144982604,0.390600865608,0.384788549609,0.378713066606,0.372379544516,0.365793207574,0.358959376424,0.351883467917,0.344570994624,0.337027564114,0.329258877973,0.321270730618,0.313069007895,0.304659685485,0.296048827129,0.287242582678,0.278247185988,0.269068952658,0.259714277630,0.250189632654,0.240501563627,0.230656687813,0.220661690952,0.210523324263,0.200248401353,0.189843795025,0.179316434005,0.168673299589,0.157921422207,0.147067877919,0.136119784851,0.125084299554,0.113968613323,0.102779948448,0.091525554431,0.080212704144,0.068848689956,0.057440819822,0.045996413337,0.034522797763,0.023027304028,0.011517262712
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.143932282862,-0.170147510282,-0.192694228653,-0.212707074188,-0.230814116496,-0.247404738533,-0.262739097164,-0.277000513404,-0.290323416815,-0.302809484183,-0.314537547225,-0.325569977503,-0.335956967085,-0.345739494378,-0.354951436875,-0.363621112456,-0.371772427236,-0.379425745969,-0.386598562655,-0.393306024586,-0.399561347081,-0.405376145460,-0.410760703527,-0.415724192745,-0.420274852666,-0.424420140646,-0.428166856934,-0.431521249877,-0.434489104928,-0.437075820358,-0.439286471976,-0.441125868713,-0.442598600549,-0.443709079991,-0.444461578098,-0.444860255857,-0.444909191573,-0.444612404853,-0.443973877625,-0.442997572596,-0.441687449476,-0.440047479248,-0.438081656717,-0.435794011544,-0.433188617942,-0.430269603170,-0.427041154979,-0.423507528086,-0.419673049817,-0.415542124957,-0.411119239921,-0.406408966288,-0.401415963760,-0.396144982604,-0.390600865608,-0.384788549609,-0.378713066606,-0.372379544516,-0.365793207574,-0.358959376424,-0.351883467917,-0.344570994624,-0.337027564114,-0.329258877973,-0.321270730618,-0.313069007895,-0.304659685485,-0.296048827129,-0.287242582678,-0.278247185988,-0.269068952658,-0.259714277630,-0.250189632654,-0.240501563627,-0.230656687813,-0.220661690952,-0.210523324263,-0.200248401353,-0.189843795025,-0.179316434005,-0.168673299589,-0.157921422207,-0.147067877919,-0.136119784851,-0.125084299554,-0.113968613323,-0.102779948448,-0.091525554431,-0.080212704144,-0.068848689956,-0.057440819822,-0.045996413337,-0.034522797763,-0.023027304028,-0.011517262712
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
# constraint,power
# norm_sq,21.237166338267
# dEdt,1.000000000000
# lambda_max,0.999695711962
