A_re,0.109216224955,0.129158476349,0.146349317008,0.161653487260,0.175551012596,0.188340507535,0.200222272962,0.211338081386,0.221792405725,0.231664684417,0.241016854339,0.249898207501,0.258348648692,0.266400953622,0.274082378355,0.281415834041,0.288420762228,0.295113798973,0.301509286796,0.307619674986,0.313455836594,0.319027322349,0.324342566157,0.329409052990,0.334233457234,0.338821757589,0.343179333202,0.347311044623,0.351221302413,0.354914125624,0.358393191900,0.361661880628,0.364723310268,0.367580370787,0.370235751956,0.372691968130,0.374951380021,0.377016213905,0.378888578600,0.380570480530,0.382063837125,0.383370488764,0.384492209457,0.385430716401,0.386187678568,0.386764724419,0.387163448855,0.387385419481,0.387432182274,0.387305266695,0.387006190330,0.386536463080,0.385897590973,0.385091079611,0.384118437303,0.382981177903,0.381680823393,0.380218906212,0.378596971379,0.376816578411,0.374879303051,0.372786738838,0.370540498516,0.368142215301,0.365593544014,0.362896162098,0.360051770514,0.357062094537,0.353928884454,0.350653916170,0.347238991727,0.343685939747,0.339996615800,0.336172902700,0.332216710739,0.328129977859,0.323914669761,0.319572779966,0.315106329824,0.310517368469,0.305807972733,0.300980247015,0.296036323110,0.290978359996,0.285808543583,0.280529086435,0.275142227448,0.269650231500,0.264055389074,0.258360015848,0.252566452257,0.246677063029,0.240694236701,0.234620385100,0.228457942816,0.222209366635,0.215877134968,0.209463747251,0.202971723324,0.196403602801,0.189761944410,0.183049325331,0.176268340504,0.169421601931,0.162511737959,0.155541392555,0.148513224559,0.141429906931,0.134294125988,0.127108580622,0.119875981515,0.112599050340,0.105280518952,0.097923128575,0.090529628973,0.083102777623,0.075645338870,0.068160083081,0.060649785797,0.053117226868,0.045565189593,0.037996459849,0.030413825219,0.022820074117,0.015217994900,0.007610374994
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.109216224955,-0.129158476349,-0.146349317008,-0.161653487260,-0.175551012596,-0.188340507535,-0.200222272962,-0.211338081386,-0.221792405725,-0.231664684417,-0.241016854339,-0.249898207501,-0.258348648692,-0.266400953622,-0.274082378355,-0.281415834041,-0.288420762228,-0.295113798973,-0.301509286796,-0.307619674986,-0.313455836594,-0.319027322349,-0.324342566157,-0.329409052990,-0.334233457234,-0.338821757589,-0.343179333202,-0.347311044623,-0.351221302413,-0.354914125624,-0.358393191900,-0.361661880628,-0.364723310268,-0.367580370787,-0.370235751956,-0.372691968130,-0.374951380021,-0.377016213905,-0.378888578600,-0.380570480530,-0.382063837125,-0.383370488764,-0.384492209457,-0.385430716401,-0.386187678568,-0.386764724419,-0.387163448855,-0.387385419481,-0.387432182274,-0.387305266695,-0.387006190330,-0.386536463080,-0.385897590973,-0.385091079611,-0.384118437303,-0.382981177903,-0.381680823393,-0.380218906212,-0.378596971379,-0.376816578411,-0.374879303051,-0.372786738838,-0.370540498516,-0.368142215301,-0.365593544014,-0.362896162098,-0.360051770514,-0.357062094537,-0.353928884454,-0.350653916170,-0.347238991727,-0.343685939747,-0.339996615800,-0.336172902700,-0.332216710739,-0.328129977859,-0.323914669761,-0.319572779966,-0.315106329824,-0.310517368469,-0.305807972733,-0.300980247015,-0.296036323110,-0.290978359996,-0.285808543583,-0.280529086435,-0.275142227448,-0.269650231500,-0.264055389074,-0.258360015848,-0.252566452257,-0.246677063029,-0.240694236701,-0.234620385100,-0.228457942816,-0.222209366635,-0.215877134968,-0.209463747251,-0.202971723324,-0.196403602801,-0.189761944410,-0.183049325331,-0.176268340504,-0.169421601931,-0.162511737959,-0.155541392555,-0.148513224559,-0.141429906931,-0.134294125988,-0.127108580622,-0.119875981515,-0.112599050340,-0.105280518952,-0.097923128575,-0.090529628973,-0.083102777623,-0.075645338870,-0.068160083081,-0.060649785797,-0.053117226868,-0.045565189593,-0.037996459849,-0.030413825219,-0.022820074117,-0.015217994900,-0.007610374994
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
# constraint,power
# norm_sq,21.237166338267
# dEdt,1.000000000000
# lambda_max,0.999824845518
