A_re,0.130546684804,0.154348935910,0.174839967185,0.193050775010,0.209552731597,0.224700569931,0.238731683512,0.251813659832,0.264069638004,0.275592955908,0.286456143781,0.296716721100,0.306421083746,0.315607197728,0.324306518481,0.332545391325,0.340346094649,0.347727631115,0.354706337397,0.361296360765,0.367510036362,0.373358189287,0.378850378981,0.383995098799,0.388799940386,0.393271730136,0.397416643271,0.401240299872,0.404747846179,0.407944023834,0.410833229145,0.413419564059,0.415706880193,0.417698817032,0.419398835182,0.420810245425,0.421936234179,0.422779885876,0.423344202682,0.423632121914,0.423646531446,0.423390283379,0.422866206162,0.422077115379,0.421025823334,0.419715147590,0.418147918561,0.416326986280,0.414255226408,0.411935545582,0.409370886154,0.406564230385,0.403518604151,0.400237080195,0.396722780983,0.392978881174,0.389008609767,0.384815251922,0.380402150504,0.375772707363,0.370930384367,0.365878704214,0.360621251034,0.355161670795,0.349503671533,0.343651023414,0.337607558630,0.331377171165,0.324963816405,0.318371510632,0.311604330392,0.304666411748,0.297561949429,0.290295195872,0.282870460175,0.275292106956,0.267564555127,0.259692276587,0.251679794843,0.243531683550,0.235252564991,0.226847108491,0.218320028764,0.209676084208,0.200920075145,0.192056842003,0.183091263459,0.174028254524,0.164872764596,0.155629775463,0.146304299274,0.136901376465,0.127426073663,0.117883481547,0.108278712685,0.098616899346,0.088903191278,0.079142753468,0.069340763884,0.059502411190,0.049632892447,0.039737410796,0.029821173131,0.019889387755,0.009947262027
A_im,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.130546684804,-0.154348935910,-0.174839967185,-0.193050775010,-0.209552731597,-0.224700569931,-0.238731683512,-0.251813659832,-0.264069638004,-0.275592955908,-0.286456143781,-0.296716721100,-0.306421083746,-0.315607197728,-0.324306518481,-0.332545391325,-0.340346094649,-0.347727631115,-0.354706337397,-0.361296360765,-0.367510036362,-0.373358189287,-0.378850378981,-0.383995098799,-0.388799940386,-0.393271730136,-0.397416643271,-0.401240299872,-0.404747846179,-0.407944023834,-0.410833229145,-0.413419564059,-0.415706880193,-0.417698817032,-0.419398835182,-0.420810245425,-0.421936234179,-0.422779885876,-0.423344202682,-0.423632121914,-0.423646531446,-0.423390283379,-0.422866206162,-0.422077115379,-0.421025823334,-0.419715147590,-0.418147918561,-0.416326986280,-0.414255226408,-0.411935545582,-0.409370886154,-0.406564230385,-0.403518604151,-0.400237080195,-0.396722780983,-0.392978881174,-0.389008609767,-0.384815251922,-0.380402150504,-0.375772707363,-0.370930384367,-0.365878704214,-0.360621251034,-0.355161670795,-0.349503671533,-0.343651023414,-0.337607558630,-0.331377171165,-0.324963816405,-0.318371510632,-0.311604330392,-0.304666411748,-0.297561949429,-0.290295195872,-0.282870460175,-0.275292106956,-0.267564555127,-0.259692276587,-0.251679794843,-0.243531683550,-0.235252564991,-0.226847108491,-0.218320028764,-0.209676084208,-0.200920075145,-0.192056842003,-0.183091263459,-0.174028254524,-0.164872764596,-0.155629775463,-0.146304299274,-0.136901376465,-0.127426073663,-0.117883481547,-0.108278712685,-0.098616899346,-0.088903191278,-0.079142753468,-0.069340763884,-0.059502411190,-0.049632892447,-0.039737410796,-0.029821173131,-0.019889387755,-0.009947262027
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
# constraint,power
# norm_sq,21.237166338267
# dEdt,1.000000000000
# lambda_max,0.999749706635
