A_re,0.059482454578,0.070362053937,0.079755051233,0.088133814577,0.095761068513,0.102800633195,0.109362696339,0.115525493501,0.121346879351,0.126871015031,0.132132476646,0.137158905049,0.141972783834,0.146592672286,0.151034084484,0.155310131234,0.159431998591,0.163409311075,0.167250411806,0.170962581638,0.174552212777,0.178024947915,0.181385792885,0.184639208757,0.187789187749,0.190839316326,0.193792828009,0.196652647875,0.199421430296,0.202101591122,0.204695335282,0.207204680559,0.209631478191,0.211977430773,0.214244107900,0.216432959880,0.218545329794,0.220582464155,0.222545522340,0.224435584984,0.226253661449,0.228000696509,0.229677576334,0.231285133874,0.232824153698,0.234295376371,0.235699502407,0.237037195856,0.238309087560,0.239515778119,0.240657840592,0.241735822963,0.242750250399,0.243701627319,0.244590439293,0.245417154781,0.246182226739,0.246886094099,0.247529183128,0.248111908691,0.248634675412,0.249097878752,0.249501906005,0.249847137228,0.250133946091,0.250362700683,0.250533764249,0.250647495879,0.250704251148,0.250704382720,0.250648240897,0.250536174143,0.250368529563,0.250145653361,0.249867891255,0.249535588875,0.249149092123,0.248708747524,0.248214902541,0.247667905871,0.247068107730,0.246415860105,0.245711517005,0.244955434678,0.244147971827,0.243289489804,0.242380352793,0.241420927976,0.240411585697,0.239352699597,0.238244646761,0.237087807831,0.235882567130,0.234629312761,0.233328436706,0.231980334916,0.230585407389,0.229144058244,0.227656695787,0.226123732570,0.224545585444,0.222922675605,0.221255428633,0.219544274531,0.217789647748,0.215991987210,0.214151736336,0.212269343051,0.210345259799,0.208379943549,0.206373855794,0.204327462548,0.202241234344,0.200115646220,0.197951177705,0.195748312805,0.193507539981,0.191229352125,0.188914246532,0.186562724875,0.184175293167,0.181752461729,0.179294745151,0.176802662251,0.174276736035,0.171717493645,0.169125466320,0.166501189339,0.163845201970,0.161158047420,0.158440272774,0.155692428938,0.152915070580,0.150108756066,0.147274047399,0.144411510150,0.141521713393,0.138605229637,0.135662634751,0.132694507899,0.129701431460,0.126683990958,0.123642774982,0.120578375111,0.117491385836,0.114382404476,0.111252031100,0.108100868443,0.104929521825,0.101738599063,0.098528710387,0.095300468352,0.092054487753,0.088791385535,0.085511780700,0.082216294224,0.078905548959,0.075580169545,0.072240782314,0.068888015201,0.065522497645,0.062144860496,0.058755735921,0.055355757306,0.051945559158,0.048525777013,0.045097047330,0.041660007402,0.038215295248,0.034763549522,0.031305409406,0.027841514517,0.024372504801,0.020899020434,0.017421701724,0.013941189004,0.010458122535,0.006973142402,0.003486888414
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_re,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_im,-0.059482454578,-0.070362053937,-0.079755051233,-0.088133814577,-0.095761068513,-0.102800633195,-0.109362696339,-0.115525493501,-0.121346879351,-0.126871015031,-0.132132476646,-0.137158905049,-0.141972783834,-0.146592672286,-0.151034084484,-0.155310131234,-0.159431998591,-0.163409311075,-0.167250411806,-0.170962581638,-0.174552212777,-0.178024947915,-0.181385792885,-0.184639208757,-0.187789187749,-0.190839316326,-0.193792828009,-0.196652647875,-0.199421430296,-0.202101591122,-0.204695335282,-0.207204680559,-0.209631478191,-0.211977430773,-0.214244107900,-0.216432959880,-0.218545329794,-0.220582464155,-0.222545522340,-0.224435584984,-0.226253661449,-0.228000696509,-0.229677576334,-0.231285133874,-0.232824153698,-0.234295376371,-0.235699502407,-0.237037195856,-0.238309087560,-0.239515778119,-0.240657840592,-0.241735822963,-0.242750250399,-0.243701627319,-0.244590439294,-0.245417154781,-0.246182226739,-0.246886094099,-0.247529183128,-0.248111908691,-0.248634675412,-0.249097878752,-0.249501906005,-0.249847137228,-0.250133946091,-0.250362700683,-0.250533764249,-0.250647495879,-0.250704251148,-0.250704382720,-0.250648240897,-0.250536174143,-0.250368529563,-0.250145653361,-0.249867891255,-0.249535588875,-0.249149092123,-0.248708747524,-0.248214902541,-0.247667905871,-0.247068107730,-0.246415860105,-0.245711517005,-0.244955434678,-0.244147971827,-0.243289489804,-0.242380352793,-0.241420927976,-0.240411585697,-0.239352699597,-0.238244646761,-0.237087807831,-0.235882567130,-0.234629312761,-0.233328436706,-0.231980334916,-0.230585407389,-0.229144058244,-0.227656695787,-0.226123732570,-0.224545585444,-0.222922675605,-0.221255428633,-0.219544274531,-0.217789647748,-0.215991987210,-0.214151736336,-0.212269343051,-0.210345259799,-0.208379943549,-0.206373855794,-0.204327462548,-0.202241234344,-0.200115646220,-0.197951177705,-0.195748312805,-0.193507539981,-0.191229352125,-0.188914246532,-0.186562724875,-0.184175293167,-0.181752461729,-0.179294745151,-0.176802662251,-0.174276736035,-0.171717493645,-0.169125466320,-0.166501189339,-0.163845201970,-0.161158047420,-0.158440272774,-0.155692428938,-0.152915070580,-0.150108756066,-0.147274047399,-0.144411510150,-0.141521713393,-0.138605229637,-0.135662634751,-0.132694507899,-0.129701431460,-0.126683990958,-0.123642774982,-0.120578375111,-0.117491385836,-0.114382404476,-0.111252031100,-0.108100868443,-0.104929521825,-0.101738599063,-0.098528710387,-0.095300468352,-0.092054487753,-0.088791385535,-0.085511780700,-0.082216294224,-0.078905548959,-0.075580169545,-0.072240782314,-0.068888015201,-0.065522497645,-0.062144860496,-0.058755735921,-0.055355757306,-0.051945559158,-0.048525777013,-0.045097047330,-0.041660007402,-0.038215295248,-0.034763549522,-0.031305409406,-0.027841514517,-0.024372504801,-0.020899020434,-0.017421701724,-0.013941189004,-0.010458122535,-0.006973142402,-0.003486888414
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
# constraint,power
# norm_sq,12.566370614359
# dEdt,1.000000000000
# lambda_max,0.999912213206
