A_re,0.152589817588,0.179906608373,0.203029182524,0.223126179350,0.240833004775,0.256535546301,0.270485906888,0.282857694776,0.293775456012,0.303331636987,0.311596974767,0.318627176821,0.324467387035,0.329155269839,0.332723198216,0.335199841398,0.336611338872,0.336982182108,0.336335885124,0.334695499400,0.332084011915,0.328524653918,0.324041140422,0.318657855145,0.312399991863,0.305293660493,0.297365964266,0.288645052927,0.279160155840,0.268941598072,0.258020801924,0.246430275931,0.234203592957,0.221375358784,0.207981172322,0.194057578449,0.179642014311,0.164772749829,0.149488823061,0.133829971010,0.117836556400,0.101549490899,0.085010155243,0.068260316659,0.051342043984,0.034297620852,0.017169457280
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.152589817588,-0.179906608373,-0.203029182524,-0.223126179350,-0.240833004775,-0.256535546301,-0.270485906888,-0.282857694776,-0.293775456012,-0.303331636987,-0.311596974767,-0.318627176821,-0.324467387035,-0.329155269839,-0.332723198216,-0.335199841398,-0.336611338872,-0.336982182108,-0.336335885124,-0.334695499400,-0.332084011915,-0.328524653918,-0.324041140422,-0.318657855145,-0.312399991863,-0.305293660493,-0.297365964266,-0.288645052927,-0.279160155840,-0.268941598072,-0.258020801924,-0.246430275931,-0.234203592957,-0.221375358784,-0.207981172322,-0.194057578449,-0.179642014311,-0.164772749829,-0.149488823061,-0.133829971010,-0.117836556400,-0.101549490899,-0.085010155243,-0.068260316659,-0.051342043984,-0.034297620852,-0.017169457280
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
# constraint,power
# norm_sq,6.157521601036
# dEdt,1.000000000000
# lambda_max,0.998818221566
