A_re,0.247410052669,0.289999543648,0.324708733243,0.353325710608,0.376794074768,0.395672444494,0.410321360667,0.420992281406,0.427874754768,0.431123432307,0.430874445415,0.427255753323,0.420393867842,0.410418288462,0.397464425535,0.381675485019,0.363203614138,0.342210503824,0.318867580233,0.293355877496,0.265865657949,0.236595828902,0.205753193522,0.173551565489,0.140210771632,0.105955562912,0.071014451358,0.035618488579
A_im,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.247410052669,-0.289999543648,-0.324708733243,-0.353325710608,-0.376794074768,-0.395672444494,-0.410321360667,-0.420992281406,-0.427874754768,-0.431123432307,-0.430874445415,-0.427255753323,-0.420393867842,-0.410418288462,-0.397464425535,-0.381675485019,-0.363203614138,-0.342210503824,-0.318867580233,-0.293355877496,-0.265865657949,-0.236595828902,-0.205753193522,-0.173551565489,-0.140210771632,-0.105955562912,-0.071014451358,-0.035618488579
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
# constraint,power
# norm_sq,6.157521601036
# dEdt,1.000000000000
# lambda_max,0.996880072224
